

2008年02月14日 查無資料
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2008年02月14日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0015  ","富邦  ","160000","20","1375660","8.55","8.64","8.47","8.64","+","0.26","8.63","2","8.64","193","0.00"
="0050  ","台灣50","12638527","2805","717823648","56.3","57.8","56.15","57.8","+","3","57.75","5","57.8","11","0.00"
="0051  ","中100 ","587000","171","17489550","29.62","30.41","29.52","30.2","+","0.87","30.15","1","30.2","6","0.00"
="0052  ","FB科技","345000","56","12117850","34.8","35.6","34.55","35.6","+","1.39","35.6","6","35.8","1","0.00"
="0053  ","寶電子","315000","176","7061430","22.1","22.9","22.1","22.85","+","1.05","22.8","6","22.85","40","0.00"
="0054  ","台商50","184000","88","3619300","19.49","19.84","19.49","19.84","+","0.63","19.84","3","19.85","1","0.00"
="0055  ","寶金融","2348000","422","34148910","14.48","14.78","14.37","14.78","+","0.56","14.76","5","14.78","6","0.00"
="0056  ","高股息","1292210","487","30001218","23.13","23.6","23.01","23.5","+","0.7","23.45","2","23.5","3","0.00"
="01001T","富邦R1","109000","15","1195960","11","11","10.97","10.97","-","0.02","10.96","10","10.97","1","0.00"
="01002T","國泰R1","412000","26","4140330","10.14","10.14","10.04","10.07","+","0.03","10.05","6","10.06","11","0.00"
="01003T","新光R1","497000","53","4946970","9.93","9.97","9.93","9.97","+","0.03","9.94","4","9.97","45","0.00"
="01004T","富邦R2","2275000","92","21635180","9.53","9.56","9.48","9.48","-","0.05","9.48","25","9.5","21","0.00"
="01005T","三鼎  ","1000","1","7530","7.53","7.53","7.53","7.53","-","0.03","7.53","29","7.55","1","0.00"
="01007T","國泰R2","789000","42","7797900","9.88","10","9.87","9.9","+","0.02","9.88","10","9.9","25","0.00"
="01008T","駿馬R1","2058000","17","17288000","8.5","8.5","8.4","8.4","+","0.02","8.38","1","8.5","26","0.00"
"1101  ","台泥  ","17721105","5985","837549988","47.6","47.9","46.65","47.5","+","0.9","47.5","2","47.55","1","16.84"
"1102  ","亞泥  ","17775076","6018","872832202","49.95","51","48.45","48.85","-","1.1","48.85","88","48.9","302","14.28"
"1103  ","嘉泥  ","1935323","510","41488292","21.6","21.8","21.3","21.45","+","0.2","21.4","36","21.45","113","18.49"
"1104  ","環泥  ","1044516","288","14365610","13.8","13.9","13.6","13.75","+","0.15","13.75","35","13.8","63","24.12"
"1108  ","幸福  ","548010","181","4685325","8.5","8.59","8.5","8.55","+","0.05","8.55","11","8.56","2","71.25"
"1109  ","信大  ","252969","53","2655309","10.5","10.6","10.35","10.6","+","0.15","10.55","11","10.6","9","17.38"
"1110  ","東泥  ","890500","202","10621074","12","12.05","11.75","11.75","-","0.05","11.75","10","11.8","3","391.67"
"1201  ","味全  ","1701058","652","30866344","18.1","18.3","18","18.1","+","0.15","18.1","12","18.15","8","22.07"
"1203  ","味王  ","622429","239","12989338","20.85","21.1","20.6","20.9","+","0.3","20.9","27","20.95","17","0.00"
"1210  ","大成  ","4786830","1912","180537849","37.8","38.5","37.3","37.75","+","0.95","37.75","57","37.8","57","15.16"
"1213  ","大飲  ","32240","26","305019","9.39","9.58","9.34","9.55","+","0.25","9.55","1","9.56","1","477.5"
"1215  ","卜蜂  ","3781924","1132","59080398","15.2","15.9","15.1","15.9","+","1","15.9","143","--","0","16.91"
"1216  ","統一  ","15629613","4945","673287049","43.1","43.5","42.5","43.2","+","1.05","43.2","128","43.25","168","18.7"
"1217  ","愛之味","5196784","1435","58590506","11.1","11.45","11","11.3","+","0.35","11.3","101","11.35","64","0.00"
"1218  ","泰山  ","1041031","296","9538919","9.19","9.28","9.05","9.21","+","0.18","9.21","14","9.23","1","26.31"
"1219  ","福壽  ","1655856","438","17445522","10.25","10.7","10.05","10.7","+","0.7","10.7","18","--","0","28.16"
"1220  ","台榮  ","251111","74","2354917","9.25","9.5","9.25","9.38","+","0.13","9.38","5","9.5","35","0.00"
"1225  ","福懋油","148000","59","1447080","9.83","9.88","9.71","9.85","+","0.19","9.8","2","9.85","28","18.24"
"1227  ","佳格  ","221636","85","3684105","16.65","16.75","16.5","16.65","+","0.15","16.6","21","16.65","13","16.82"
"1229  ","聯華  ","6653316","1711","136672147","20.75","20.8","20.3","20.6","+","0.5","20.55","45","20.6","147","10.46"
"1231  ","聯華食","145806","63","1648553","11.2","11.35","11.2","11.3","+","0.1","11.3","5","11.35","50","14.3"
"1232  ","大統益","417240","191","12614520","30.5","30.6","30","30.3","+","0.8","30.25","4","30.3","2","11.14"
"1233  ","天仁  ","25124","21","713064","28.4","28.8","28.3","28.3"," ","0","28.3","7","28.65","1","19.12"
"1234  ","黑松  ","6972399","1271","102553324","14.25","15","14.25","14.9","+","0.8","14.85","3","14.9","442","35.48"
"1235  ","興泰  ","32287","24","977460","30.3","30.5","30","30.4","+","0.1","30.4","2","30.8","5","34.55"
"1236  ","宏亞  ","168023","42","2553854","15.2","15.35","15.05","15.35","+","0.2","15.35","10","15.4","9","12.69"
"1301  ","台塑  ","25882845","8863","2153201180","83","84","81.9","84","+","2.4","83.9","404","84","970","10.95"
"1303  ","南亞  ","27824287","10242","1927598835","67.9","70.6","67.3","70.6","+","4.6","70.5","422","70.6","1,736","9.57"
"1304  ","台聚  ","7237782","2137","130002179","18.1","18.2","17.8","17.95","+","0.15","17.9","83","17.95","31","11.01"
"1305  ","華夏  ","10138244","2053","94861752","9.44","9.5","9.15","9.36"," ","0","9.35","109","9.36","61","0.00"
"1307  ","三芳  ","71958","44","1660344","23.5","23.5","22.6","22.9","+","0.9","22.85","1","23","6","12.25"
"1308  ","亞聚  ","1184198","474","26722782","23","23","22.3","22.4","+","0.25","22.4","20","22.55","5","9.22"
"1309  ","台達化","1209474","389","12432680","10.1","10.45","10.05","10.4"," ","0","10.35","6","10.4","29","13.16"
"1310  ","台苯  ","1337056","388","16919300","12.8","12.8","12.55","12.7","+","0.15","12.7","15","12.75","54","14.77"
"1311  ","福聚  ","1605768","447","35991391","22.5","22.65","22.3","22.35","-","0.2","22.3","131","22.35","119","8.5"
"1312  ","國喬  ","2982175","666","30925456","10.5","10.5","10.25","10.35","+","0.1","10.3","538","10.35","5","6.27"
"1312A ","國喬特","1000","1","15400","15.4","15.4","15.4","15.4"," ","0","15.2","1","15.4","13","0.00"
"1313  ","聯成  ","3877933","961","68287058","17.65","17.8","17.45","17.7","+","0.2","17.7","35","17.75","92","7.53"
"1314  ","中石化","19150471","3056","251319316","13.05","13.25","12.95","13.2","+","0.5","13.15","178","13.2","416","8"
