

2015年01月21日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10807,+,70.93,0.66
發行量加權股價指數,9319.71,+,68.02,0.74
臺灣50指數,6756.35,+,66.39,0.99
臺灣中型100指數,7475.36,+,35.68,0.48
臺灣資訊科技指數,8218.27,+,70.01,0.86
臺灣發達指數,7921.96,+,77.11,0.98
臺灣高股息指數,5851.26,+,21.36,0.37
臺灣就業99指數,5557.01,+,39.96,0.72
臺灣高薪100指數,5075.75,+,36.43,0.72
臺灣企業經營101指數,5924.89,+,34.53,0.59
臺灣低波動高股息指數,1424.24,+,8.27,0.58
未含金融保險股指數,7883.56,+,57.82,0.74
未含電子股指數,13250.18,+,101.46,0.77
未含金融電子股指數,11461.33,+,90.49,0.8
水泥窯製類指數,566.75,+,1.42,0.25
塑膠化工類指數,800.48,+,4.67,0.59
機電類指數,2096.04,+,14.54,0.7
水泥類指數,143.58,+,0.19,0.13
食品類指數,1212.78,+,19.06,1.6
塑膠類指數,219.92,+,1.48,0.68
紡織纖維類指數,536.93,+,9.48,1.8
電機機械類指數,159.72,+,1.04,0.66
電器電纜類指數,36.52,+,0.02,0.05
化學生技醫療類指數,104.56,+,0.14,0.13
化學類指數,102.19,+,0.3,0.29
生技醫療類指數,75.85,-,0.06,-0.08
玻璃陶瓷類指數,57.66,+,0.46,0.8
造紙類指數,170.56,-,0.38,-0.22
鋼鐵類指數,102.13,+,0.36,0.35
橡膠類指數,378.49,+,2.94,0.78
汽車類指數,327.89,+,3.74,1.15
電子類指數,372.54,+,2.6,0.7
半導體類指數,122.91,+,1.68,1.39
電腦及週邊設備類指數,105.2,-,0.21,-0.2
光電類指數,41.15,-,0.74,-1.77
通信網路類指數,120.37,+,1.26,1.06
電子零組件類指數,88.29,+,0.64,0.73
電子通路類指數,115.2,-,0.37,-0.32
資訊服務類指數,104.91,+,0.52,0.5
其他電子類指數,79.81,+,0.63,0.8
建材營造類指數,284.54,+,1.34,0.47
航運類指數,96.12,+,0.58,0.61
觀光類指數,123.79,+,0.6,0.49
金融保險類指數,1066.72,+,7.54,0.71
貿易百貨類指數,244.08,+,1.87,0.77
油電燃氣類指數,86.62,+,0.99,1.16
其他類指數,252.53,+,2.69,1.08
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,11133.26,+,73.08,0.66
發行量加權股價報酬指數,14191.36,+,103.57,0.74
臺灣50報酬指數,10405.77,+,102.25,0.99
臺灣中型100報酬指數,10699.72,+,51.08,0.48
臺灣資訊科技報酬指數,11987.62,+,102.11,0.86
臺灣發達報酬指數,11047.98,+,107.54,0.98
臺灣高股息報酬指數,9641.63,+,35.2,0.37
臺灣就業99報酬指數,6308.14,+,45.37,0.72
臺灣高薪100報酬指數,5117.08,+,36.74,0.72
臺灣企業經營101報酬指數,6329.12,+,36.88,0.59
臺灣低波動高股息報酬指數,2796.5,+,16.25,0.58
未含金融電子股報酬指數,17618.18,+,139.11,0.8
水泥類報酬指數,190,+,0.26,0.14
食品類報酬指數,1403.09,+,22.04,1.6
塑膠類報酬指數,273.58,+,1.84,0.68
紡織纖維類報酬指數,657.57,+,11.61,1.8
電機機械類報酬指數,191.72,+,1.24,0.65
電器電纜類報酬指數,40.87,+,0.03,0.07
化學生技醫療類報酬指數,126.83,+,0.16,0.13
化學類報酬指數,126.56,+,0.37,0.29
生技醫療類報酬指數,87.96,-,0.07,-0.08
玻璃陶瓷類報酬指數,61.47,+,0.5,0.82
造紙類報酬指數,197.78,-,0.44,-0.22
鋼鐵類報酬指數,126.09,+,0.44,0.35
橡膠類報酬指數,448.63,+,3.48,0.78
汽車類報酬指數,381.66,+,4.35,1.15
電子類報酬指數,519.16,+,3.63,0.7
半導體類報酬指數,164.54,+,2.25,1.39
電腦及週邊設備類報酬指數,150.74,-,0.31,-0.21
光電類報酬指數,48.58,-,0.87,-1.76
通信網路類報酬指數,184.35,+,1.93,1.06
電子零組件類報酬指數,120.96,+,0.88,0.73
電子通路類報酬指數,168.79,-,0.54,-0.32
資訊服務類報酬指數,158.43,+,0.8,0.51
其他電子類報酬指數,92.61,+,0.74,0.81
建材營造類報酬指數,369.14,+,1.75,0.48
航運類報酬指數,112.91,+,0.67,0.6
觀光類報酬指數,136.77,+,0.66,0.48
金融保險類報酬指數,1328.68,+,9.38,0.71
貿易百貨類報酬指數,284.17,+,2.17,0.77
油電燃氣類報酬指數,102.77,+,1.17,1.15
其他類報酬指數,322.78,+,3.44,1.08
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","91309016080","2218499289","743085"
"2.台灣存託憑證","452070387","102001787","11394"
"3.受益憑證","0","0","0"
"4.ETF","5018902945","169166594","30239"
"5.受益證券","28952070","1806000","163"
"6.變更交易股票","63667807","8922096","1227"
"7.認購(售)權證","3334355650","3145267000","85916"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","91372683887","2227421385","744312"
"總計(1~12)","100206964939","5645662766","872024"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",3335(12),392(7)
"下跌(跌停)",3049(33),347(2)
"持平",546,108
"未成交",3496,3
"無比價",895,0
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2015年01月21日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","台灣50","17556111","2810","1179808369","67.2","67.3","67","67.25","+","0.5","67.25","468","67.3","801","0.00"
="0051  ","中100 ","26000","11","775310","29.8","29.9","29.8","29.9","+","0.16","29.82","5","29.98","1","0.00"
="0052  ","FB科技","11000","6","465630","42.21","42.45","42.21","42.22","+","0.22","42.22","27","42.44","25","0.00"
="0053  ","寶電子","44044","29","1283331","29","29.21","29","29.2","+","0.3","29.08","81","29.25","1","0.00"
="0054  ","台商50","18000","14","405600","22.42","22.56","22.42","22.56","+","0.11","22.47","71","22.6","3","0.00"
="0055  ","寶金融","110600","45","1589560","14.39","14.4","14.35","14.39","+","0.04","14.39","73","14.4","14","0.00"
="0056  ","高股息","1160309","345","28207790","24.23","24.33","24.23","24.3","+","0.07","24.3","12","24.33","4","0.00"
="0057  ","FB摩台","1000","1","41110","41.11","41.11","41.11","41.11","+","0.2","41.14","50","41.16","58","0.00"
="0058  ","FB發達","2000","2","75930","37.95","37.98","37.95","37.98","+","0.21","38.1","21","38.26","10","0.00"
="0059  ","FB金融","0","0","0","--","--","--","--"," ","0","32.32","34","32.5","32","0.00"
="0060  ","新台灣","5000","2","157350","31.47","31.47","31.47","31.47","+","0.08","31.01","60","--","0","0.00"
="0061  ","寶滬深","32909649","5984","565883029","17","17.39","16.99","17.39","+","0.45","17.39","633","17.4","1,061","0.00"
="006203","寶摩臺","8000","8","257510","32.17","32.22","32.17","32.22","+","0.21","31.87","31","32.5","1","0.00"
="006204","豐臺灣","50000","18","2314710","46.33","46.34","46.27","46.29","+","0.38","46.45","15","46.48","1","0.00"
="006205","FB上証","22217382","3370","684693611","30.3","31.25","30.2","31.25","+","1.25","31.25","519","31.26","162","0.00"
="006206","元上證","17110539","3143","509330210","29.4","30.29","29.2","30.29","+","1.29","30.29","24","30.3","121","0.00"
="006207","FH滬深","10087100","2044","225557242","22","22.78","21.9","22.75","+","1.06","22.74","9","22.75","5","0.00"
="006208","FB台50","4000","4","151480","37.86","37.89","37.86","37.89","+","0.29","37.92","40","38","1","0.00"
="00631L","T50正2","3310000","409","71321680","21.4","21.63","21.4","21.59","+","0.28","21.59","10","21.6","409","0.00"
="00632R","T50反1","16200000","1506","308144560","19.07","19.07","19","19.03","-","0.09","19.02","1","19.03","463","0.00"
="00633L","上証2X","30359950","7607","1162609425","37.32","39.68","36.95","39.6","+","2.8","39.54","1","39.6","32","0.00"
="00634R","上証反","17540000","1818","233497930","13.47","13.58","13.05","13.08","-","0.52","13.07","55","13.08","513","0.00"
="0080  ","恒中國","800","4","349980","435","440","435","440","+","5","436.35","1","443","2","0.00"
