

2014年06月13日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10774.28,-,8.59,-0.08
發行量加權股價指數,9196.39,-,8.26,-0.09
臺灣50指數,6393.17,-,15.55,-0.24
臺灣中型100指數,7732.33,+,11.82,0.15
臺灣資訊科技指數,7662.2,-,16.84,-0.22
臺灣發達指數,7879.82,-,8.97,-0.11
臺灣高股息指數,6070.96,+,5.96,0.1
臺灣就業99指數,5478.57,-,3.78,-0.07
臺灣企業經營101指數,5845.96,-,6.28,-0.11
臺灣低波動高股息指數,1486.04,-,0.81,-0.05
未含金融保險股指數,7809.7,-,6.08,-0.08
未含電子股指數,13267.7,-,10.94,-0.08
未含金融電子股指數,11658.91,-,5.72,-0.05
水泥窯製類指數,596.9,-,4.64,-0.77
塑膠化工類指數,845.3,+,1.73,0.21
機電類指數,2052.23,-,2.15,-0.1
水泥類指數,149.73,-,1.18,-0.78
食品類指數,1248.73,-,2.97,-0.24
塑膠類指數,229.02,+,0.37,0.16
紡織纖維類指數,524.75,-,1.64,-0.31
電機機械類指數,175.99,-,0.39,-0.22
電器電纜類指數,41.82,-,0.29,-0.69
化學生技醫療類指數,116.03,+,0.55,0.48
化學類指數,111.1,-,0.13,-0.12
生技醫療類指數,86.38,+,1.06,1.24
玻璃陶瓷類指數,63.62,-,0.46,-0.72
造紙類指數,186.42,-,0.25,-0.13
鋼鐵類指數,97.75,+,0.52,0.53
橡膠類指數,397.18,+,0.14,0.04
汽車類指數,315.51,-,2.09,-0.66
電子類指數,362.91,-,0.35,-0.1
半導體類指數,114.44,-,0.41,-0.36
電腦及週邊設備類指數,106.65,+,0.14,0.13
光電類指數,40.9,-,0.03,-0.07
通信網路類指數,119.13,-,0.02,-0.02
電子零組件類指數,93.58,+,0.13,0.14
電子通路類指數,124.21,+,1.44,1.17
資訊服務類指數,104.02,-,0.16,-0.15
其他電子類指數,78.55,+,0.05,0.06
建材營造類指數,287.58,+,0.3,0.1
航運類指數,72.8,-,0.33,-0.45
觀光類指數,144.41,+,0.19,0.13
金融保險類指數,1026.78,-,1.73,-0.17
貿易百貨類指數,248.06,+,0.23,0.09
油電燃氣類指數,96.96,+,0.35,0.36
其他類指數,248.09,-,1.15,-0.46
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10775.93,-,8.6,-0.08
發行量加權股價報酬指數,13589.51,-,12.2,-0.09
臺灣50報酬指數,9583.88,-,23.31,-0.24
臺灣中型100報酬指數,10734.66,+,16.41,0.15
臺灣資訊科技報酬指數,10881.49,-,23.92,-0.22
臺灣發達報酬指數,10690,-,12.17,-0.11
臺灣高股息報酬指數,9554.71,+,9.38,0.1
臺灣就業99報酬指數,6045.63,-,4.17,-0.07
臺灣企業經營101報酬指數,6023.97,-,6.46,-0.11
臺灣低波動高股息報酬指數,2797.68,-,1.52,-0.05
未含金融電子股報酬指數,17376.75,-,8.53,-0.05
水泥類報酬指數,189.14,-,1.49,-0.78
食品類報酬指數,1405.56,-,3.35,-0.24
塑膠類報酬指數,277.07,+,0.45,0.16
紡織纖維類報酬指數,622.82,-,1.94,-0.31
電機機械類報酬指數,206.02,-,0.46,-0.22
電器電纜類報酬指數,45.96,-,0.31,-0.67
化學生技醫療類報酬指數,136.94,+,0.65,0.48
化學類報酬指數,133.32,-,0.15,-0.11
生技醫療類報酬指數,98.01,+,1.21,1.25
玻璃陶瓷類報酬指數,67.29,-,0.49,-0.72
造紙類報酬指數,211.03,-,0.29,-0.14
鋼鐵類報酬指數,116.8,+,0.61,0.53
橡膠類報酬指數,454.12,+,0.15,0.03
汽車類報酬指數,356.19,-,2.36,-0.66
電子類報酬指數,490.94,-,0.47,-0.1
半導體類報酬指數,149.39,-,0.52,-0.35
電腦及週邊設備類報酬指數,146.15,+,0.2,0.14
光電類報酬指數,47.4,-,0.03,-0.06
通信網路類報酬指數,174.69,-,0.03,-0.02
電子零組件類報酬指數,124.4,+,0.17,0.14
電子通路類報酬指數,172.73,+,1.99,1.17
資訊服務類報酬指數,150.65,-,0.23,-0.15
其他電子類報酬指數,89.43,+,0.05,0.06
建材營造類報酬指數,358.6,+,0.38,0.11
航運類報酬指數,83.89,-,0.38,-0.45
觀光類報酬指數,157.59,+,0.2,0.13
金融保險類報酬指數,1242.24,-,2.1,-0.17
貿易百貨類報酬指數,278.95,+,0.26,0.09
油電燃氣類報酬指數,111.28,+,0.4,0.36
其他類報酬指數,305.7,-,1.43,-0.47
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","88882181476","2382003882","796925"
"2.台灣存託憑證","102429242","11842450","2307"
"3.受益憑證","0","0","0"
"4.ETF","604873536","29188938","5029"
"5.受益證券","27287340","1771000","175"
"6.變更交易股票","150046101","25654806","2658"
"7.認購(售)權證","2373448100","2192727000","54473"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","89032227577","2407658688","799583"
"總計(1~12)","92140265795","4643188076","861567"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",1847(25),316(15)
"下跌(跌停)",2907(15),404(0)
"持平",556,120
"未成交",3614,4
"無比價",742,1
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2014年06月13日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","台灣50","3322318","1087","212037312","63.9","63.9","63.7","63.85","-","0.15","63.85","695","63.9","52","0.00"
="0051  ","中100 ","22550","18","691775","30.5","30.8","30.5","30.66","-","0.13","30.66","2","30.79","4","0.00"
="0052  ","FB科技","105000","8","4042640","38.4","38.57","38.4","38.47","+","0.02","38.42","1","38.47","1","0.00"
="0053  ","寶電子","55000","29","1578730","28.69","28.76","28.54","28.74"," ","0","28.62","2","28.74","2","0.00"
="0054  ","台商50","24000","15","552300","22.92","23.07","22.92","23.07","-","0.06","22.95","3","23.07","3","0.00"
="0055  ","寶金融","848000","75","11700560","13.81","13.84","13.77","13.83","-","0.01","13.83","17","13.84","401","0.00"
="0056  ","高股息","982771","269","24673583","25","25.15","25","25.11","+","0.01","25.11","241","25.12","3","0.00"
="0057  ","FB摩台","103000","5","3953560","38.36","38.41","38.35","38.41","-","0.15","38.48","50","38.51","50","0.00"
="0058  ","FB發達","2000","2","73960","36.97","36.99","36.97","36.99","+","0.23","36.88","1","36.99","25","0.00"
="0059  ","FB金融","2000","2","61060","30.53","30.53","30.53","30.53","-","0.04","30.5","1","30.52","25","0.00"
="0060  ","新台灣","4000","3","121610","30.23","30.62","30.23","30.53","+","0.18","30.35","2","30.52","2","0.00"
="0061  ","寶滬深","10873729","1653","125195203","11.42","11.58","11.41","11.58","+","0.15","11.57","98","11.58","268","0.00"
="006203","寶摩臺","158000","9","4850080","30.68","30.8","30.68","30.8","-","0.12","30.64","124","30.86","42","0.00"
="006204","豐臺灣","15200","9","689278","45.37","45.4","45.3","45.4","-","0.06","45.41","200","45.43","200","0.00"
="006205","FB上証","7638000","868","137778380","17.85","18.18","17.85","18.18","+","0.27","18.17","1","18.18","45","0.00"
="006206","元上證","2255070","558","38975225","17.14","17.4","17.07","17.36","+","0.2","17.35","67","17.36","29","0.00"
="006207","FH滬深","2743000","411","36544660","13.24","13.4","13.17","13.38","+","0.14","13.38","47","13.39","15","0.00"
="006208","FB台50","35000","5","1264570","36.03","36.14","36.03","36.11","X","0","36.1","43","36.14","1","0.00"
="0080  ","恒中國","0","0","0","--","--","--","--"," ","0","342.05","1","347","1","0.00"
="0081  ","恒香港","100","1","79000","790","790","790","790","X","0","790","2","810","1","0.00"
="008201","上證50","200","2","10050","50.25","50.25","50.25","50.25"," ","0","50","1","50.25","17","0.00"
="01001T","富邦R1","270000","39","3771740","14","14","13.95","13.97"," ","0","13.95","5","13.97","36","0.00"
="01002T","國泰R1","386000","32","6723920","17.3","17.5","17.3","17.4"," ","0","17.4","153","17.43","5","0.00"
="01003T","新光R1","69000","17","897550","13","13.04","13","13.04","+","0.04","13","2","13.04","3","0.00"
="01004T","富邦R2","245000","43","2817450","11.51","11.51","11.48","11.48","-","0.03","11.48","9","11.5","101","0.00"
="01007T","國泰R2","281000","18","3982150","14.2","14.2","14.15","14.18","-","0.02","14.16","12","14.18","34","0.00"
="01008T","駿馬R1","520000","26","9094530","17.43","17.57","17.43","17.47","+","0.04","17.47","13","17.57","20","0.00"
"1101  ","台泥  ","8631442","3491","388740498","45","45.35","44.8","44.85","-","0.6","44.85","30","44.95","1","15.85"
"1102  ","亞泥  ","4219857","1659","167163490","39.7","39.75","39.25","39.65","-","0.1","39.4","5","39.65","27","18.62"
"1103  ","嘉泥  ","312505","79","4997822","15.95","16.1","15.9","15.95","-","0.05","15.9","792","16","37","8.96"
"1104  ","環泥  ","509483","277","14621203","29.1","29.1","28.6","28.7","-","0.4","28.65","12","28.7","45","14.79"
"1108  ","幸福  ","320500","114","2921518","9.12","9.14","9.1","9.12"," ","0","9.11","15","9.12","10","20.27"
"1109  ","信大  ","225975","96","3257240","14.45","14.5","14.35","14.35","-","0.15","14.35","4","14.4","20","18.64"
"1110  ","東泥  ","69496","24","1064487","15.3","15.5","15.2","15.5","+","0.3","15.2","6","15.5","2","57.41"
"1201  ","味全  ","750129","227","33808524","45","45.25","45","45.1","-","0.15","45.1","88","45.2","13","27.33"
"1203  ","味王  ","70635","59","1563196","22.2","22.25","22","22.05","-","0.1","22.05","43","22.1","7","19.69"
"1210  ","大成  ","4690435","2172","165594742","35.8","35.85","35.1","35.35","-","0.45","35.35","42","35.4","6","9.71"
"1213  ","大飲  ","58002","34","1230642","21.4","21.4","21.1","21.15","-","0.35","21.15","1","21.3","6","96.14"
"1215  ","卜蜂  ","4766363","1477","123856260","26","26.35","25.5","26.35","+","0.2","26.3","11","26.35","119","10.46"
"1216  ","統一  ","4728695","1996","251075535","53.3","53.4","52.6","53.2","-","0.1","53.1","2","53.2","124","20.62"
"1217  ","愛之味","1495550","372","13639326","9.15","9.15","9.1","9.13","-","0.04","9.12","1","9.13","42","0.00"
"1218  ","泰山  ","482390","203","6299320","13.05","13.1","13","13","-","0.1","13","258","13.1","101","0.00"
"1219  ","福壽  ","50573","32","762811","15.05","15.15","15.05","15.1","+","0.05","15.05","3","15.1","19","45.76"
"1220  ","台榮  ","171447","59","1726270","10.05","10.15","10","10.1","+","0.05","10.1","13","10.15","16","31.56"
"1225  ","福懋油","67143","28","938990","14","14.15","13.85","14.05","+","0.05","14","13","14.05","1","39.03"
"1227  ","佳格  ","506440","447","41571215","82.1","82.4","81.8","81.9","-","0.6","81.8","72","82","2","31.62"
"1229  ","聯華  ","1928201","698","41019095","21.25","21.35","21.15","21.25"," ","0","21.25","55","21.3","1","10.27"
