

2005年09月13日 查無資料
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2005年09月13日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0015  ","富邦  ","183000","35","1370490","7.47","7.54","7.47","7.48","+","0.02","7.48","105","7.51","25","0.00"
="0050  ","台灣50","4736000","279","226818890","47.78","48.03","47.71","47.96","+","0.15","47.93","10","47.96","50","0.00"
="01001T","富邦R1","470000","59","4812550","10.25","10.25","10.2","10.25"," ","0","10.2","10,981","10.25","4,171","0.00"
"1101  ","台泥  ","5852393","677","118820442","20.3","20.4","20.25","20.3"," ","0","20.3","332","20.35","97","9.67"
"1101A ","台泥特","0","0","0","--","--","--","--"," ","0","27.5","287","27.9","1","0.00"
"1102  ","亞泥  ","1029884","253","19083715","18.5","18.6","18.4","18.55","+","0.1","18.55","34","18.6","85","7.42"
"1103  ","嘉泥  ","1718985","306","25232335","14.6","14.7","14.6","14.7","+","0.05","14.7","58","14.75","143","0.00"
"1104  ","環泥  ","577178","170","6436220","11.15","11.2","11.1","11.2","+","0.05","11.15","10","11.2","65","9.91"
"1107  ","建台  ","514000","33","349180","0.7","0.7","0.65","0.67","-","0.01","0.67","69","0.7","45","4.79"
"1108  ","幸福  ","420036","84","2999947","7.15","7.19","7.09","7.18","-","0.01","7.18","30","7.19","65","0.00"
"1109  ","信大  ","211850","29","1899729","9.05","9.05","8.95","8.96","-","0.01","8.95","29","9","20","24.89"
"1110  ","東泥  ","284222","78","1772388","6.25","6.29","6.21","6.21","-","0.04","6.21","62","6.25","11","24.84"
"1201  ","味全  ","4720257","840","45889683","10","10","9.6","9.6","-","0.4","9.6","175","9.65","7","0.00"
"1203  ","味王  ","385010","88","3380480","8.71","8.85","8.7","8.85","+","0.07","8.85","16","8.88","2","0.00"
"1207  ","嘉食化","339011","90","807372","2.46","2.46","2.35","2.42","+","0.01","2.4","1","2.42","4","0.00"
"1210  ","大成  ","1063819","290","12332798","11.75","11.75","11.45","11.6","-","0.15","11.5","17","11.6","118","10.74"
"1213  ","大飲  ","9000","6","86390","9.61","9.8","9.51","9.52","X","0","9.52","3","9.8","3","158.67"
"1215  ","卜蜂  ","163008","152","813601","5","5.03","4.96","5.03","+","0.03","4.96","7","5.03","16","0.00"
"1216  ","統一  ","3345495","843","43504301","12.9","13.1","12.9","13","+","0.1","13","2,556","13.05","101","17.81"
"1217  ","愛之味","446544","149","3057883","6.94","6.94","6.8","6.81","-","0.12","6.81","48","6.88","3","28.38"
"1218  ","泰山  ","159010","59","960139","6.03","6.08","6.02","6.03"," ","0","6.03","33","6.05","5","0.00"
"1219  ","福壽  ","173011","45","876575","5.09","5.12","5.05","5.05","-","0.09","5.05","56","5.1","30","0.00"
"1220  ","台榮  ","10187","7","60338","5.9","5.95","5.9","5.95","+","0.09","5.9","10","5.95","5","0.00"
"1225  ","福懋油","372029","59","1933570","5.26","5.26","5.16","5.17","-","0.1","5.17","37","5.23","3","0.00"
"1227  ","佳格  ","252135","82","3156714","12.5","12.65","12.45","12.5"," ","0","12.45","19","12.5","8","7.81"
"1229  ","聯華  ","733893","176","8355325","11.5","11.5","11.35","11.35","-","0.1","11.35","123","11.4","81","9.96"
"1231  ","聯華食","78000","24","751180","9.65","9.65","9.6","9.6","-","0.05","9.6","29","9.68","18","12.63"
"1232  ","大統益","68000","22","1129200","16.4","16.7","16.4","16.4"," ","0","16.4","5","16.75","1","10.31"
"1233  ","天仁  ","23009","17","535557","23.1","24.3","23","23.7","+","0.55","23.15","1","23.6","1","13.54"
"1234  ","黑松  ","115945","33","1072934","9.25","9.33","9.25","9.25"," ","0","9.25","1","9.3","10","0.00"
"1235  ","興泰  ","55031","16","748019","13.5","13.7","13.5","13.6"," ","0","13.6","18","13.65","8","8.34"
"1236  ","宏亞  ","93334","27","1509294","16.2","16.3","16.1","16.1","-","0.15","16.1","89","16.15","3","8.85"
"1301  ","台塑  ","6739573","1763","330146627","49.05","49.3","48.85","49.3","+","0.05","49.3","98","49.35","81","7.07"
"1303  ","南亞  ","3100344","1199","124459075","40.05","40.45","40","40.05"," ","0","40.05","382","40.1","1","6.48"
"1304  ","台聚  ","555353","179","5240955","9.45","9.48","9.4","9.4","-","0.02","9.4","65","9.42","2","8.7"
"1305  ","華夏  ","757000","229","6478490","8.5","8.64","8.5","8.52","+","0.02","8.52","62","8.53","1","0.00"
"1307  ","三芳  ","65631","30","1047292","16","16","15.9","16"," ","0","16","3","16.1","3","11.51"
"1308  ","亞聚  ","310480","101","4081871","13.05","13.25","13.05","13.15","+","0.1","13.1","10","13.15","4","7.27"
"1309  ","台達化","341917","122","2754177","8","8.16","7.98","8.02","+","0.02","8.02","18","8.11","20","200.5"
"1310  ","台苯  ","827968","278","12278305","14.7","14.9","14.7","14.9","+","0.2","14.85","23","14.9","22","106.43"
"1311  ","福聚  ","689364","312","13741782","20","20.1","19.8","19.8","-","0.25","19.8","47","19.85","10","7.15"
"1312  ","國喬  ","692230","175","5477676","7.94","8.1","7.8","8.1","+","0.12","7.83","22","8.1","19","13.97"
"1312A ","國喬特","9000","2","90000","10","10","10","10","+","0.05","9.95","12","10.55","2","0.00"
"1313  ","聯成  ","994058","280","10985717","11","11.15","11","11"," ","0","11","231","11.05","15","11"
"1314  ","中石化","8470345","904","78843418","9.35","9.36","9.26","9.28","-","0.05","9.28","346","9.29","159","9.57"
"1315  ","達新  ","86001","30","835459","9.75","9.8","9.7","9.8","+","0.05","9.8","1","9.81","1","12.25"
"1316  ","上曜  ","210526","42","323928","1.53","1.58","1.52","1.58","+","0.05","1.55","2","1.58","11","0.00"
"1319  ","東陽  ","966005","364","41776010","42.4","44.2","42.3","42.7","+","0.3","42.6","1","42.7","46","18.73"
"1321  ","大洋  ","91000","44","936300","10.4","10.4","10.15","10.35","-","0.1","10.3","18","10.35","7","12.62"
"1323  ","永裕  ","5000","3","45840","9.18","9.18","9.16","9.17","-","0.03","9.05","1","9.17","18","9.97"
"1324  ","地球  ","36000","14","281910","7.9","7.9","7.81","7.89","-","0.1","7.81","4","7.89","2","20.23"
"1325  ","恆大  ","41000","22","378780","9.36","9.4","9.12","9.29","-","0.07","9.29","1","9.3","10","0.00"
"1326  ","台化  ","2311429","787","118340060","51.1","51.4","51","51.3","+","0.1","51.2","142","51.3","84","5.64"
"1402  ","遠東新","4198342","1035","88241585","21.3","21.3","20.9","21.05","-","0.15","21.05","100","21.1","23","11.76"
"1408  ","中紡  ","197000","30","79030","0.4","0.41","0.39","0.41","+","0.01","0.4","75","0.41","130","0.00"
"1409  ","新纖  ","941481","204","5948254","6.41","6.46","6.25","6.25","-","0.15","6.25","15","6.28","8","208.33"
"1410  ","南染  ","70993","24","396549","5.61","5.69","5.5","5.5","-","0.22","5.35","5","5.5","1","0.00"
"1413  ","宏洲  ","133160","56","331679","2.55","2.59","2.4","2.41","-","0.17","2.41","6","2.54","31","0.00"
"1414  ","東和  ","101610","19","374412","3.72","3.72","3.63","3.64","-","0.04","3.64","54","3.72","2","0.00"
"1416  ","廣豐  ","323031","60","1092855","3.41","3.41","3.36","3.4","-","0.01","3.37","13","3.4","3","0.00"
"1417  ","嘉裕  ","1025583","218","6750496","6.52","6.62","6.5","6.59","+","0.07","6.59","20","6.61","11","0.00"
"1418  ","東華  ","11000","7","29420","2.65","2.7","2.65","2.68","-","0.04","2.65","6","2.68","7","0.00"
"1419  ","新紡  ","508000","92","6516750","12.85","12.9","12.8","12.8","-","0.05","12.8","11","12.85","24","0.00"
"1423  ","利華  ","119050","16","488898","4.19","4.19","4.05","4.16","-","0.03","4.11","29","4.16","3","0.00"
"1434  ","福懋  ","356375","143","5252703","14.7","14.85","14.65","14.7","-","0.05","14.7","89","14.75","10","12.78"
"1435  ","中福  ","913000","121","9908500","11.2","11.2","10.7","11","-","0.25","11","161","11.05","60","0.00"
"1436  ","華友聯","45000","13","260650","5.81","5.82","5.76","5.76","-","0.04","5.76","82","5.85","3","0.00"
"1437  ","勤益控","110000","25","1092230","10","10","9.91","9.95","-","0.1","9.92","2","9.95","29","0.00"
"1438  ","裕豐  ","11000","5","11990","1.09","1.09","1.09","1.09","X","0","--","0","--","0","0.00"
"1439  ","中和  ","27177","7","257868","9.5","9.5","9.35","9.35","-","0.13","9.33","2","9.47","1","66.79"
"1440  ","南紡  ","523800","124","3694943","7.12","7.12","7.03","7.03","-","0.09","7.02","127","7.03","103","0.00"
"1441  ","大東  ","67900","18","157694","2.35","2.35","2.29","2.29","-","0.08","2.3","10","2.31","5","0.00"
