

2007年08月13日 查無資料
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2007年08月13日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0015  ","富邦  ","147000","31","1749200","12","12","11.8","11.8"," ","0","11.8","33","11.85","2","0.00"
="0050  ","台灣50","15004500","763","959860323","64","64.4","63.7","63.85","-","0.15","63.8","248","63.85","46","0.00"
="0051  ","中100 ","336050","137","13067290","39.2","39.2","38.63","38.7","-","0.13","38.69","3","38.7","4","0.00"
="0052  ","FB科技","84000","38","3677660","43.9","43.95","43.65","43.79","-","0.21","43.68","4","43.79","5","0.00"
="0053  ","寶電子","113000","47","3252610","28.91","28.91","28.6","28.79"," ","0","28.7","11","28.79","1","0.00"
="0054  ","台商50","364000","170","9004100","25","25","24.6","24.7","+","0.21","24.65","5","24.7","2","0.00"
="0055  ","寶金融","740000","239","10498340","14.24","14.29","14.15","14.2","-","0.04","14.18","21","14.22","9","0.00"
="01001T","富邦R1","315000","61","3427800","10.9","11.1","10.5","11"," ","0","10.9","37","11","104","0.00"
="01002T","國泰R1","988000","126","9801090","9.92","9.95","9.89","9.9","-","0.02","9.89","44","9.9","88","0.00"
="01003T","新光R1","873000","71","8729050","10","10.01","9.99","10"," ","0","9.99","1","10","11","0.00"
="01004T","富邦R2","696000","68","7208260","10.34","10.4","10.32","10.35","+","0.01","10.31","10","10.34","10","0.00"
="01005T","三鼎  ","356000","27","2842880","7.99","7.99","7.91","7.98","-","0.01","7.95","10","7.98","20","0.00"
="01007T","國泰R2","763000","77","7720290","10.13","10.14","10.1","10.1","-","0.03","10.1","11","10.12","15","0.00"
="01008T","駿馬R1","1167000","38","9927950","8.58","8.58","8.45","8.48","-","0.12","8.45","116","8.48","7","0.00"
"1101  ","台泥  ","23849022","5462","992827714","40.4","42.2","40.35","41.8","+","2.35","41.8","12","41.85","33","16.59"
