

2014年10月14日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10175.84,+,64.95,0.64
發行量加權股價指數,8768.39,+,57,0.65
臺灣50指數,6309.5,+,56.38,0.9
臺灣中型100指數,6986.73,+,50.48,0.73
臺灣資訊科技指數,7143.3,+,86.43,1.22
臺灣發達指數,7677.86,+,35.03,0.46
臺灣高股息指數,5458.98,+,31.01,0.57
臺灣就業99指數,5274.58,+,49.1,0.94
臺灣高薪100指數,4863.91,+,40.62,0.84
臺灣企業經營101指數,5608.77,+,46.67,0.84
臺灣低波動高股息指數,1362.75,-,0.05,---
未含金融保險股指數,7333.02,+,42.11,0.58
未含電子股指數,12825.39,+,52.61,0.41
未含金融電子股指數,10897.73,+,12.32,0.11
水泥窯製類指數,582.63,+,3.04,0.52
塑膠化工類指數,761.73,+,2.64,0.35
機電類指數,1927.7,+,16.87,0.88
水泥類指數,148.61,+,0.82,0.55
食品類指數,1169.51,-,5.84,-0.5
塑膠類指數,208.41,-,0.09,-0.04
紡織纖維類指數,490.44,-,0.53,-0.11
電機機械類指數,155.19,+,1.81,1.18
電器電纜類指數,37.49,-,0.01,-0.03
化學生技醫療類指數,102.51,+,0.71,0.7
化學類指數,96.95,+,0.27,0.28
生技醫療類指數,77.46,+,0.91,1.19
玻璃陶瓷類指數,57.34,+,0.23,0.4
造紙類指數,174.56,-,0.43,-0.25
鋼鐵類指數,99.26,+,0.4,0.4
橡膠類指數,353.1,+,5.11,1.47
汽車類指數,313.53,+,1.63,0.52
電子類指數,341.76,+,2.97,0.88
半導體類指數,106.29,+,1.02,0.97
電腦及週邊設備類指數,97.03,+,1.56,1.63
光電類指數,36.78,+,0.12,0.33
通信網路類指數,110.41,+,0.67,0.61
電子零組件類指數,85.45,+,0.71,0.84
電子通路類指數,110.39,+,0.89,0.81
資訊服務類指數,95.1,+,0.79,0.84
其他電子類指數,85.74,+,0.5,0.59
建材營造類指數,267.95,-,2.86,-1.06
航運類指數,75.16,+,1.41,1.91
觀光類指數,130.95,-,1.87,-1.41
金融保險類指數,1077.68,+,11.86,1.11
貿易百貨類指數,234.25,+,0.4,0.17
油電燃氣類指數,91.37,-,0.86,-0.93
其他類指數,226.96,-,1.01,-0.44
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
