

2006年08月09日 查無資料
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2006年08月09日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0015  ","富邦  ","93000","23","805470","8.67","8.69","8.61","8.69","+","0.08","8.69","5","8.7","20","0.00"
="0050  ","台灣50","8354000","792","438014200","52.2","53","52.1","53","+","0.75","52.95","227","53","11","0.00"
="01001T","富邦R1","635000","13","6877900","10.84","10.84","10.83","10.84","-","0.01","10.83","6","10.84","15","0.00"
="01002T","國泰R1","590000","32","6181160","10.45","10.48","10.43","10.45","+","0.01","10.45","61","10.48","101","0.00"
="01003T","新光R1","1392000","40","14451250","10.38","10.4","10.33","10.33","-","0.06","10.33","276","10.39","54","0.00"
="01004T","富邦R2","888000","32","9365600","10.54","10.55","10.54","10.55","+","0.01","10.55","162","10.56","101","0.00"
="01005T","三鼎  ","1706000","41","17059540","10","10","9.99","9.99","-","0.01","9.99","2,617","10","292","0.00"
"1101  ","台泥  ","3404007","677","81212598","23.95","24.2","23.5","24.2","+","0.25","24.2","251","24.25","77","12.16"
"1101A ","台泥特","500000","5","13550000","27.1","27.1","27.1","27.1","+","0.05","27.05","6","27.1","105","0.00"
"1102  ","亞泥  ","3511398","818","74802806","21.2","21.65","21","21.65","X","0","21.65","79","21.7","102","7.34"
"1103  ","嘉泥  ","730353","184","12138939","16.75","16.8","16.55","16.55","-","0.2","16.55","91","16.6","10","3.9"
"1104  ","環泥  ","202248","51","2084287","10.35","10.35","10.3","10.35","+","0.05","10.3","59","10.35","100","10.25"
"1107  ","建台  ","464628","45","419145","0.88","0.93","0.88","0.91","+","0.03","0.88","2","0.9","21","2.33"
"1108  ","幸福  ","150117","64","1126810","7.55","7.56","7.46","7.51","-","0.01","7.51","23","7.56","17","12.73"
"1109  ","信大  ","129143","31","1303851","10.05","10.2","10.05","10.15"," ","0","10.15","1","10.2","2","7.2"
"1110  ","東泥  ","68750","30","464264","6.79","6.8","6.72","6.76","-","0.04","6.76","14","6.78","10","14.38"
"1201  ","味全  ","1678481","345","20037399","11.8","12.05","11.8","11.9","-","0.05","11.85","169","11.95","113","18.31"
"1203  ","味王  ","96150","35","1077914","11.3","11.35","11.15","11.2","-","0.05","11.2","29","11.3","2","0.00"
"1207  ","嘉食化","157171","129","267409","1.72","1.72","1.69","1.72"," ","0","1.7","2","1.72","42","0.00"
"1210  ","大成  ","1177361","181","15445071","13.15","13.2","13.05","13.05","-","0.05","13.05","144","13.1","11","8.53"
"1213  ","大飲  ","30209","21","411281","13.9","13.9","13.4","13.7"," ","0","13.6","1","13.75","6","342.5"
"1215  ","卜蜂  ","109845","36","532011","4.82","4.86","4.8","4.84","-","0.02","4.84","22","4.88","5","28.47"
"1216  ","統一  ","11267085","2439","280710375","24.5","25.35","24.5","25.1","+","0.6","25.1","348","25.15","7","30.61"
"1217  ","愛之味","403650","97","2659458","6.66","6.67","6.54","6.57","-","0.03","6.57","1","6.6","7","18.25"
"1218  ","泰山  ","635000","96","4029320","6.31","6.5","6.31","6.4","+","0.09","6.39","1","6.4","16","0.00"
"1219  ","福壽  ","99763","22","501231","5.03","5.06","5.01","5.06","+","0.01","5.04","100","5.06","8","28.11"
"1220  ","台榮  ","143764","48","1139818","8","8.1","7.73","8","+","0.09","7.75","1","8","19","44.44"
"1225  ","福懋油","267600","51","1361814","5.05","5.1","5.05","5.1","+","0.01","5.09","8","5.1","4","0.00"
"1227  ","佳格  ","33078","24","503523","15.25","15.3","15.2","15.25","-","0.05","15.25","5","15.3","22","16.22"
"1229  ","聯華  ","1730594","358","24167268","14","14.1","13.9","13.9","-","0.1","13.9","108","13.95","10","9.93"
"1231  ","聯華食","122000","20","1143290","9.31","9.48","9.31","9.37","+","0.05","9.37","5","9.43","2","78.08"
"1232  ","大統益","14000","8","240900","17.15","17.35","17","17.15"," ","0","17.05","1","17.15","8","8.45"
"1233  ","天仁  ","13217","12","379677","28.55","28.9","28.55","28.7","+","0.15","28.65","1","28.9","1","18.4"
"1234  ","黑松  ","1602179","470","21609788","13.5","13.65","13.4","13.5"," ","0","13.45","70","13.5","12","75"
"1235  ","興泰  ","27680","7","387584","14.05","14.05","14","14.05"," ","0","14","22","14.05","3","117.08"
"1236  ","宏亞  ","24142","11","395943","16.4","16.4","16.4","16.4","-","0.1","16.4","14","16.5","18","9.59"
"1301  ","台塑  ","5639092","1679","255439894","44.85","45.7","44.85","45.5","+","0.65","45.45","56","45.5","393","10.22"
"1303  ","南亞  ","10055042","2756","442442381","43.35","44.6","43.35","44.35","+","0.95","44.35","755","44.4","31","9.9"
"1304  ","台聚  ","1774397","252","14552851","8.28","8.28","8.14","8.17","-","0.04","8.17","34","8.18","14","12.57"
"1305  ","華夏  ","667556","160","4430639","6.69","6.7","6.6","6.64","-","0.04","6.64","4","6.65","10","0.00"
"1307  ","三芳  ","5646","9","93958","16.7","16.7","16.7","16.7"," ","0","16.7","21","17","4","11.28"
"1308  ","亞聚  ","735990","170","8785679","12","12","11.8","11.9"," ","0","11.9","72","12","46","10.26"
"1309  ","台達化","251852","77","1794122","7.14","7.18","7.11","7.12"," ","0","7.11","5","7.12","5","54.77"
"1310  ","台苯  ","835490","315","10344114","12.5","12.5","12.3","12.4","-","0.1","12.4","71","12.45","16","0.00"
"1311  ","福聚  ","1162360","309","23830823","20.65","20.65","20.2","20.5","-","0.15","20.5","158","20.55","11","10.62"
"1312  ","國喬  ","626484","197","4842921","7.81","7.83","7.66","7.69","-","0.08","7.69","7","7.74","46","14.24"
"1312A ","國喬特","3000","1","30150","10.05","10.05","10.05","10.05","-","0.15","10.05","5","10.5","1","0.00"
"1313  ","聯成  ","2310643","482","25325645","11","11.05","10.9","11"," ","0","10.95","247","11","250","12.79"
"1314  ","中石化","5553257","840","40089383","7.23","7.3","7.19","7.22","-","0.03","7.22","24","7.23","20","5.82"
"1315  ","達新  ","435000","126","6826300","15.6","15.8","15.6","15.8","+","0.2","15.8","5","15.85","5","12.15"
"1316  ","上曜  ","88137","20","331627","3.72","3.78","3.72","3.78"," ","0","3.75","3","3.77","10","19.89"
"1319  ","東陽  ","247008","129","6069295","24.8","24.8","24.5","24.5","-","0.2","24.5","10","24.6","5","9.11"
"1321  ","大洋  ","197100","76","3044150","15.8","15.8","15.3","15.35","-","0.25","15.35","12","15.5","1","6.42"
"1323  ","永裕  ","30049","16","238926","7.97","8","7.91","7.98"," ","0","7.89","1","7.98","4","66.5"
"1324  ","地球  ","20192","11","147422","7.32","7.4","7.2","7.38","+","0.04","7.22","5","7.35","1","35.14"
"1325  ","恆大  ","259000","66","2645450","10.25","10.3","10.2","10.2","+","0.05","10.2","4","10.25","1","23.18"
"1326  ","台化  ","5044724","1488","229708969","45","46","45","45.95","+","0.95","45.95","17","46","174","8.74"
"1402  ","遠東新","5237598","790","128483168","24.45","24.8","24.35","24.65","+","0.2","24.65","47","24.7","144","12.2"
"1409  ","新纖  ","3010140","431","20033653","6.7","6.71","6.6","6.7","+","0.02","6.67","12","6.7","350","47.86"
"1410  ","南染  ","65000","19","413740","6.38","6.38","6.35","6.35","-","0.02","6.34","2","6.38","3","0.00"
"1413  ","宏洲  ","150155","25","300874","2","2.02","1.99","2.01","+","0.01","2","9","2.02","10","0.00"
"1414  ","東和  ","151001","29","602183","3.99","4","3.96","4","+","0.01","4","19","4.02","2","0.00"
"1416  ","廣豐  ","504017","88","2086607","4.19","4.2","4.1","4.15","-","0.04","4.14","10","4.15","10","0.00"
"1417  ","嘉裕  ","370914","78","2219488","5.98","6","5.93","5.95","-","0.05","5.95","6","5.98","1","0.00"
"1418  ","東華  ","52228","17","187749","3.57","3.69","3.52","3.57","-","0.03","3.55","1","3.57","4","0.00"
"1419  ","新紡  ","1150487","355","27844714","24.3","24.6","24","24.1","-","0.2","24.1","10","24.2","14","36.52"
"1423  ","利華  ","620587","102","3488458","5.73","5.73","5.51","5.55","-","0.13","5.54","3","5.56","2","37"
"1432  ","大魯閣","8351","7","55704","6.67","6.72","6.67","6.72","-","0.03","6.68","1","6.8","1","0.00"
"1434  ","福懋  ","2804301","586","44302801","15.8","15.95","15.7","15.9","X","0","15.9","32","15.95","112","10.32"
"1435  ","中福  ","49110","16","292410","6","6.1","5.88","5.98","-","0.27","5.98","28","5.99","5","54.36"
"1436  ","華友聯","67808","13","562774","8.3","8.42","8.27","8.42","+","0.12","8.27","5","8.43","1","0.00"
"1437  ","勤益控","1516857","255","24891054","16.1","16.6","16.1","16.55","+","0.1","16.5","8","16.6","47","0.00"
"1438  ","裕豐  ","3000","1","2580","0.86","0.86","0.86","0.86","-","0.06","--","0","0.86","16","0.00"
"1439  ","中和  ","85200","26","899449","10.8","10.8","10.5","10.7","-","0.1","10.55","3","10.65","8","356.67"
"1440  ","南紡  ","647114","122","4566801","7.09","7.11","7.02","7.05","-","0.04","7.05","2","7.08","9","352.5"
"1441  ","大東  ","120592","29","333338","2.76","2.8","2.73","2.8"," ","0","2.75","3","2.8","58","0.00"
"1442  ","名軒  ","33442","20","377262","11.3","11.45","11.1","11.15","-","0.3","11.15","21","11.4","5","30.14"
"1443  ","立益  ","79582","27","267974","3.36","3.46","3.31","3.46","-","0.04","3.4","100","3.46","2","0.00"
"1444  ","力麗  ","298545","58","993005","3.3","3.35","3.3","3.33"," ","0","3.33","23","3.34","40","0.00"
"1445  ","大宇  ","27496","9","105614","3.84","3.85","3.84","3.85"," ","0","3.85","3","3.95","8","0.00"
"1446  ","宏和  ","157000","32","419060","2.79","2.82","2.6","2.82","+","0.03","2.8","20","2.81","8","0.00"
"1447  ","力鵬  ","1115250","159","6832175","6.1","6.16","6.1","6.15","+","0.02","6.15","15","6.16","30","205"
"1449  ","佳和  ","839371","149","2433639","2.94","2.96","2.85","2.86","-","0.08","2.86","21","2.88","9","0.00"
"1451  ","年興  ","494926","121","8546673","17.2","17.35","17.2","17.35","+","0.15","17.3","19","17.35","19","7.2"
"1452  ","宏益  ","33868","19","191212","5.63","5.74","5.63","5.74","-","0.01","5.66","2","5.74","2","0.00"
"1453  ","大將  ","3999","5","4707","1.15","1.27","1.15","1.27","+","0.05","1.15","2","1.28","2","0.00"
"1454  ","台富  ","10073","6","44234","4.36","4.4","4.36","4.36","-","0.04","4.36","7","4.41","9","0.00"
"1455  ","集盛  ","818400","155","5047881","6.12","6.25","6.1","6.2","+","0.08","6.17","8","6.2","67","0.00"
"1456  ","怡華  ","80716","22","136218","1.69","1.73","1.68","1.7"," ","0","1.7","8","1.71","11","0.00"
