

2015年02月02日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10878.51,+,20.15,0.19
發行量加權股價指數,9386.99,+,25.08,0.27
臺灣50指數,6830.31,+,41.12,0.61
臺灣中型100指數,7472.26,-,18,-0.24
臺灣資訊科技指數,8288.35,+,39.59,0.48
臺灣發達指數,7998.26,+,32.41,0.41
臺灣高股息指數,5913.01,+,9.79,0.17
臺灣就業99指數,5614.21,+,5.23,0.09
臺灣高薪100指數,5118.85,+,23.32,0.46
臺灣企業經營101指數,5988.29,+,24.12,0.4
臺灣低波動高股息指數,1429.94,+,3.38,0.24
未含金融保險股指數,7938.88,+,19.57,0.25
未含電子股指數,13311.97,+,38.49,0.29
未含金融電子股指數,11496.88,+,27.99,0.24
水泥窯製類指數,569.31,+,1.48,0.26
塑膠化工類指數,808.98,+,10.85,1.36
機電類指數,2115.93,+,5.2,0.25
水泥類指數,144.55,+,0.23,0.16
食品類指數,1215.12,+,4.26,0.35
塑膠類指數,222.09,+,4.56,2.1
紡織纖維類指數,529.41,-,4.35,-0.81
電機機械類指數,161.62,+,0.57,0.35
電器電纜類指數,36.82,-,0.32,-0.86
化學生技醫療類指數,104.89,-,0.25,-0.24
化學類指數,102.57,-,0.03,-0.03
生技醫療類指數,76.04,-,0.38,-0.5
玻璃陶瓷類指數,57.3,+,0.42,0.74
造紙類指數,170.32,-,0.51,-0.3
鋼鐵類指數,101.26,-,0.84,-0.82
橡膠類指數,386.91,+,1.73,0.45
汽車類指數,328.34,+,1.11,0.34
電子類指數,376.05,+,0.93,0.25
半導體類指數,123.89,+,0.71,0.58
電腦及週邊設備類指數,106.72,+,0.34,0.32
光電類指數,41.29,-,0.11,-0.27
通信網路類指數,119.8,+,0.16,0.13
電子零組件類指數,91.07,+,0.07,0.08
電子通路類指數,116.96,-,0.15,-0.13
資訊服務類指數,103.56,-,1.06,-1.01
其他電子類指數,80.8,-,0.25,-0.31
建材營造類指數,282.66,-,0.62,-0.22
航運類指數,93.03,-,2.37,-2.48
觀光類指數,122.71,-,0.23,-0.19
金融保險類指數,1075.82,+,4.32,0.4
貿易百貨類指數,246.37,+,1.1,0.45
油電燃氣類指數,88.65,+,1.06,1.21
其他類指數,254.3,-,0.91,-0.36
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,11206.93,+,20.76,0.19
發行量加權股價報酬指數,14293.82,+,38.2,0.27
臺灣50報酬指數,10519.67,+,63.33,0.61
臺灣中型100報酬指數,10695.28,-,25.76,-0.24
