

2007年11月29日 查無資料
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2007年11月29日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0015  ","富邦  ","102000","25","1026900","10.05","10.15","10","10"," ","0","10","15","10.05","37","0.00"
="0050  ","台灣50","6342320","1465","389287430","61.8","61.8","61","61.35","+","1.05","61.3","30","61.35","29","0.00"
="0051  ","中100 ","579000","156","19610430","33.9","34","33.75","33.75","+","0.36","33.75","19","33.8","6","0.00"
="0052  ","FB科技","57000","27","2351750","41.6","41.9","41.15","41.3","+","0.2","41.12","1","41.29","2","0.00"
="0053  ","寶電子","346000","91","9397580","27.2","27.39","27","27.13","+","0.23","27.1","3","27.13","2","0.00"
="0054  ","台商50","440500","122","10487715","23.62","23.93","23.62","23.93","+","0.58","23.91","61","23.93","2","0.00"
="0055  ","寶金融","477000","204","6323070","13.29","13.3","13.2","13.28","+","0.17","13.27","3","13.28","16","0.00"
="01001T","富邦R1","162000","14","1775970","10.98","10.98","10.95","10.95","-","0.02","10.7","10","11.03","4","0.00"
="01002T","國泰R1","863000","51","8634660","10","10.01","10","10"," ","0","10","156","10.01","16","0.00"
="01003T","新光R1","875000","34","8672120","9.9","9.95","9.89","9.91","+","0.01","9.9","20","9.91","70","0.00"
="01004T","富邦R2","367000","57","3571230","9.75","9.77","9.69","9.7","-","0.08","9.69","20","9.71","40","0.00"
="01005T","三鼎  ","133000","14","926350","6.95","6.99","6.95","6.95","-","0.04","6.92","3","6.95","33","0.00"
="01007T","國泰R2","488000","28","4825320","9.9","9.9","9.86","9.87"," ","0","9.86","5","9.87","75","0.00"
="01008T","駿馬R1","414000","13","3519000","8.5","8.5","8.5","8.5"," ","0","8.5","95","8.52","20","0.00"
"1101  ","台泥  ","16951833","5307","786461269","46.8","46.8","46","46.5","+","1.65","46.3","14","46.5","1,002","16.49"
"1102  ","亞泥  ","24186271","4563","1055898315","42.45","44.2","42.45","44.2","+","2.85","44.2","360","--","0","12.92"
"1103  ","嘉泥  ","2818312","1111","73291527","25.85","26.35","25.55","25.9","+","0.85","25.9","20","26.05","12","22.33"
"1104  ","環泥  ","694104","230","9677933","14.05","14.1","13.75","13.95","+","0.15","13.95","64","14","35","24.47"
"1108  ","幸福  ","548131","183","4923231","8.82","9.09","8.82","8.95","+","0.14","8.95","8","9.04","1","74.58"
"1109  ","信大  ","85697","36","928707","10.9","10.9","10.75","10.8","+","0.1","10.8","2","10.9","100","17.7"
"1110  ","東泥  ","274613","86","3042043","11.05","11.2","11","11.05","+","0.2","11.05","90","11.15","11","368.33"
"1201  ","味全  ","1503111","453","26786240","17.7","18","17.7","17.8","+","0.4","17.75","23","17.8","11","21.71"
"1203  ","味王  ","590738","253","11748285","20.3","20.3","19.6","19.95","+","0.25","19.9","1","19.95","6","0.00"
"1210  ","大成  ","13758448","5433","394397357","28.7","29.5","27.65","28.75","+","0.7","28.75","100","28.8","40","11.55"
"1213  ","大飲  ","21120","16","241200","11.4","11.5","11.3","11.3"," ","0","11.3","11","11.45","5","565"
"1215  ","卜蜂  ","2746574","646","38095632","13.7","14.2","13.5","13.9","+","0.5","13.8","22","13.9","10","14.79"
"1216  ","統一  ","30485785","8267","1200180253","38.9","40.1","38.3","40.05","+","2.55","40","50","40.05","26","17.34"
"1217  ","愛之味","2344058","655","24775502","10.6","10.75","10.4","10.5","+","0.3","10.45","33","10.5","42","0.00"
"1218  ","泰山  ","1049521","314","9428043","9","9.2","8.88","8.9","+","0.06","8.9","12","8.91","20","25.43"
"1219  ","福壽  ","627002","267","6463720","10.25","10.5","10.1","10.35","+","0.3","10.2","41","10.35","25","27.24"
"1220  ","台榮  ","139002","59","1245567","9","9.1","8.86","8.94","+","0.13","8.94","1","9","1","0.00"
"1225  ","福懋油","447001","140","4411590","9.75","9.95","9.75","9.87"," ","0","9.87","26","9.89","3","18.28"
"1227  ","佳格  ","1026500","280","15595124","15.2","15.7","14.9","15.35","+","0.25","15.2","40","15.35","39","17.85"
"1229  ","聯華  ","1595561","473","25868656","16.2","16.4","16.05","16.15","+","0.35","16.1","4","16.15","6","8.2"
"1231  ","聯華食","128002","43","1403171","10.8","11.05","10.8","11","+","0.2","10.9","6","11","28","13.92"
"1232  ","大統益","99048","53","2772094","28","28.35","27.7","27.7","+","0.05","27.7","1","28","36","10.18"
"1233  ","天仁  ","24120","14","689598","28.75","28.8","28.5","28.5"," ","0","28.5","2","28.7","11","19.26"
"1234  ","黑松  ","826355","245","10769928","13.25","13.3","12.9","13"," ","0","13","83","13.05","18","30.95"
"1235  ","興泰  ","13500","8","298600","22.2","22.2","22","22.15","-","0.1","22","2","22.2","23","25.17"
"1236  ","宏亞  ","87002","33","1438184","16.45","16.55","16.45","16.55","+","0.15","16.55","2","16.6","7","13.68"
"1301  ","台塑  ","7751122","3281","672944451","87","87.6","86","87.5","+","2.5","87.1","61","87.5","42","11.41"
"1303  ","南亞  ","9768083","3144","795528851","82","82","80.6","82","+","2","81.9","71","82","352","11.11"
"1304  ","台聚  ","7152164","1712","121185453","17.05","17.3","16.5","16.8","+","0.2","16.8","63","16.85","20","10.31"
"1305  ","華夏  ","2300330","598","20540174","8.94","9.05","8.8","8.83","+","0.08","8.83","25","8.88","50","0.00"
"1307  ","三芳  ","11907","11","311288","26.45","26.45","26.1","26.45","+","0.35","26.1","16","26.45","8","14.14"
"1308  ","亞聚  ","1531782","530","34524763","22.4","22.85","22.2","22.4","+","0.8","22.4","15","22.5","6","9.22"
"1309  ","台達化","593527","201","6113695","10.3","10.45","10.15","10.2","+","0.1","10.2","5","10.25","55","12.91"
"1310  ","台苯  ","3046610","719","42805142","14.15","14.2","13.95","14.05","+","0.25","14.05","3","14.1","115","16.34"
"1311  ","福聚  ","664950","238","14840082","22.3","22.6","22.1","22.3","+","0.4","22.3","42","22.35","6","8.48"
"1312  ","國喬  ","3476675","718","40804194","11.7","11.9","11.6","11.75","+","0.3","11.7","142","11.75","27","7.12"
"1312A ","國喬特","32000","17","523300","16.5","16.6","16.25","16.6","+","0.15","16.35","3","16.6","1","0.00"
"1313  ","聯成  ","5314480","1004","92403023","17.5","17.6","17.15","17.25","+","0.15","17.25","39","17.3","21","7.34"
"1314  ","中石化","10256363","1934","138828604","13.6","13.75","13.3","13.45","+","0.25","13.4","172","13.45","164","8.15"
"1315  ","達新  ","121002","63","2549294","21.3","21.3","20.8","21.05","+","0.2","20.85","2","21.05","4","12.99"
"1316  ","上曜  ","126959","37","818667","6.54","6.58","6.4","6.5","+","0.1","6.46","1","6.5","11","0.00"
"1319  ","東陽  ","498630","226","14214956","28.5","28.75","28.35","28.35","+","0.35","28.35","34","28.4","1","13.63"
"1321  ","大洋  ","644000","232","12085150","18.9","19.15","18.15","19.15","+","1.15","18.9","4","19.15","31","0.00"
"1323  ","永裕  ","211000","88","2583950","12.5","12.5","12.05","12.1","+","0.1","12.1","4","12.3","1","24.69"
"1324  ","地球  ","33000","25","699150","21.1","21.5","21.05","21.1"," ","0","21.05","4","21.1","11","0.00"
"1325  ","恆大  ","312000","71","3885350","12.5","12.5","12.4","12.45","+","0.05","12.45","25","12.5","82","14.15"
"1326  ","台化  ","8053610","2141","652549070","80.5","81.7","80.2","81.7","+","1.7","81.6","120","81.7","322","10.24"
"1402  ","遠東新","20730050","7129","791698567","38.15","38.45","37.7","37.9","+","0.9","37.9","24","38","21","17.07"
"1409  ","新纖  ","17916041","2892","198693037","11.2","11.3","10.8","10.9","-","0.2","10.85","235","10.9","15","0.00"
"1410  ","南染  ","103064","55","1779200","16.7","17.5","16.65","17.35","+","0.95","16.9","5","17.4","9","133.46"
