

2014年08月26日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10893.24,+,13,0.12
發行量加權股價指數,9393.96,+,3.34,0.04
臺灣50指數,6715.9,-,8.48,-0.13
臺灣中型100指數,7647.39,+,13.71,0.18
臺灣資訊科技指數,7721.3,-,18.37,-0.24
臺灣發達指數,8224.55,+,11.3,0.14
臺灣高股息指數,6084.9,+,5.06,0.08
臺灣就業99指數,5597.01,-,2.46,-0.04
臺灣高薪100指數,5153.29,-,6.26,-0.12
臺灣企業經營101指數,5979.96,-,4.69,-0.08
臺灣低波動高股息指數,1508.69,+,4.31,0.29
未含金融保險股指數,7893.89,+,5.3,0.07
未含電子股指數,13662.58,+,7.4,0.05
未含金融電子股指數,11724.13,+,16.77,0.14
水泥窯製類指數,633.61,-,0.97,-0.15
塑膠化工類指數,836.47,+,1.84,0.22
機電類指數,2078.64,+,0.67,0.03
水泥類指數,161.02,-,0.35,-0.22
食品類指數,1311.8,+,8.89,0.68
塑膠類指數,233.26,+,0.02,0.01
紡織纖維類指數,509.35,+,4.57,0.91
電機機械類指數,172.59,+,0.53,0.31
電器電纜類指數,41.97,+,0.25,0.6
化學生技醫療類指數,109.78,+,0.45,0.41
化學類指數,106.42,+,0.7,0.66
生技醫療類指數,80.47,+,0.07,0.09
玻璃陶瓷類指數,63.49,+,0.09,0.14
造紙類指數,185.62,+,1.57,0.85
鋼鐵類指數,103.41,+,0.41,0.4
橡膠類指數,370.43,+,3.18,0.87
汽車類指數,325.69,+,0.89,0.27
電子類指數,368.03,+,0.07,0.02
半導體類指數,114.27,-,0.43,-0.37
電腦及週邊設備類指數,108.58,+,0.48,0.44
光電類指數,41.21,+,0.5,1.23
通信網路類指數,115.23,+,0.01,0.01
電子零組件類指數,94.83,+,0.13,0.14
電子通路類指數,116.78,+,0.55,0.47
資訊服務類指數,100.95,+,0.81,0.81
其他電子類指數,88.36,-,0.11,-0.12
建材營造類指數,290.7,-,0.57,-0.2
航運類指數,76.26,-,0.48,-0.63
觀光類指數,138.18,+,0.13,0.09
金融保險類指數,1121.57,-,1.77,-0.16
貿易百貨類指數,242.97,-,0.23,-0.09
油電燃氣類指數,96.66,-,0.47,-0.48
其他類指數,247.41,+,0.27,0.11
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,11190.44,+,15.8,0.14
發行量加權股價報酬指數,14263.04,+,7.7,0.05
臺灣50報酬指數,10312.25,-,13.03,-0.13
臺灣中型100報酬指數,10924.77,+,28.85,0.26
臺灣資訊科技報酬指數,11254.02,-,22.7,-0.2
臺灣發達報酬指數,11410.54,+,16.41,0.14
臺灣高股息報酬指數,10013.64,+,22.21,0.22
臺灣就業99報酬指數,6341.44,-,1.62,-0.03
臺灣高薪100報酬指數,5180.51,-,4.82,-0.09
臺灣企業經營101報酬指數,6361.02,-,4.37,-0.07
臺灣低波動高股息報酬指數,2952.99,+,8.43,0.29
未含金融電子股報酬指數,17961.17,+,28.04,0.16
水泥類報酬指數,209.68,-,0.45,-0.21
食品類報酬指數,1514.73,+,10.26,0.68
塑膠類報酬指數,290.09,+,0.11,0.04
紡織纖維類報酬指數,613.47,+,5.51,0.91
電機機械類報酬指數,206.7,+,0.69,0.33
電器電纜類報酬指數,46.63,+,0.27,0.58
化學生技醫療類報酬指數,132.88,+,0.54,0.41
化學類報酬指數,131.5,+,0.87,0.67
生技醫療類報酬指數,93.14,+,0.08,0.09
玻璃陶瓷類報酬指數,67.69,+,0.1,0.15
造紙類報酬指數,215.25,+,1.82,0.85
鋼鐵類報酬指數,127.64,+,0.62,0.49
橡膠類報酬指數,437.59,+,3.76,0.87
汽車類報酬指數,379.11,+,1.04,0.28
電子類報酬指數,511.29,+,0.24,0.05
半導體類報酬指數,152.98,-,0.5,-0.33
電腦及週邊設備類報酬指數,154.78,+,0.67,0.43
光電類報酬指數,48.61,+,0.59,1.23
通信網路類報酬指數,176.36,+,0.03,0.02
電子零組件類報酬指數,129.59,+,0.27,0.21
電子通路類報酬指數,171.1,+,0.81,0.48
資訊服務類報酬指數,152.44,+,1.22,0.81
其他電子類報酬指數,101.06,-,0.13,-0.13
建材營造類報酬指數,374.76,-,0.74,-0.2
航運類報酬指數,89.13,-,0.56,-0.62
觀光類報酬指數,152.44,+,0.2,0.13
金融保險類報酬指數,1395.59,-,2.2,-0.16
貿易百貨類報酬指數,281.17,-,0.27,-0.1
油電燃氣類報酬指數,114.69,-,0.56,-0.49
其他類報酬指數,315.39,+,0.34,0.11
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","89885055682","2177295689","736107"
"2.台灣存託憑證","59873326","8899062","1915"
"3.受益憑證","0","0","0"
"4.ETF","603715938","32363840","5438"
"5.受益證券","10322620","597000","134"
"6.變更交易股票","23052852","8468997","998"
"7.認購(售)權證","3370747140","3079758000","73503"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","89908108534","2185764686","737105"
"總計(1~12)","93952767558","5307382588","818095"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",2826(33),464(28)
"下跌(跌停)",2565(30),276(1)
"持平",590,91
"未成交",3419,1
"無比價",989,14
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2014年08月26日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","台灣50","1734004","578","119061916","68.6","68.8","68.55","68.6","-","0.05","68.6","3","68.65","20","0.00"
="0051  ","中100 ","5000","5","156620","31.3","31.38","31.28","31.38","+","0.25","31.28","1","31.38","1","0.00"
="0052  ","FB科技","4000","3","164750","41","41.75","41","41.75","+","0.82","40.05","1","41.3","1","0.00"
="0053  ","寶電子","17000","9","506480","29.66","29.87","29.66","29.8","+","0.05","29.78","1","29.85","1","0.00"
="0054  ","台商50","22000","15","539000","24.35","24.58","24.35","24.49","+","0.04","24.46","3","24.49","2","0.00"
="0055  ","寶金融","533000","108","8313670","15.63","15.63","15.57","15.61","-","0.02","15.61","1","15.62","110","0.00"
="0056  ","高股息","205843","155","5411007","26.27","26.36","26.24","26.29","+","0.02","26.29","1","26.3","25","0.00"
="0057  ","FB摩台","4000","4","164400","41.1","41.1","41.1","41.1","-","0.03","41.06","50","41.1","50","0.00"
="0058  ","FB發達","0","0","0","--","--","--","--"," ","0","39.36","28","39.55","44","0.00"
="0059  ","FB金融","4000","3","136130","34.07","34.07","34.02","34.02","-","0.18","34.07","22","34.24","1","0.00"
="0060  ","新台灣","69000","67","2283000","33.09","33.09","33.08","33.09","+","0.29","32.7","2","33.09","54","0.00"
="0061  ","寶滬深","16589324","2605","217643426","13.15","13.2","13.07","13.08","-","0.06","13.08","134","13.09","35","0.00"
="006203","寶摩臺","10000","10","332190","33.3","33.3","32.97","32.97","+","0.02","32.96","1","33.05","1","0.00"
="006204","豐臺灣","41230","9","1964826","47.65","47.67","47.65","47.65","+","0.06","47.66","10","47.67","1","0.00"
="006205","FB上証","7549000","1038","151625050","20.17","20.21","20","20.03","-","0.12","20.03","58","20.04","51","0.00"
="006206","元上證","3371139","500","62531523","18.56","18.64","18.51","18.52","-","0.04","18.51","203","18.52","968","0.00"
="006207","FH滬深","2189000","300","31879340","14.6","14.65","14.51","14.53","-","0.08","14.52","68","14.53","52","0.00"
="006208","FB台50","5000","1","195500","39.1","39.1","39.1","39.1","X","0","39.1","1","39.2","44","0.00"
="0080  ","恒中國","600","3","212200","353","355","353","355","-","3.95","351.55","1","355","5","0.00"
="0081  ","恒香港","0","0","0","--","--","--","--"," ","0","780.05","1","910","1","0.00"
="008201","上證50","10700","25","594910","56","56","55.5","55.8","-","0.2","55.55","3","55.9","5","0.00"
="01001T","富邦R1","8000","2","121990","15.2","15.33","15.2","15.33"," ","0","15.21","1","15.32","6","0.00"
="01002T","國泰R1","225000","43","4117320","18.31","18.32","18.26","18.32","+","0.01","18.27","66","18.32","109","0.00"
="01003T","新光R1","8000","5","106000","13.25","13.25","13.25","13.25","-","0.03","13.18","6","13.25","9","0.00"
="01004T","富邦R2","73000","13","951840","13.05","13.06","13.01","13.01","-","0.07","13.01","10","13.06","9","0.00"
="01007T","國泰R2","109000","7","1722160","15.8","15.8","15.78","15.78","-","0.02","15.76","10","15.78","50","0.00"
