

2014年10月22日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10138.86,+,103.76,1.03
發行量加權股價指數,8748.83,+,94.19,1.09
臺灣50指數,6361.62,+,84.21,1.34
臺灣中型100指數,6930.67,+,72.1,1.05
臺灣資訊科技指數,7405.81,+,162.08,2.24
臺灣發達指數,7562.33,+,55.3,0.74
臺灣高股息指數,5454.88,+,21.27,0.39
臺灣就業99指數,5224.67,+,49.18,0.95
臺灣高薪100指數,4857.94,+,43.17,0.9
臺灣企業經營101指數,5610.22,+,61.38,1.11
臺灣低波動高股息指數,1356.44,+,9.03,0.67
未含金融保險股指數,7330.78,+,85.1,1.17
未含電子股指數,12662.6,+,112.79,0.9
未含金融電子股指數,10763.87,+,110.72,1.04
水泥窯製類指數,582.6,+,4.45,0.77
塑膠化工類指數,743.79,+,10.55,1.44
機電類指數,1940.34,+,24.32,1.27
水泥類指數,149.89,+,1.05,0.71
食品類指數,1190.66,-,2.02,-0.17
塑膠類指數,202.73,+,3.76,1.89
紡織纖維類指數,496.31,+,3.97,0.81
電機機械類指數,153.41,+,2.44,1.62
電器電纜類指數,36.46,+,0.32,0.89
化學生技醫療類指數,100.46,+,0.5,0.5
化學類指數,94.29,+,0.67,0.72
生技醫療類指數,76.63,+,0.21,0.27
玻璃陶瓷類指數,54.83,+,0.58,1.07
造紙類指數,172.79,+,2.54,1.49
鋼鐵類指數,99.04,+,0.49,0.5
橡膠類指數,348.26,+,3.01,0.87
汽車類指數,305.86,+,5.3,1.76
電子類指數,344.29,+,4.28,1.26
半導體類指數,110.82,+,2.61,2.41
電腦及週邊設備類指數,96.38,+,0.69,0.72
光電類指數,35.07,-,0.06,-0.17
通信網路類指數,110.39,-,0.15,-0.14
電子零組件類指數,83.7,+,0.79,0.95
電子通路類指數,109.65,+,0.79,0.73
資訊服務類指數,95.28,+,0.67,0.71
其他電子類指數,83.77,+,0.53,0.64
建材營造類指數,262.23,+,0.71,0.27
航運類指數,75.88,+,1.14,1.53
觀光類指數,124.29,+,0.79,0.64
金融保險類指數,1062.97,+,6.06,0.57
貿易百貨類指數,232.01,+,0.23,0.1
油電燃氣類指數,89.66,+,0.71,0.8
其他類指數,224.34,+,3.25,1.47
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10444.63,+,106.89,1.03
發行量加權股價報酬指數,13321.71,+,143.42,1.09
臺灣50報酬指數,9797.82,+,129.7,1.34
臺灣中型100報酬指數,9920.09,+,103.21,1.05
臺灣資訊科技報酬指數,10802.53,+,236.42,2.24
臺灣發達報酬指數,10546.44,+,77.12,0.74
臺灣高股息報酬指數,8988.48,+,35.06,0.39
臺灣就業99報酬指數,5930.87,+,55.83,0.95
臺灣高薪100報酬指數,4897.49,+,43.52,0.9
臺灣企業經營101報酬指數,5992.99,+,65.57,1.11
臺灣低波動高股息報酬指數,2661.89,+,17.71,0.67
未含金融電子股報酬指數,16544.69,+,170.18,1.04
水泥類報酬指數,198.35,+,1.4,0.71
食品類報酬指數,1377.5,-,2.34,-0.17
塑膠類報酬指數,252.16,+,4.68,1.89
紡織纖維類報酬指數,607.83,+,4.86,0.81
電機機械類報酬指數,184.15,+,2.93,1.62
電器電纜類報酬指數,40.8,+,0.35,0.87
化學生技醫療類報酬指數,121.85,+,0.62,0.51
化學類報酬指數,116.78,+,0.83,0.72
生技醫療類報酬指數,88.83,+,0.24,0.27
玻璃陶瓷類報酬指數,58.45,+,0.62,1.07
造紙類報酬指數,200.38,+,2.95,1.49
鋼鐵類報酬指數,122.28,+,0.61,0.5
橡膠類報酬指數,412.8,+,3.57,0.87
汽車類報酬指數,356.03,+,6.17,1.76
電子類報酬指數,479.79,+,5.97,1.26
半導體類報酬指數,148.36,+,3.5,2.42
電腦及週邊設備類報酬指數,138.11,+,0.99,0.72
光電類報酬指數,41.4,-,0.08,-0.19
通信網路類報酬指數,169.06,-,0.23,-0.14
電子零組件類報酬指數,114.66,+,1.07,0.94
電子通路類報酬指數,160.65,+,1.15,0.72
資訊服務類報酬指數,143.87,+,1.01,0.71
其他電子類報酬指數,97.2,+,0.62,0.64
建材營造類報酬指數,340.19,+,0.92,0.27
航運類報酬指數,89.06,+,1.33,1.52
觀光類報酬指數,137.32,+,0.87,0.64
金融保險類報酬指數,1324.01,+,7.54,0.57
貿易百貨類報酬指數,270.12,+,0.27,0.1
油電燃氣類報酬指數,106.38,+,0.84,0.8
其他類報酬指數,286.75,+,4.16,1.47
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","78349168364","1956379420","675065"
"2.台灣存託憑證","37016792","5102895","1309"
"3.受益憑證","0","0","0"
"4.ETF","1134925446","39533774","5839"
"5.受益證券","14646940","875000","87"
"6.變更交易股票","72316626","9931893","1529"
"7.認購(售)權證","3208930650","3420289000","75153"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","78421484990","1966311313","676594"
"總計(1~12)","82817004818","5432111982","758982"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",3428(26),588(21)
"下跌(跌停)",1926(58),176(2)
"持平",482,76
"未成交",3876,4
"無比價",1190,1
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2014年10月22日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","台灣50","9342412","2192","609083830","65.1","65.45","65","65.3","+","1","65.25","839","65.3","267","0.00"
="0051  ","中100 ","29000","23","827670","28.5","28.59","28.49","28.59","+","0.36","28.53","1","28.59","50","0.00"
="0052  ","FB科技","2000","2","76770","38.37","38.4","38.37","38.4","+","0.75","38.17","42","38.4","1","0.00"
="0053  ","寶電子","16000","12","448210","28.01","28.05","27.98","27.98","+","0.35","27.9","1","28","1","0.00"
="0054  ","台商50","0","0","0","--","--","--","--"," ","0","22.42","1","22.47","3","0.00"
="0055  ","寶金融","262010","82","3851068","14.68","14.73","14.68","14.7","+","0.11","14.69","1","14.7","57","0.00"
="0056  ","高股息","2210937","694","53059640","24.1","24.1","23.96","24","+","0.12","23.99","45","24","3","0.00"
="0057  ","FB摩台","1000","1","39010","39.01","39.01","39.01","39.01","X","0","39.02","123","39.06","50","0.00"
="0058  ","FB發達","1000","1","36350","36.35","36.35","36.35","36.35","X","0","36.26","49","36.54","31","0.00"
="0059  ","FB金融","22000","11","714320","32.46","32.54","32.44","32.48","+","0.17","32.47","41","32.54","3","0.00"
="0060  ","新台灣","2000","2","61350","30.66","30.69","30.66","30.69","+","0.39","30.43","2","30.78","2","0.00"
="0061  ","寶滬深","10483915","1429","142307698","13.5","13.55","13.46","13.51","+","0.05","13.51","117","13.52","112","0.00"
="006203","寶摩臺","6000","4","186810","30.88","31.24","30.88","31.24","+","0.51","30.66","2","31.35","1","0.00"
="006204","豐臺灣","126000","28","5584090","44.34","44.37","44.26","44.37","+","0.52","44.37","11","44.38","10","0.00"
="006205","FB上証","6835000","624","141796320","20.7","20.81","20.66","20.75","+","0.09","20.75","28","20.78","2","0.00"
="006206","元上證","5621000","422","106713700","18.89","19.04","18.88","18.99","+","0.11","18.99","87","19","159","0.00"
="006207","FH滬深","4557000","297","69441950","15.19","15.29","15.19","15.23","+","0.04","15.23","28","15.24","12","0.00"
="006208","FB台50","12000","8","443050","36.68","37","36.68","37","+","0.5","37","8","37.16","48","0.00"
="0080  ","恒中國","0","0","0","--","--","--","--"," ","0","342","1","348","1","0.00"
="0081  ","恒香港","0","0","0","--","--","--","--"," ","0","779.05","1","840","1","0.00"
="008201","上證50","4500","7","253610","56.25","56.65","56.2","56.2"," ","0","55.5","10","56.6","5","0.00"
="01001T","富邦R1","10000","5","154210","15.44","15.44","15.4","15.4"," ","0","15.33","7","15.4","4","0.00"
="01002T","國泰R1","398000","29","7161290","17.98","18","17.98","18"," ","0","17.98","31","18","72","0.00"
="01003T","新光R1","94000","10","1185130","12.6","12.62","12.6","12.62","+","0.01","12.62","18","12.63","22","0.00"
="01004T","富邦R2","58000","7","724200","12.46","12.5","12.46","12.5"," ","0","12.46","20","12.5","22","0.00"
="01007T","國泰R2","154000","13","2379480","15.45","15.46","15.45","15.46","+","0.01","15.45","4","15.46","51","0.00"
="01008T","駿馬R1","161000","23","3042630","18.95","18.95","18.86","18.9","+","0.05","18.86","1","18.9","4","0.00"
"1101  ","台泥  ","4032854","1696","184282681","45.8","45.95","45.5","45.55","+","0.15","45.55","41","45.6","2","15.23"
"1102  ","亞泥  ","2914757","1489","113576691","38.75","39.15","38.55","39.05","+","0.55","39","31","39.05","54","15.56"
"1103  ","嘉泥  ","267512","153","3778312","14.2","14.3","14","14.3","+","0.15","14.15","3","14.3","37","7.57"
"1104  ","環泥  ","412279","283","11028696","27","27","26.6","26.75","-","0.15","26.75","1","26.85","1","12.56"
"1108  ","幸福  ","586000","238","5603190","9.55","9.63","9.47","9.58","+","0.19","9.58","34","9.6","8","13.49"
"1109  ","信大  ","108146","89","1455613","13.6","13.6","13.4","13.5","-","0.1","13.5","5","13.55","5","15.52"
"1110  ","東泥  ","146775","102","2143524","14.7","14.8","14.5","14.65","-","0.05","14.6","9","14.65","1","48.83"
"1201  ","味全  ","21129956","6030","508280406","25.2","25.4","23.4","24.5","-","0.65","24.5","93","24.55","7","16.44"
"1203  ","味王  ","639380","142","14169331","22.35","22.35","22.1","22.35","+","0.05","22.2","49","22.35","9","20.89"
"1210  ","大成  ","1623787","718","44694800","27.9","27.9","27.3","27.6","-","0.15","27.55","33","27.6","50","6.63"
"1213  ","大飲  ","51500","39","958700","18.8","18.8","18.55","18.7","-","0.1","18.65","1","18.7","5","58.44"
"1215  ","卜蜂  ","830771","447","19822066","23.9","24.1","23.65","23.85"," ","0","23.8","40","23.85","38","7.38"
"1216  ","統一  ","7742929","2715","391383782","50.9","50.9","50.3","50.5","-","0.1","50.5","62","50.6","1,153","19.27"
"1217  ","愛之味","865111","483","6820344","7.85","7.96","7.81","7.95","+","0.1","7.91","30","7.95","8","0.00"
"1218  ","泰山  ","678365","310","7764910","11.35","11.65","11.3","11.6","+","0.25","11.55","13","11.6","2","0.00"
"1219  ","福壽  ","181082","104","2693080","15","15.15","14.75","15.1","+","0.1","15.05","9","15.15","6","37.75"
"1220  ","台榮  ","119000","53","1188710","10","10.05","9.95","10"," ","0","9.96","6","10","8","25.64"
"1225  ","福懋油","768500","374","12791340","16.6","17.15","16.2","16.95","+","0.25","16.9","19","16.95","27","65.19"
"1227  ","佳格  ","489209","419","33869690","69","69.6","68.6","69.3","+","0.9","69.2","19","69.4","14","26.96"
"1229  ","聯華  ","885228","333","17255198","19.5","19.55","19.45","19.55","+","0.1","19.5","83","19.55","16","8.81"
"1231  ","聯華食","127230","99","4052571","32.1","32.1","31.65","31.65","-","0.15","31.65","3","31.8","1","18.62"
"1232  ","大統益","95941","71","6782152","71.2","71.6","70.3","71.2"," ","0","71.1","1","71.2","10","15.21"
"1233  ","天仁  ","172070","138","7873015","46.5","46.5","45.4","46.25","-","0.25","46.05","1","46.3","2","17.13"
"1234  ","黑松  ","510791","283","17915835","35.05","35.25","34.85","35.25","+","0.2","35.1","25","35.25","16","16.71"
"1235  ","興泰  ","224100","140","4793800","21.8","21.9","21","21.5","-","0.1","21.4","3","21.5","9","17.2"
"1236  ","宏亞  ","26032","33","626825","24.35","24.35","24","24.05","-","0.05","24.05","4","24.2","1","12.79"
"1262  ","F-綠悅","77900","79","11376549","149","149","145","145","-","2","145","2","146","3","17.3"
"1301  ","台塑  ","7562204","2940","509911172","67","67.9","66.6","67.9","+","1.6","67.8","1","67.9","361","18.71"
"1303  ","南亞  ","5221742","2601","314169752","60","60.5","59.6","60.4","+","1.1","60.4","19","60.5","124","14.15"
"1304  ","台聚  ","1527279","794","21352206","14.05","14.1","13.9","14.1","+","0.15","14","10","14.1","33","21.69"
"1305  ","華夏  ","558624","276","5802762","10.35","10.5","10.3","10.4","+","0.1","10.4","25","10.45","105","11.56"
"1307  ","三芳  ","161430","125","4653220","28.95","29.2","28.6","28.9","+","0.05","28.9","13","29.15","6","11.25"
"1308  ","亞聚  ","565417","349","11400519","20.5","20.5","20","20.2","-","0.1","20.15","42","20.2","5","18.36"
"1309  ","台達化","285006","166","2330224","8.23","8.27","8.12","8.21","+","0.08","8.21","4","8.22","36","0.00"
"1310  ","台苯  ","1339072","573","16536664","12.3","12.45","12.25","12.35","+","0.1","12.3","133","12.35","24","5.35"
"1312  ","國喬  ","1294267","592","16909879","13.1","13.15","13","13.1","+","0.1","13.05","12","13.1","109","8.56"
"1312A ","國喬特","5000","4","102750","20.55","20.6","20.5","20.6","+","0.05","20.45","4","20.6","1","0.00"
"1313  ","聯成  ","1286743","436","12911009","10","10.15","9.96","10.1","+","0.13","10.05","149","10.1","6","36.07"
"1314  ","中石化","6898382","1881","62124578","9.06","9.07","8.97","9.01","+","0.05","9","163","9.01","78","0.00"
"1316  ","上曜  ","88000","40","1002950","11.4","11.5","11.2","11.45","+","0.05","11.4","9","11.5","5","0.00"
"1319  ","東陽  ","3777986","1860","112193425","29.45","30.1","29.25","30","+","1.1","30","34","30.1","151","13.82"
