

2006年03月17日 查無資料
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2006年03月17日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0015  ","富邦  ","155000","19","1330980","8.56","8.64","8.56","8.64","+","0.04","8.61","72","8.65","19","0.00"
="0050  ","台灣50","1886000","221","97708200","51.9","52","51.5","52","+","0.1","51.9","115","52","874","0.00"
="01001T","富邦R1","1022000","30","10720260","10.48","10.5","10.48","10.49","+","0.01","10.48","5","10.5","453","0.00"
="01002T","國泰R1","3630000","116","37074350","10.2","10.23","10.2","10.22","+","0.01","10.21","5","10.22","50","0.00"
="01003T","新光R1","7832000","177","79832080","10.18","10.21","10.18","10.2","+","0.01","10.19","632","10.2","290","0.00"
"1101  ","台泥  ","5312530","1332","130803902","24.5","25","24.2","24.9","+","0.4","24.9","183","24.95","125","11.91"
"1101A ","台泥特","0","0","0","--","--","--","--"," ","0","26.75","230","27.4","100","0.00"
"1102  ","亞泥  ","3876474","809","83960186","21.75","21.8","21.5","21.6","-","0.15","21.6","24","21.7","42","8.61"
"1103  ","嘉泥  ","1519501","199","20363705","13.45","13.5","13.25","13.45"," ","0","13.3","4","13.45","281","0.00"
"1104  ","環泥  ","325829","101","3254205","10","10.05","9.96","9.96","-","0.09","9.96","15","9.97","1","9.4"
"1107  ","建台  ","146000","13","63710","0.43","0.44","0.43","0.44"," ","0","0.44","48","0.46","13","0.00"
"1108  ","幸福  ","358748","59","2462593","6.92","6.92","6.85","6.91","+","0.02","6.87","13","6.91","10","0.00"
"1109  ","信大  ","51870","27","466658","9.01","9.01","8.98","8.98","-","0.02","8.98","7","9.03","11","19.11"
"1110  ","東泥  ","130398","41","785858","6.09","6.09","5.91","6.08","+","0.03","6.08","37","6.09","22","22.52"
"1201  ","味全  ","1955412","371","16821290","8.85","8.88","8.24","8.24","-","0.61","--","0","8.24","18","0.00"
"1203  ","味王  ","157213","30","1792161","11.3","11.45","11.25","11.3"," ","0","11.3","19","11.35","3","0.00"
"1207  ","嘉食化","714256","127","1417532","2.03","2.03","1.93","2.01","-","0.02","2","26","2.02","216","0.00"
"1210  ","大成  ","405922","128","4252523","10.5","10.55","10.4","10.45","+","0.05","10.45","18","10.5","20","6.26"
"1213  ","大飲  ","2000","1","16040","8.02","8.02","8.02","8.02","-","0.13","8.01","3","8.14","2","401"
"1215  ","卜蜂  ","183576","41","746109","4.08","4.09","3.95","4.08","+","0.01","4.03","4","4.08","10","0.00"
"1216  ","統一  ","8364555","1606","166341503","19.9","20","19.45","19.9","+","0.2","19.9","297","19.95","448","19.51"
"1217  ","愛之味","259953","80","1642976","6.32","6.35","6.3","6.33","-","0.03","6.31","1","6.33","27","26.38"
"1218  ","泰山  ","173040","45","953695","5.59","5.59","5.49","5.55","+","0.04","5.54","41","5.55","6","0.00"
"1219  ","福壽  ","72899","25","347493","4.8","4.8","4.75","4.75","-","0.05","4.75","20","4.8","6","36.54"
"1220  ","台榮  ","61185","8","360853","5.9","5.9","5.8","5.8","+","0.1","5.8","1","5.9","5","0.00"
"1225  ","福懋油","281118","31","1115305","3.98","4","3.95","3.97"," ","0","3.97","6","3.99","5","15.88"
"1227  ","佳格  ","82293","24","1133399","13.85","13.85","13.75","13.75","-","0.05","13.75","5","13.85","1","8.04"
"1229  ","聯華  ","1637044","326","18253321","11.35","11.35","11.05","11.05","-","0.35","11.05","10","11.15","104","16.49"
"1231  ","聯華食","56808","24","520712","9.17","9.23","9.13","9.15"," ","0","9.13","9","9.15","2","12.53"
"1232  ","大統益","29060","8","489261","16.85","16.85","16.8","16.8","-","0.05","16.8","21","16.9","1","8.24"
"1233  ","天仁  ","3100","6","77118","24.8","24.95","24.8","24.95","+","0.05","24.8","5","24.95","1","14.51"
"1234  ","黑松  ","215618","44","1842199","8.73","8.79","8.45","8.79","+","0.06","8.74","1","8.79","9","87.9"
"1235  ","興泰  ","52520","7","725926","13.8","14","13.75","14","+","0.15","13.85","1","14","5","10.94"
"1236  ","宏亞  ","27000","6","469300","17.45","17.45","17.3","17.35","+","0.1","17.35","10","17.45","13","8.63"
"1301  ","台塑  ","9823089","2704","502416405","50.5","51.6","50.5","51.4","+","1.1","51.4","52","51.5","1,175","6.99"
"1303  ","南亞  ","17383907","5185","857542614","49.5","49.85","49","49.05","+","0.05","49.05","30","49.1","1","7.86"
"1304  ","台聚  ","3323114","490","28328541","8.5","8.57","8.43","8.55","+","0.07","8.55","66","8.56","20","7.77"
"1305  ","華夏  ","1981532","527","15432614","7.7","7.88","7.7","7.82","+","0.1","7.82","3","7.83","20","0.00"
"1307  ","三芳  ","112571","43","2003367","17.8","17.8","17.8","17.8"," ","0","17.8","40","17.95","12","13.28"
