

2005年06月14日 查無資料
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2005年06月14日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0015  ","富邦  ","579000","47","3705890","6.38","6.42","6.38","6.4","+","0.04","6.41","3","6.42","50","0.00"
="0050  ","台灣50","8236000","577","387422960","46.95","47.13","46.84","47"," ","0","46.98","200","47","1,503","0.00"
="01001T","富邦R1","2771000","100","27849400","10.05","10.1","10.05","10.1","+","0.05","10.05","1,332","10.1","3,304","0.00"
"1101  ","台泥  ","12062540","2306","234844836","20","20","19.1","19.15","-","0.85","19.15","1","19.3","20","15.96"
"1101A ","台泥特","0","0","0","--","--","--","--"," ","0","27.55","1","28","2","0.00"
"1102  ","亞泥  ","2453146","541","51149645","20.9","21","20.7","20.7","-","0.2","20.7","85","20.75","279","7.47"
"1103  ","嘉泥  ","1206475","156","15546869","12.9","13","12.85","12.95","+","0.1","12.9","1","12.95","138","0.00"
"1104  ","環泥  ","799979","186","9366080","11.7","11.8","11.65","11.75"," ","0","11.65","38","11.75","46","7.12"
"1107  ","建台  ","410800","32","327906","0.73","0.82","0.73","0.79","+","0.02","0.74","2","0.8","125","0.00"
"1108  ","幸福  ","1035000","152","8003970","7.76","7.79","7.65","7.79","+","0.02","7.78","10","7.79","10","0.00"
"1109  ","信大  ","170000","34","1608850","9.45","9.49","9.4","9.4","-","0.02","9.4","13","9.49","12","12.88"
"1110  ","東泥  ","773781","139","5338818","7","7","6.82","6.85","-","0.1","6.83","3","6.86","19","36.05"
"1201  ","味全  ","1514954","326","16264138","10.9","10.95","10.65","10.65","-","0.15","10.65","9","10.7","11","0.00"
"1203  ","味王  ","295781","82","2704238","9.2","9.29","9.1","9.1","-","0.12","9.1","8","9.15","1","130"
"1204  ","津津  ","53000","20","260500","4.71","5.15","4.71","5.15","+","0.15","5","1","5.15","8","0.00"
"1207  ","嘉食化","375526","138","1124309","3.02","3.03","2.96","2.99","+","0.01","2.98","7","2.99","10","0.00"
"1210  ","大成  ","698066","171","6729095","9.68","9.75","9.5","9.5","-","0.18","9.5","52","9.58","30","17.27"
"1213  ","大飲  ","7519","13","77721","10.4","10.4","10.4","10.4","+","0.25","10.2","1","10.45","1","61.18"
"1215  ","卜蜂  ","464428","78","2450551","5.28","5.31","5.25","5.26","-","0.08","5.26","8","5.27","10","0.00"
"1216  ","統一  ","3311280","617","49516832","15","15","14.85","14.95","-","0.05","14.95","192","15","507","23"
"1217  ","愛之味","2808309","505","24371377","8.85","8.91","8.55","8.59","-","0.22","8.58","21","8.59","75","61.36"
"1218  ","泰山  ","1106000","209","7623980","7","7","6.8","6.9","-","0.06","6.85","3","6.9","5","0.00"
"1219  ","福壽  ","98006","27","525302","5.36","5.42","5.31","5.41","-","0.02","5.31","7","5.41","13","0.00"
"1220  ","台榮  ","112001","25","656195","5.9","5.99","5.7","5.85"," ","0","5.71","10","5.85","6","0.00"
"1225  ","福懋油","112001","28","523844","4.7","4.76","4.63","4.67","-","0.1","4.63","5","4.67","8","0.00"
"1227  ","佳格  ","158999","47","1881825","11.8","11.9","11.8","11.8","-","0.05","11.8","116","11.9","28","7.38"
"1229  ","聯華  ","4136000","675","47193850","11.35","11.5","11.3","11.4","X","0","11.35","75","11.4","25","10.65"
"1231  ","聯華食","551000","99","5389550","9.9","9.92","9.72","9.75","-","0.15","9.75","195","9.76","3","17.41"
"1232  ","大統益","13095","16","225132","17.2","17.2","17.2","17.2"," ","0","17.2","1","17.25","2","13.03"
"1233  ","天仁  ","21026","23","504415","24.2","24.3","23.7","23.7","-","0.3","23.75","20","24.3","3","12.54"
"1234  ","黑松  ","261200","75","2597253","9.98","9.99","9.9","9.9","-","0.07","9.88","10","9.9","3","247.5"
"1235  ","興泰  ","70000","13","944200","13.4","13.6","13.4","13.4","-","0.2","13.3","32","13.35","1","9.31"
"1236  ","宏亞  ","41030","24","714018","17.5","17.5","17.3","17.45","-","0.1","17.45","1","17.5","3","8.27"
"1301  ","台塑  ","28938253","5847","1602480920","54.5","56","54.5","55.8","+","1.5","55.7","23","55.8","3","7.14"
"1303  ","南亞  ","18201446","5611","805375469","43.8","44.5","43.7","44.15","+","0.55","44.15","14","44.2","46","6.49"
"1304  ","台聚  ","6667626","1370","77108185","11.5","11.7","11.4","11.4"," ","0","11.35","205","11.4","45","9.05"
"1305  ","華夏  ","12324411","2229","132341393","10.7","10.9","10.45","10.5","+","0.05","10.5","13","10.55","15","7.5"
"1306  ","合發  ","268000","90","1797210","6.6","6.9","6.6","6.66","+","0.01","6.66","7","6.69","2","0.00"
"1307  ","三芳  ","45605","29","829890","18.2","18.4","18.05","18.05","-","0.05","18.05","7","18.1","5","11.28"
"1308  ","亞聚  ","2091662","507","33245443","16","16.1","15.7","15.75","+","0.05","15.75","791","15.8","60","7.26"
"1309  ","台達化","1784935","525","17610534","9.75","9.98","9.75","9.77","+","0.03","9.77","85","9.78","5","21.24"
"1310  ","台苯  ","15252252","3405","297097938","19.2","19.85","19.05","19.3","+","0.35","19.3","29","19.35","203","21.44"
"1311  ","福聚  ","1911728","711","50450032","26.3","26.7","26.1","26.4","+","0.4","26.4","49","26.45","97","8.02"
