

2015年02月26日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,11140.46,-,78.96,-0.7
發行量加權股價指數,9622.1,-,77.44,-0.8
臺灣50指數,7021.35,-,89.12,-1.25
臺灣中型100指數,7666.99,-,2.42,-0.03
臺灣資訊科技指數,8562.81,-,129.89,-1.49
臺灣發達指數,8150.08,-,70.37,-0.86
臺灣高股息指數,6033.83,-,16.49,-0.27
臺灣就業99指數,5769.47,-,29.88,-0.52
臺灣高薪100指數,5245.85,-,33.64,-0.64
臺灣企業經營101指數,6137.38,-,49.26,-0.8
臺灣低波動高股息指數,1459.6,-,6.18,-0.42
未含金融保險股指數,8122.79,-,72.79,-0.89
未含電子股指數,13614.06,-,80.76,-0.59
未含金融電子股指數,11689.86,-,87.4,-0.74
水泥窯製類指數,573.25,-,1.16,-0.2
塑膠化工類指數,814.13,-,6.35,-0.77
機電類指數,2172.13,-,20.68,-0.94
水泥類指數,145.57,-,0.28,-0.19
食品類指數,1256.18,-,9.3,-0.73
塑膠類指數,225.58,-,2.51,-1.1
紡織纖維類指數,556.69,-,4.38,-0.78
電機機械類指數,163.54,-,0.24,-0.15
電器電纜類指數,37.66,+,0.14,0.37
化學生技醫療類指數,104.29,+,0.4,0.39
化學類指數,102.28,+,0.3,0.29
生技醫療類指數,75.31,+,0.38,0.51
玻璃陶瓷類指數,57.66,-,0.16,-0.28
造紙類指數,166.06,-,0.92,-0.55
鋼鐵類指數,100.62,-,0.67,-0.66
橡膠類指數,380.98,-,3.21,-0.84
汽車類指數,332.95,-,4.09,-1.21
電子類指數,386.23,-,3.81,-0.98
半導體類指數,128.79,-,2.32,-1.77
電腦及週邊設備類指數,107.65,-,0.41,-0.38
光電類指數,42.24,-,0.18,-0.42
通信網路類指數,122.07,-,0.83,-0.68
電子零組件類指數,94.45,-,1.04,-1.09
電子通路類指數,119.86,+,0.3,0.25
資訊服務類指數,102.38,+,0.92,0.91
其他電子類指數,81.38,+,0.41,0.51
建材營造類指數,291.25,-,0.12,-0.04
航運類指數,94.62,+,0.43,0.46
觀光類指數,122.66,+,0.71,0.58
金融保險類指數,1115.91,-,2.45,-0.22
貿易百貨類指數,245.42,-,6.51,-2.58
油電燃氣類指數,89.67,-,1.44,-1.58
其他類指數,268.62,-,2.01,-0.74
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,11476.79,-,81.34,-0.7
發行量加權股價報酬指數,14651.82,-,117.92,-0.8
臺灣50報酬指數,10813.91,-,137.25,-1.25
臺灣中型100報酬指數,10974.01,-,3.45,-0.03
臺灣資訊科技報酬指數,12490.2,-,189.46,-1.49
臺灣發達報酬指數,11366.11,-,98.14,-0.86
臺灣高股息報酬指數,9942.47,-,27.17,-0.27
臺灣就業99報酬指數,6549.31,-,33.92,-0.52
臺灣高薪100報酬指數,5288.56,-,33.91,-0.64
臺灣企業經營101報酬指數,6556.11,-,52.62,-0.8
臺灣低波動高股息報酬指數,2865.93,-,12.11,-0.42
