

2014年08月14日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10715.77,-,6.85,-0.06
發行量加權股價指數,9230.61,-,0.7,-0.01
臺灣50指數,6584.28,+,32.08,0.49
臺灣中型100指數,7530.77,-,71.68,-0.94
臺灣資訊科技指數,7648.39,+,49.39,0.65
臺灣發達指數,8042.9,-,5.24,-0.07
臺灣高股息指數,5909.71,-,28,-0.47
臺灣就業99指數,5477.04,+,3.16,0.06
臺灣企業經營101指數,5847.68,-,1.02,-0.02
臺灣低波動高股息指數,1477,-,1.54,-0.1
未含金融保險股指數,7773.52,+,0.05,--
未含電子股指數,13346.55,-,69.01,-0.51
未含金融電子股指數,11489.19,-,81.25,-0.7
水泥窯製類指數,610.12,+,0.64,0.11
塑膠化工類指數,821.45,-,7.72,-0.93
機電類指數,2053.02,+,8.04,0.39
水泥類指數,154.96,+,0.67,0.43
食品類指數,1283.38,-,3.49,-0.27
塑膠類指數,227.61,-,1.41,-0.62
紡織纖維類指數,513.16,-,10.58,-2.02
電機機械類指數,170.29,-,1.75,-1.02
電器電纜類指數,40.89,-,0.18,-0.44
化學生技醫療類指數,109.82,-,1.78,-1.59
化學類指數,106.67,-,1.48,-1.37
生技醫療類指數,80.3,-,1.54,-1.88
玻璃陶瓷類指數,61.31,-,0.93,-1.49
造紙類指數,185.36,-,1.56,-0.83
鋼鐵類指數,99.91,-,1.65,-1.62
橡膠類指數,365,-,5.06,-1.37
汽車類指數,311.83,+,2.31,0.75
電子類指數,363.54,+,1.63,0.45
半導體類指數,113.38,+,1.21,1.08
電腦及週邊設備類指數,106.57,-,0.71,-0.66
光電類指數,40.74,-,0.44,-1.07
通信網路類指數,112.64,-,0.52,-0.46
電子零組件類指數,93.85,-,0.03,-0.03
電子通路類指數,114.75,-,1.59,-1.37
資訊服務類指數,100.2,-,1.75,-1.72
其他電子類指數,87.32,+,1.75,2.05
建材營造類指數,288.62,-,0.69,-0.24
航運類指數,71.98,-,0.37,-0.51
觀光類指數,140.67,-,0.24,-0.17
金融保險類指數,1087.36,-,0.65,-0.06
貿易百貨類指數,241.05,-,0.45,-0.19
油電燃氣類指數,93.71,-,0.56,-0.59
其他類指數,245.5,-,1.58,-0.64
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10991.43,+,3.64,0.03
發行量加權股價報酬指數,13994.5,+,13.48,0.1
臺灣50報酬指數,10102.1,+,59.31,0.59
臺灣中型100報酬指數,10735.36,-,86.04,-0.8
臺灣資訊科技報酬指數,11143.72,+,77.97,0.7
臺灣發達報酬指數,11149.43,+,7.83,0.07
臺灣高股息報酬指數,9698.49,-,33.6,-0.35
臺灣就業99報酬指數,6194.86,+,8.24,0.13
臺灣企業經營101報酬指數,6215.64,+,6.67,0.11
臺灣低波動高股息報酬指數,2884.73,-,0.4,-0.01
未含金融電子股報酬指數,17582.37,-,95.71,-0.54
水泥類報酬指數,201.79,+,0.88,0.44
食品類報酬指數,1481.91,-,4.03,-0.27
塑膠類報酬指數,282.87,-,1.76,-0.62
紡織纖維類報酬指數,617.79,-,12.75,-2.02
電機機械類報酬指數,203.47,-,2.1,-1.02
