

2005年08月17日 查無資料
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2005年08月17日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0015  ","富邦  ","96000","14","705100","7.38","7.4","7.3","7.4","+","0.08","7.38","2","7.4","17","0.00"
="0050  ","台灣50","1720000","213","82789220","47.9","48.28","47.86","48.23","+","0.06","48.2","6","48.23","12","0.00"
="01001T","富邦R1","1598000","147","16344650","10.2","10.25","10.2","10.25","+","0.05","10.2","2,061","10.25","5,599","0.00"
"1101  ","台泥  ","4906145","600","99148451","20.25","20.3","20.1","20.1","-","0.15","20.1","807","20.15","560","16.75"
"1101A ","台泥特","23000","4","634500","27.5","27.9","27.5","27.9"," ","0","27.45","152","27.9","14","0.00"
"1102  ","亞泥  ","2064891","488","37939148","18.4","18.5","18.3","18.35","-","0.05","18.35","23","18.4","69","7.17"
"1103  ","嘉泥  ","777057","185","10688218","13.6","13.85","13.55","13.85","+","0.05","13.8","19","13.85","83","0.00"
"1104  ","環泥  ","739531","78","7986321","10.8","10.85","10.75","10.8","-","0.05","10.75","332","10.8","9","7.3"
"1107  ","建台  ","726289","57","543856","0.73","0.81","0.72","0.74","-","0.03","0.74","11","0.8","26","0.00"
"1108  ","幸福  ","255000","64","1815840","7.13","7.14","7.11","7.14","+","0.01","7.14","19","7.15","5","0.00"
"1109  ","信大  ","61000","11","555800","9.04","9.13","9.04","9.12","-","0.01","9.05","20","9.12","9","12.49"
"1110  ","東泥  ","376000","100","2493210","6.64","6.69","6.57","6.61","-","0.04","6.61","3","6.65","17","34.79"
"1201  ","味全  ","4242301","561","45252694","10.5","10.85","10.45","10.6","+","0.05","10.55","137","10.6","90","0.00"
"1203  ","味王  ","98001","34","864348","8.81","8.88","8.8","8.8","-","0.06","8.8","26","8.82","2","125.71"
"1204  ","津津  ","0","0","0","--","--","--","--"," ","0","--","0","1.83","249","0.00"
"1207  ","嘉食化","74150","23","203799","2.72","2.79","2.72","2.76","+","0.01","2.74","12","2.76","12","0.00"
"1210  ","大成  ","256556","73","2559133","10","10","9.95","10"," ","0","9.98","2","10","114","18.18"
"1213  ","大飲  ","2000","1","20200","10.1","10.1","10.1","10.1","X","0","9.82","1","10.1","5","59.41"
"1215  ","卜蜂  ","198001","30","1004595","5.03","5.09","5.03","5.08","+","0.05","5.05","15","5.08","3","0.00"
"1216  ","統一  ","4587416","1013","60877182","13.25","13.4","13.15","13.25"," ","0","13.25","147","13.3","88","20.38"
"1217  ","愛之味","232004","103","1777225","7.7","7.7","7.63","7.65","-","0.02","7.65","2","7.66","10","54.64"
"1218  ","泰山  ","324000","60","2138140","6.6","6.65","6.55","6.65","+","0.05","6.63","2","6.65","30","0.00"
"1219  ","福壽  ","137000","31","701740","5.12","5.19","5.08","5.14","-","0.04","5.14","1","5.16","5","0.00"
"1220  ","台榮  ","36991","16","216225","5.8","5.9","5.8","5.84"," ","0","5.84","5","5.99","1","0.00"
"1225  ","福懋油","449001","82","2242264","5.12","5.12","4.95","4.98","+","0.04","4.95","10","4.98","11","0.00"
"1227  ","佳格  ","212405","66","2649790","12.45","12.55","12.4","12.45","-","0.05","12.4","26","12.45","1","7.78"
"1229  ","聯華  ","582923","165","6674407","11.45","11.55","11.4","11.5"," ","0","11.45","55","11.5","54","10.75"
"1231  ","聯華食","206000","50","2048960","10","10","9.9","9.95"," ","0","9.95","3","9.99","10","17.77"
"1232  ","大統益","9000","2","145350","16.15","16.15","16.15","16.15"," ","0","16.15","6","16.2","15","12.23"
"1233  ","天仁  ","35235","35","818676","23.6","23.6","22.55","23.6","-","0.05","23.3","1","23.6","4","12.49"
"1234  ","黑松  ","136303","68","1300967","9.6","9.63","9.51","9.53","-","0.09","9.53","26","9.6","1","238.25"
"1235  ","興泰  ","41000","15","515000","12.55","12.6","12.5","12.6","+","0.05","12.55","61","12.6","50","8.75"
"1236  ","宏亞  ","72340","30","1181095","16.4","16.4","16.25","16.35","-","0.05","16.25","11","16.35","11","8.13"
"1301  ","台塑  ","10018004","2655","496878498","49.75","49.95","49.45","49.55","-","0.2","49.55","22","49.6","46","6.91"
"1303  ","南亞  ","4569235","1154","186105203","40.6","40.95","40.5","40.65","+","0.05","40.65","5","40.7","6","6.34"
"1304  ","台聚  ","2732582","536","27826310","10.25","10.3","10.1","10.15","-","0.1","10.15","89","10.2","172","8.06"
"1305  ","華夏  ","2232517","562","21714608","9.75","9.9","9.64","9.71","-","0.09","9.7","10","9.71","4","6.94"
