

2014年12月04日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10690.85,+,55.09,0.52
發行量加權股價指數,9225.11,+,49.85,0.54
臺灣50指數,6730,+,42.89,0.64
臺灣中型100指數,7356.85,+,32.36,0.44
臺灣資訊科技指數,8044.06,+,58.35,0.73
臺灣發達指數,7917.77,+,41.41,0.53
臺灣高股息指數,5736.25,+,31.64,0.55
臺灣就業99指數,5489.29,+,25.82,0.47
臺灣高薪100指數,5067.52,+,30.78,0.61
臺灣企業經營101指數,5892.94,+,30.71,0.52
臺灣低波動高股息指數,1398.02,+,8.07,0.58
未含金融保險股指數,7773.02,+,40.33,0.52
未含電子股指數,13166.82,+,48.19,0.37
未含金融電子股指數,11290.26,+,26.71,0.24
水泥窯製類指數,586.64,+,0.67,0.11
塑膠化工類指數,775.76,+,4.99,0.65
機電類指數,2069.74,+,14.13,0.69
水泥類指數,149.78,-,0.07,-0.05
食品類指數,1199.5,+,3.01,0.25
塑膠類指數,212.55,+,2.2,1.05
紡織纖維類指數,513.98,+,1.38,0.27
電機機械類指數,161.1,+,0.44,0.27
電器電纜類指數,37.55,+,0.58,1.57
化學生技醫療類指數,101.44,-,0.17,-0.17
化學類指數,95.97,-,0.06,-0.06
生技醫療類指數,76.63,-,0.23,-0.3
玻璃陶瓷類指數,57.44,+,0.52,0.91
造紙類指數,173.1,-,0.74,-0.43
鋼鐵類指數,99.94,+,0.08,0.08
橡膠類指數,370.16,+,0.4,0.11
汽車類指數,350.66,+,0.86,0.25
電子類指數,367.53,+,2.54,0.7
半導體類指數,120.29,+,1.24,1.04
電腦及週邊設備類指數,102.78,+,0.04,0.04
光電類指數,39.36,+,0.21,0.54
通信網路類指數,114.98,+,0.13,0.11
電子零組件類指數,86.32,+,0.56,0.65
電子通路類指數,113.66,+,0.38,0.34
資訊服務類指數,99.42,+,1.67,1.71
其他電子類指數,86.33,+,0.72,0.84
建材營造類指數,290.33,-,5.72,-1.93
航運類指數,86.42, ,--,--
觀光類指數,125.12,+,0.71,0.57
金融保險類指數,1082.83,+,7.32,0.68
貿易百貨類指數,238.48,-,0.85,-0.36
油電燃氣類指數,89.2,-,0.01,-0.01
其他類指數,243.44,+,2.36,0.98
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,11013.58,+,56.75,0.52
發行量加權股價報酬指數,14047.32,+,75.92,0.54
臺灣50報酬指數,10365.18,+,66.05,0.64
臺灣中型100報酬指數,10530.1,+,46.33,0.44
臺灣資訊科技報酬指數,11733.51,+,85.12,0.73
臺灣發達報酬指數,11042.14,+,57.75,0.53
臺灣高股息報酬指數,9452.11,+,52.14,0.55
臺灣就業99報酬指數,6231.25,+,29.3,0.47
臺灣高薪100報酬指數,5108.77,+,31.03,0.61
臺灣企業經營101報酬指數,6295,+,32.81,0.52
臺灣低波動高股息報酬指數,2745.01,+,15.85,0.58
未含金融電子股報酬指數,17355.21,+,41.06,0.24
水泥類報酬指數,198.2,-,0.09,-0.05
食品類報酬指數,1387.72,+,3.47,0.25
塑膠類報酬指數,264.41,+,2.74,1.05
紡織纖維類報酬指數,629.47,+,1.7,0.27
電機機械類報酬指數,193.38,+,0.52,0.27
電器電纜類報酬指數,42.03,+,0.66,1.6
化學生技醫療類報酬指數,123.05,-,0.21,-0.17
化學類報酬指數,118.86,-,0.08,-0.07
生技醫療類報酬指數,88.86,-,0.27,-0.3
玻璃陶瓷類報酬指數,61.23,+,0.55,0.91
造紙類報酬指數,200.73,-,0.86,-0.43
鋼鐵類報酬指數,123.39,+,0.11,0.09
橡膠類報酬指數,438.75,+,0.47,0.11
汽車類報酬指數,408.17,+,1.01,0.25
電子類報酬指數,512.16,+,3.54,0.7
半導體類報酬指數,161.04,+,1.66,1.04
電腦及週邊設備類報酬指數,147.27,+,0.05,0.03
光電類報酬指數,46.46,+,0.24,0.52
通信網路類報酬指數,176.08,+,0.19,0.11
電子零組件類報酬指數,118.26,+,0.77,0.66
電子通路類報酬指數,166.54,+,0.56,0.34
資訊服務類報酬指數,150.13,+,2.51,1.7
其他電子類報酬指數,100.16,+,0.83,0.84
建材營造類報酬指數,376.64,-,7.43,-1.93
航運類報酬指數,101.52, ,--,--
觀光類報酬指數,138.24,+,0.79,0.57
金融保險類報酬指數,1348.75,+,9.12,0.68
貿易百貨類報酬指數,277.65,-,0.99,-0.36
