

2006年10月03日 查無資料
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2006年10月03日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0015  ","富邦  ","102000","15","927760","9.03","9.13","9.03","9.1","-","0.04","9.08","107","9.1","14","0.00"
="0050  ","台灣50","3057050","262","173847350","56.75","56.95","56.65","56.9","+","0.15","56.85","200","56.9","9","0.00"
="0051  ","中100 ","1489100","178","42121164","28.24","28.35","28.2","28.3","+","0.03","28.29","32","28.3","2","0.00"
="0052  ","FB科技","1054000","167","37235550","35.3","35.38","35.26","35.36","+","0.12","35.35","1","35.36","12","0.00"
="01001T","富邦R1","244000","28","2618410","10.79","10.79","10.72","10.72","-","0.01","10.72","211","10.73","22","0.00"
="01002T","國泰R1","1397000","44","14385500","10.3","10.31","10.29","10.29"," ","0","10.29","995","10.3","814","0.00"
="01003T","新光R1","881000","23","9077300","10.3","10.31","10.3","10.3"," ","0","10.3","163","10.31","258","0.00"
="01004T","富邦R2","280000","17","2948270","10.53","10.54","10.52","10.54","+","0.01","10.54","1","10.55","30","0.00"
="01005T","三鼎  ","348000","21","3428500","9.86","9.86","9.84","9.86"," ","0","9.85","2","9.86","155","0.00"
"1101  ","台泥  ","10774547","2184","272500490","25.55","25.55","25.15","25.25","-","0.35","25.25","777","25.3","711","16.83"
"1102  ","亞泥  ","3159660","767","76993196","24.15","24.5","24.15","24.3","-","0.25","24.3","58","24.35","229","8.84"
"1103  ","嘉泥  ","3488267","754","64384006","18.5","18.6","18.3","18.35","-","0.15","18.35","58","18.4","15","4.33"
"1104  ","環泥  ","4470141","719","51696138","11.55","11.8","11.4","11.55","+","0.1","11.5","187","11.55","39","9.87"
"1107  ","建台  ","125620","30","140685","1.12","1.12","1.12","1.12","+","0.07","1.12","847","--","0","1.7"
"1108  ","幸福  ","421613","116","3695891","8.8","8.81","8.72","8.75","-","0.05","8.74","11","8.75","26","10.54"
"1109  ","信大  ","656332","167","7258152","11.2","11.2","10.9","11.05","-","0.15","11.05","6","11.1","2","7.04"
"1110  ","東泥  ","719200","121","4994801","6.97","7","6.86","6.95","-","0.02","6.93","10","6.95","98","14.18"
"1201  ","味全  ","25213418","3890","363022199","14","14.65","13.85","14.35","+","0.65","14.3","87","14.35","127","19.93"
"1203  ","味王  ","170083","77","1990047","11.55","11.8","11.55","11.55"," ","0","11.55","10","11.65","26","0.00"
"1207  ","嘉食化","356733","92","539169","1.51","1.53","1.5","1.52","+","0.01","1.51","1","1.52","34","0.00"
"1210  ","大成  ","5627402","1023","80254528","14.1","14.5","14","14.05","+","0.05","14.05","150","14.1","26","9.76"
"1213  ","大飲  ","23001","18","255861","11.3","11.3","11","11.3"," ","0","11.25","4","11.3","3","0.00"
"1215  ","卜蜂  ","3038283","476","19095830","6.17","6.38","6.15","6.18","+","0.03","6.18","26","6.2","7","15.07"
"1216  ","統一  ","20287619","4358","619435015","30.35","30.8","30.1","30.3","-","0.1","30.25","98","30.3","10","34.04"
