

2008年09月03日 查無資料
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2008年09月03日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0015  ","富邦  ","854000","54","5453930","6.56","6.56","6.35","6.35","-","0.23","6.35","48","6.37","13","0.00"
="0050  ","台灣50","18271896","5134","920377812","50.6","51.2","49.98","50","-","0.6","49.99","238","50","169","0.00"
="0051  ","中100 ","579100","250","14624520","25.8","25.8","24.9","24.9","-","0.93","24.9","13","24.91","1","0.00"
="0052  ","FB科技","58000","16","1864970","32","32.4","31.9","32.4","+","0.3","31.96","1","32.5","20","0.00"
="0053  ","寶電子","514000","198","10755560","21.08","21.15","20.72","20.82","-","0.21","20.82","11","20.88","8","0.00"
="0054  ","台商50","445000","53","7656140","17.27","17.39","16.92","16.95","-","0.32","16.95","10","17.14","30","0.00"
="0055  ","寶金融","1856000","510","21983560","12.03","12.1","11.65","11.67","-","0.36","11.66","18","11.68","2","0.00"
="0056  ","高股息","460100","183","9629150","21.36","21.4","20.73","20.74","-","0.61","20.74","4","20.75","3","0.00"
="0057  ","FB摩台","73000","23","1876640","26","26","25.5","25.5","-","0.4","25.4","55","25.5","3","0.00"
="0058  ","FB發達","66000","11","1692380","26.1","26.1","25.5","25.5","-","0.5","25.5","9","26","1","0.00"
="0059  ","FB金融","109000","11","2698370","25.17","25.17","24.4","24.4","-","0.65","24.23","20","24.52","5","0.00"
="0060  ","新台灣","217000","63","4968670","23.15","23.3","22.73","22.78","-","0.37","22.77","1","22.78","25","0.00"
="01001T","富邦R1","85000","5","972760","11.46","11.46","11.3","11.4","+","0.1","11.3","27","11.4","2","0.00"
="01002T","國泰R1","1282000","38","13001500","10.15","10.16","10.13","10.16","+","0.01","10.15","500","10.16","106","0.00"
="01003T","新光R1","21000","5","204450","9.76","9.76","9.72","9.75","-","0.02","9.75","499","9.76","13","0.00"
="01004T","富邦R2","1545000","30","15454180","10","10.03","9.97","10"," ","0","9.96","500","10","199","0.00"
="01005T","三鼎  ","2000","2","14050","6.95","7.1","6.95","7.1","X","0","6.95","9","7.08","20","0.00"
="01007T","國泰R2","432000","22","4311700","9.99","9.99","9.96","9.96","-","0.04","9.96","492","9.99","100","0.00"
="01008T","駿馬R1","5000","3","43030","8.63","8.63","8.6","8.6","X","0","8.6","3","8.73","2","0.00"
"1101  ","台泥  ","20324526","6275","622030129","31.45","31.7","29.6","30.5","-","0.6","30.4","1","30.5","1,161","12.55"
"1102  ","亞泥  ","11399841","3778","400228035","36.45","36.8","33.9","34.5","-","1.9","34.5","155","34.6","20","9.83"
"1103  ","嘉泥  ","1520050","500","28933200","20.1","20.1","18.75","19","-","1.15","19","46","19.05","20","13.67"
"1104  ","環泥  ","403239","158","7520143","19.4","19.7","18.2","18.5","-","1.05","18.35","7","18.6","1","19.68"
"1108  ","幸福  ","1154265","294","8675109","7.81","7.88","7.4","7.5","-","0.44","7.5","27","7.51","26","19.74"
"1109  ","信大  ","255804","85","2340996","9.49","9.49","9","9.12","-","0.3","9.07","1","9.13","10","17.21"
"1110  ","東泥  ","2559000","627","24596670","10.15","10.15","9.44","9.44","-","0.71","--","0","9.44","274","17.81"
"1201  ","味全  ","5162999","1454","96123380","19.45","19.65","18.1","18.2","-","1.25","18.2","75","18.25","40","17.01"
"1203  ","味王  ","861076","201","13594133","16.75","16.75","15.6","15.6","-","1.15","--","0","15.6","314","195"
"1210  ","大成  ","3569512","1169","114733541","34","34","31.65","32.2","-","1.8","32.2","1","32.25","33","10.99"
"1213  ","大飲  ","35001","22","293958","8.67","8.79","8.28","8.28","-","0.62","--","0","8.28","13","103.5"
"1215  ","卜蜂  ","2760106","737","34397423","13.2","13.3","12.3","12.3","-","0.9","--","0","12.3","90","7.83"
"1216  ","統一  ","16437706","4804","523140818","33.7","34","30.9","30.9","-","2.3","30.9","524","30.95","1","12.77"
"1217  ","愛之味","2886562","817","21579669","7.85","7.89","7.31","7.31","-","0.54","7.31","19","7.35","47","0.00"
"1218  ","泰山  ","1635201","406","11625086","7.47","7.62","6.94","6.94","-","0.52","6.94","5","6.95","8","11.38"
"1219  ","福壽  ","1714132","491","15873624","9.8","9.9","9.12","9.12","-","0.68","--","0","9.12","106","10.02"
"1220  ","台榮  ","150019","35","1020134","7","7","6.65","6.65","-","0.35","6.65","2","6.78","5","95"
"1225  ","福懋油","1829115","481","20201649","11.7","11.7","10.9","10.9","-","0.8","--","0","10.9","440","6.12"
"1227  ","佳格  ","2064200","626","56220920","28","28.1","26.2","26.8","-","1.2","26.8","36","26.85","2","15.58"
"1229  ","聯華  ","2105182","582","27911380","13.8","14","12.95","13.2","-","0.7","13.2","8","13.25","29","8.15"
"1231  ","聯華食","326310","107","3350374","10.5","10.5","9.9","10.3","-","0.3","10","45","10.3","8","14.31"
"1232  ","大統益","177500","91","5399449","31.25","31.6","30","30","-","1.25","30","19","30.1","2","7.69"
"1233  ","天仁  ","46869","27","1304185","27.8","28.05","27.8","27.8","-","0.2","27.8","62","28","1","16.85"
"1234  ","黑松  ","1156225","165","14510939","12.75","12.8","12.3","12.3","-","0.5","12.3","61","12.4","15","47.31"
"1235  ","興泰  ","51000","12","1682750","33.5","33.5","32.65","33.3"," ","0","32","10","33.5","1","13.01"
"1236  ","宏亞  ","348349","113","5031811","14.9","14.9","14","14","-","0.9","14","3","14.3","5","8.7"
"1301  ","台塑  ","7762603","3093","471920583","60.8","61.5","60.4","60.8","-","0.2","60.7","71","60.8","61","6.77"
"1303  ","南亞  ","5134577","2379","248869639","48.35","49","48.25","48.3","-","0.05","48.3","82","48.35","2","6.71"
"1304  ","台聚  ","3882536","1065","52946077","14.05","14.2","13.3","13.4","-","0.8","13.35","90","13.45","39","5.34"
"1305  ","華夏  ","2080750","540","20545370","10.1","10.15","9.7","9.75","-","0.35","9.75","59","9.84","2","8.78"
"1307  ","三芳  ","177091","42","3684958","21.2","21.4","20.35","20.35","-","0.95","20.35","2","20.75","5","8.77"
"1308  ","亞聚  ","1345244","443","26611581","20.4","20.4","19.35","19.6","-","0.8","19.6","26","19.65","40","4.94"
"1309  ","台達化","544123","175","4279026","8.2","8.3","7.72","7.72","-","0.58","7.72","10","7.74","6","8.39"
"1310  ","台苯  ","3644108","808","34069116","9.87","10","9.18","9.19","-","0.68","9.19","26","9.26","2","19.15"
"1312  ","國喬  ","4205078","609","28323671","7.02","7.15","6.63","6.63","-","0.49","--","0","6.63","593","6.25"
