

2006年10月14日 查無資料
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2006年10月14日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0015  ","富邦  ","57000","14","524130","9.2","9.2","9.17","9.17","-","0.03","9.17","6","9.2","88","0.00"
="0050  ","台灣50","2997000","339","172490150","57.75","57.75","57.35","57.5","-","0.15","57.5","175","57.6","32","0.00"
="0051  ","中100 ","1589100","308","45925130","28.89","28.97","28.83","28.94","+","0.09","28.93","13","28.94","24","0.00"
="0052  ","FB科技","1662000","140","59333850","35.79","35.96","35.5","35.74","+","0.04","35.7","21","35.74","10","0.00"
="01001T","富邦R1","588000","18","6314950","10.74","10.74","10.73","10.73","-","0.01","10.73","115","10.75","10","0.00"
="01002T","國泰R1","3366000","89","34674580","10.3","10.32","10.29","10.3","-","0.01","10.3","19","10.31","30","0.00"
="01003T","新光R1","1055000","42","10866500","10.3","10.3","10.3","10.3","+","0.01","10.29","181","10.3","211","0.00"
="01004T","富邦R2","145000","11","1528550","10.55","10.55","10.54","10.54","-","0.01","10.54","391","10.55","155","0.00"
="01005T","三鼎  ","493000","27","4850080","9.84","9.84","9.83","9.84","-","0.01","9.83","441","9.84","20","0.00"
="01007T","國泰R2","10876000","396","111299120","10.21","10.26","10.21","10.24","+","0.05","10.24","366","10.25","12","0.00"
"1101  ","台泥  ","2474989","749","64083417","25.9","26.15","25.7","25.85","-","0.05","25.85","22","25.9","12","17.23"
"1102  ","亞泥  ","2012104","574","53251881","26.5","26.7","26.25","26.3","-","0.2","26.25","32","26.3","12","9.56"
"1103  ","嘉泥  ","7757549","1387","147891909","18.8","19.3","18.8","19","+","0.2","19","465","19.05","56","4.48"
"1104  ","環泥  ","12161816","1658","161420009","13.1","13.45","12.95","13.45","+","0.5","13.4","5","13.45","606","11.5"
"1107  ","建台  ","1576243","124","2238050","1.4","1.44","1.35","1.44","+","0.09","1.44","60","--","0","2.18"
"1108  ","幸福  ","1318882","228","11808160","8.8","9.04","8.8","8.91","+","0.01","8.91","32","8.95","21","10.73"
"1109  ","信大  ","1271477","224","14785932","11.5","11.75","11.5","11.65","+","0.15","11.6","49","11.65","36","7.42"
"1110  ","東泥  ","1727680","432","13042908","7.41","7.65","7.41","7.54","+","0.13","7.54","37","7.55","6","15.39"
"1201  ","味全  ","7058659","1544","103074583","14.5","14.8","14.4","14.45","+","0.1","14.4","114","14.45","20","20.07"
"1203  ","味王  ","210064","88","2511009","11.8","12.15","11.75","11.8"," ","0","11.8","31","12","45","0.00"
"1207  ","嘉食化","2260188","312","3820438","1.64","1.71","1.61","1.71","+","0.11","1.71","514","--","0","0.00"
"1210  ","大成  ","3091546","665","44856754","14.35","14.7","14.2","14.6","+","0.4","14.5","14","14.6","19","10.14"
"1213  ","大飲  ","416000","117","5253400","12.15","12.8","12.15","12.75","+","0.65","12.4","15","12.75","5","0.00"
"1215  ","卜蜂  ","2219050","501","15269589","6.75","7","6.75","6.86","+","0.08","6.86","42","6.9","6","16.73"
"1216  ","統一  ","17931290","4284","570201440","31.4","32.5","31.1","31.2"," ","0","31.2","4","31.25","3","35.06"
"1217  ","愛之味","1842777","359","12605184","6.72","6.9","6.72","6.83","+","0.11","6.83","54","6.84","10","24.39"
"1218  ","泰山  ","1739729","356","11456401","6.4","6.8","6.4","6.52","+","0.09","6.52","64","6.58","12","0.00"
"1219  ","福壽  ","703624","125","4063230","5.51","5.84","5.51","5.84","+","0.1","5.82","6","5.84","5","17.7"
"1220  ","台榮  ","8661","5","63904","7.36","7.4","7.36","7.4","+","0.04","7.38","3","7.48","3","35.24"
