

2007年04月24日 查無資料
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2007年04月24日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0015  ","富邦  ","187000","13","1783740","9.54","9.54","9.5","9.54"," ","0","9.54","27","9.57","1","0.00"
="0050  ","台灣50","2483010","263","143657285","57.9","58.1","57.6","58.1","+","0.25","58","160","58.1","28","0.00"
="0051  ","中100 ","287100","46","9432550","32.83","32.99","32.7","32.99","+","0.16","32.94","10","32.99","23","0.00"
="0052  ","FB科技","221000","49","8507700","38.4","38.65","38.25","38.65","+","0.25","38.6","1","38.65","4","0.00"
="01001T","富邦R1","234000","12","3102390","13.25","13.27","13.25","13.27","+","0.02","13.27","38","13.28","55","0.00"
="01002T","國泰R1","1027000","61","11150210","10.85","10.86","10.85","10.86","+","0.01","10.86","139","10.87","182","0.00"
="01003T","新光R1","219000","39","2531360","11.6","11.6","11.54","11.54","-","0.07","11.52","5","11.54","45","0.00"
="01004T","富邦R2","229000","14","2848760","12.44","12.44","12.44","12.44"," ","0","12.44","9","12.45","161","0.00"
="01005T","三鼎  ","54000","9","529810","9.85","9.85","9.81","9.82","-","0.03","9.82","411","9.84","1","0.00"
="01007T","國泰R2","661000","37","7602840","11.5","11.51","11.5","11.5","-","0.04","11.5","423","11.52","1","0.00"
"1101  ","台泥  ","7989929","2149","241130039","29.6","30.5","29.6","30.25","+","0.65","30.25","30","30.3","193","17.59"
"1102  ","亞泥  ","6652122","1494","240405491","35","36.65","35","36","+","0.85","36","87","36.1","3","12.59"
"1103  ","嘉泥  ","5089321","1232","103644059","20.4","20.7","20.1","20.25","-","0.15","20.25","4","20.3","190","4.89"
"1104  ","環泥  ","1916337","393","25190066","12.95","13.25","12.9","13.2","+","0.3","13.15","15","13.2","38","12.45"
