

2014年09月17日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10684.53,+,72.95,0.69
發行量加權股價指數,9195.17,+,61.77,0.68
臺灣50指數,6597.75,+,63.24,0.97
臺灣中型100指數,7410.33,+,23.77,0.32
臺灣資訊科技指數,7583.48,+,92.35,1.23
臺灣發達指數,8027.73,+,55.55,0.7
臺灣高股息指數,5887.8,+,39.33,0.67
臺灣就業99指數,5475.89,+,29.09,0.53
臺灣高薪100指數,5065.91,+,29.42,0.58
臺灣企業經營101指數,5858.94,+,35.11,0.6
臺灣低波動高股息指數,1455.89,+,5.03,0.35
未含金融保險股指數,7720.29,+,56.18,0.73
未含電子股指數,13367.54,+,32.03,0.24
未含金融電子股指數,11443.45,+,23.12,0.2
水泥窯製類指數,611.93,+,4.94,0.81
塑膠化工類指數,804.24,+,1.23,0.15
機電類指數,2034.17,+,21.08,1.05
水泥類指數,155.1,+,1.83,1.19
食品類指數,1295.12,+,11.61,0.9
塑膠類指數,223.06,+,0.77,0.35
紡織纖維類指數,499.6,-,0.43,-0.09
電機機械類指數,167,+,0.86,0.52
電器電纜類指數,39.53,+,0.02,0.05
化學生技醫療類指數,107.1, ,--,--
化學類指數,103.08,-,0.07,-0.07
生技醫療類指數,79.23,+,0.08,0.1
玻璃陶瓷類指數,62.13,-,0.61,-0.97
造紙類指數,182.79,+,0.78,0.43
鋼鐵類指數,102.59,+,0.92,0.9
橡膠類指數,357.61,-,1.61,-0.45
汽車類指數,318.93,+,0.54,0.17
電子類指數,360.39,+,3.82,1.07
半導體類指數,112.57,+,1.56,1.41
電腦及週邊設備類指數,104.14,+,0.27,0.26
光電類指數,39.71,+,0.81,2.08
通信網路類指數,110.96,+,0.82,0.74
電子零組件類指數,90.33,+,0.17,0.19
電子通路類指數,116.07,+,0.02,0.02
資訊服務類指數,101.94,-,0.12,-0.12
其他電子類指數,90.07,+,1.1,1.24
建材營造類指數,289.94,-,0.18,-0.06
航運類指數,76.75,+,0.42,0.55
觀光類指數,139.03,+,0.69,0.5
金融保險類指數,1103.66,+,3.63,0.33
貿易百貨類指數,241.29,-,0.2,-0.08
油電燃氣類指數,94.02,-,1.15,-1.21
其他類指數,240.83,+,1.06,0.44
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,11005.02,+,76.62,0.7
發行量加權股價報酬指數,13999.46,+,96.07,0.69
臺灣50報酬指數,10161.5,+,100.08,0.99
臺灣中型100報酬指數,10605.33,+,34.02,0.32
臺灣資訊科技報酬指數,11061.69,+,134.71,1.23
臺灣發達報酬指數,11195.48,+,82.83,0.75
臺灣高股息報酬指數,9701.83,+,64.8,0.67
臺灣就業99報酬指數,6214.95,+,33.41,0.54
臺灣高薪100報酬指數,5106.85,+,29.67,0.58
臺灣企業經營101報酬指數,6258.32,+,37.51,0.6
臺灣低波動高股息報酬指數,2857.06,+,9.86,0.35
未含金融電子股報酬指數,17588.34,+,35.64,0.2
水泥類報酬指數,205.24,+,2.42,1.19
食品類報酬指數,1498.36,+,13.43,0.9
塑膠類報酬指數,277.44,+,0.96,0.35
紡織纖維類報酬指數,611.86,-,0.52,-0.08
電機機械類報酬指數,200.46,+,1.03,0.52
電器電纜類報酬指數,44.24,+,0.03,0.07
化學生技醫療類報酬指數,129.9, ,--,--
化學類報酬指數,127.67,-,0.08,-0.06
生技醫療類報酬指數,91.84,+,0.08,0.09
玻璃陶瓷類報酬指數,66.23,-,0.65,-0.97
造紙類報酬指數,211.96,+,0.9,0.43
鋼鐵類報酬指數,126.66,+,1.14,0.91
橡膠類報酬指數,423.88,-,1.91,-0.45
汽車類報酬指數,371.24,+,0.64,0.17
電子類報酬指數,502.13,+,5.46,1.1
半導體類報酬指數,150.7,+,2.08,1.4
電腦及週邊設備類報酬指數,149.09,+,0.39,0.26
光電類報酬指數,46.88,+,0.95,2.07
通信網路類報酬指數,169.87,+,1.26,0.75
電子零組件類報酬指數,123.73,+,0.23,0.19
電子通路類報酬指數,170.06,+,0.02,0.01
資訊服務類報酬指數,153.94,-,0.18,-0.12
其他電子類報酬指數,104.51,+,1.48,1.44
建材營造類報酬指數,375.77,-,0.19,-0.05
航運類報酬指數,90.09,+,0.49,0.55
觀光類報酬指數,153.61,+,0.76,0.5
金融保險類報酬指數,1374.48,+,4.52,0.33
貿易百貨類報酬指數,280.93,-,0.23,-0.08
油電燃氣類報酬指數,111.56,-,1.36,-1.2
其他類報酬指數,307.83,+,1.37,0.45
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","75857338021","1915679950","734158"
"2.台灣存託憑證","164415058","29925040","4999"
"3.受益憑證","0","0","0"
"4.ETF","3056341676","138132466","19896"
"5.受益證券","19825090","1115000","136"
"6.變更交易股票","125569527","5056100","1625"
"7.認購(售)權證","2966291590","3019588000","69293"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","75982907548","1920736050","735783"
"總計(1~12)","82189780962","5109496556","830107"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",3257(16),470(9)
"下跌(跌停)",2076(40),259(1)
"持平",462,107
"未成交",3523,3
"無比價",1063,6
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2014年09月17日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","台灣50","16515909","2706","1121078885","67.5","68.2","67.45","67.7","+","0.5","67.65","58","67.7","765","0.00"
="0051  ","中100 ","33000","23","1011580","30.51","30.71","30.51","30.71","+","0.25","30.56","1","30.74","1","0.00"
="0052  ","FB科技","8000","4","314050","39.29","39.29","39.02","39.02","-","0.26","39.02","29","39.35","5","0.00"
="0053  ","寶電子","8000","8","234390","29.22","29.45","29.22","29.45","+","0.43","29.04","2","29.33","2","0.00"
="0054  ","台商50","4000","4","96030","23.96","24.07","23.94","23.94","+","0.09","23.84","1","24.03","57","0.00"
="0055  ","寶金融","684067","132","10548585","15.28","15.47","15.28","15.38","+","0.1","15.36","155","15.38","5","0.00"
="0056  ","高股息","1989550","330","51016949","25.52","25.75","25.52","25.63","+","0.11","25.62","1","25.63","103","0.00"
="0057  ","FB摩台","664136","115","26894893","40.29","40.63","40.29","40.36","+","0.05","40.3","50","40.32","50","0.00"
="0058  ","FB發達","31000","3","1196360","38.8","38.8","38.57","38.57","X","0","38.11","21","38.32","29","0.00"
="0059  ","FB金融","8000","7","271290","33.88","34.12","33.8","33.8","-","0.15","33.37","28","33.79","18","0.00"
="0060  ","新台灣","13000","3","420240","32.38","32.48","32.3","32.3","+","0.05","32.02","2","32.7","2","0.00"
="0061  ","寶滬深","78843731","11890","1115950368","14.14","14.3","13.98","14.02","-","0.32","14.02","131","14.03","10","0.00"
="006203","寶摩臺","103000","30","3335930","32.25","32.45","32.25","32.43","+","0.21","32.37","1","33","1","0.00"
="006204","豐臺灣","16000","9","749610","46.59","47","46.59","46.72","+","0.21","46.64","15","46.77","15","0.00"
="006205","FB上証","16030107","1848","333498427","20.8","20.9","20.66","20.7","-","0.3","20.69","186","20.7","11","0.00"
="006206","元上證","10275300","1344","194363872","18.94","19.03","18.76","18.8","-","0.23","18.8","6","18.83","151","0.00"
="006207","FH滬深","12888266","1408","194305197","15.1","15.16","14.94","14.99","-","0.25","14.98","178","14.99","54","0.00"
="006208","FB台50","1000","1","38330","38.33","38.33","38.33","38.33","X","0","38.01","44","38.31","50","0.00"
="0080  ","恒中國","0","0","0","--","--","--","--"," ","0","356.05","1","360.95","2","0.00"
="0081  ","恒香港","100","1","81500","815","815","815","815","X","0","791","1","988","1","0.00"
="008201","上證50","16300","30","935190","57.45","57.85","57","57.65","+","0.3","57.3","5","57.65","5","0.00"
="01001T","富邦R1","3000","3","44850","14.95","14.95","14.95","14.95","-","0.1","15","20","15.08","4","0.00"
="01002T","國泰R1","171000","35","3100420","18.1","18.19","18.1","18.15"," ","0","18.11","1","18.15","58","0.00"
="01003T","新光R1","12000","3","156550","13.05","13.05","13","13","-","0.05","13","22","13.05","3","0.00"
="01004T","富邦R2","116000","9","1506960","12.95","13.01","12.95","12.98","-","0.03","12.97","25","13","7","0.00"
="01007T","國泰R2","121000","4","1884140","15.55","15.65","15.5","15.5"," ","0","15.42","1","15.49","1","0.00"
="01008T","駿馬R1","692000","82","13132170","18.79","19.05","18.78","18.81","+","0.05","18.81","55","19.03","15","0.00"
"1101  ","台泥  ","8762139","3785","412961584","47","47.45","46.8","47.3","+","1","47.2","1","47.3","463","15.82"
"1102  ","亞泥  ","3520206","1506","140746090","39.95","40.2","39.8","39.95","+","0.2","39.85","8","39.95","93","15.92"
"1103  ","嘉泥  ","472168","361","7082854","15.05","15.2","14.85","15","-","0.15","15","17","15.05","30","7.94"
"1104  ","環泥  ","491536","373","13825130","28.2","28.3","27.9","28.2","+","0.05","28","5","28.2","12","13.24"
"1108  ","幸福  ","998050","362","10161884","10.1","10.3","10.1","10.1"," ","0","10.1","32","10.15","1","14.23"
