

2015年01月14日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10667.9,-,50.48,-0.47
發行量加權股價指數,9180.23,-,51.57,-0.56
臺灣50指數,6565.28,-,57.11,-0.86
臺灣中型100指數,7496.51,+,4.7,0.06
臺灣資訊科技指數,7915.32,-,72.9,-0.91
臺灣發達指數,7798.86,-,30.81,-0.39
臺灣高股息指數,5840.76,+,0.67,0.01
臺灣就業99指數,5505.66,-,26.27,-0.47
臺灣高薪100指數,5002.65,-,37.69,-0.75
臺灣企業經營101指數,5839.39,-,33.45,-0.57
臺灣低波動高股息指數,1413.99,-,6.59,-0.46
未含金融保險股指數,7751.36,-,40.11,-0.51
未含電子股指數,13163.76,-,73,-0.55
未含金融電子股指數,11371.22,-,49.6,-0.43
水泥窯製類指數,562.41,-,2.04,-0.36
塑膠化工類指數,789.36,-,3.71,-0.47
機電類指數,2051.41,-,11.37,-0.55
水泥類指數,142.26,-,0.34,-0.24
食品類指數,1185.29,-,16.7,-1.39
塑膠類指數,214.51,-,1.53,-0.71
紡織纖維類指數,527.26,-,1.49,-0.28
電機機械類指數,159.85,-,0.36,-0.22
電器電纜類指數,37.04,-,0.04,-0.11
化學生技醫療類指數,106.07,+,0.31,0.29
化學類指數,103.45,+,0.12,0.12
生技醫療類指數,77.15,+,0.4,0.52
玻璃陶瓷類指數,57.65,-,0.55,-0.95
造紙類指數,173.08,-,0.24,-0.14
鋼鐵類指數,101.89,+,0.22,0.22
橡膠類指數,376.22,-,1.81,-0.48
汽車類指數,326.21,-,3.4,-1.03
電子類指數,364.27,-,2.06,-0.56
半導體類指數,117.38,-,1.31,-1.1
電腦及週邊設備類指數,104.56,-,0.31,-0.3
光電類指數,41.28,+,0.18,0.44
通信網路類指數,119.74,-,0.73,-0.61
電子零組件類指數,87.54,+,1.08,1.25
電子通路類指數,115.87,-,0.01,-0.01
資訊服務類指數,104.97,+,0.42,0.4
其他電子類指數,79.34,-,0.75,-0.94
建材營造類指數,288.42,-,0.58,-0.2
航運類指數,97.4,-,0.26,-0.27
觀光類指數,122.74,-,0.78,-0.63
金融保險類指數,1063.31,-,9,-0.84
貿易百貨類指數,240.51,-,2.79,-1.15
油電燃氣類指數,85.51,-,0.84,-0.97
其他類指數,250.22,+,0.85,0.34
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10989.95,-,52.01,-0.47
發行量加權股價報酬指數,13978.97,-,78.52,-0.56
臺灣50報酬指數,10111.49,-,87.95,-0.86
臺灣中型100報酬指數,10729.98,+,6.72,0.06
臺灣資訊科技報酬指數,11545.73,-,106.34,-0.91
臺灣發達報酬指數,10876.31,-,42.96,-0.39
臺灣高股息報酬指數,9624.32,+,1.11,0.01
臺灣就業99報酬指數,6249.84,-,29.82,-0.47
臺灣高薪100報酬指數,5043.38,-,38,-0.75
臺灣企業經營101報酬指數,6237.79,-,35.73,-0.57
臺灣低波動高股息報酬指數,2776.36,-,12.94,-0.46
未含金融電子股報酬指數,17479.66,-,76.25,-0.43
水泥類報酬指數,188.25,-,0.45,-0.24
食品類報酬指數,1371.29,-,19.31,-1.39
塑膠類報酬指數,266.85,-,1.89,-0.7
紡織纖維類報酬指數,645.73,-,1.82,-0.28
電機機械類報酬指數,191.88,-,0.43,-0.22
電器電纜類報酬指數,41.45,-,0.05,-0.12
化學生技醫療類報酬指數,128.67,+,0.38,0.3
化學類報酬指數,128.13,+,0.15,0.12
生技醫療類報酬指數,89.47,+,0.47,0.53
玻璃陶瓷類報酬指數,61.46,-,0.58,-0.93
造紙類報酬指數,200.71,-,0.27,-0.13
鋼鐵類報酬指數,125.79,+,0.26,0.21
橡膠類報酬指數,445.93,-,2.15,-0.48
汽車類報酬指數,379.71,-,3.96,-1.03
電子類報酬指數,507.62,-,2.88,-0.56
半導體類報酬指數,157.14,-,1.76,-1.11
電腦及週邊設備類報酬指數,149.83,-,0.44,-0.29
光電類報酬指數,48.73,+,0.21,0.43
通信網路類報酬指數,183.38,-,1.11,-0.6
電子零組件類報酬指數,119.92,+,1.47,1.24
電子通路類報酬指數,169.77,-,0.02,-0.01
資訊服務類報酬指數,158.51,+,0.64,0.41
其他電子類報酬指數,92.05,-,0.88,-0.95
建材營造類報酬指數,374.16,-,0.75,-0.2
航運類報酬指數,114.42,-,0.31,-0.27
觀光類報酬指數,135.62,-,0.86,-0.63
金融保險類報酬指數,1324.43,-,11.21,-0.84
貿易百貨類報酬指數,280.02,-,3.24,-1.14
油電燃氣類報酬指數,101.45,-,1,-0.98
其他類報酬指數,319.83,+,1.09,0.34
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","86745682499","2304514431","776670"
"2.台灣存託憑證","72537744","16914705","2861"
"3.受益憑證","0","0","0"
"4.ETF","3568888989","122857571","21126"
"5.受益證券","25482270","1545000","101"
"6.變更交易股票","40245933","5640777","956"
"7.認購(售)權證","2928441980","2933476000","75736"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","86785928432","2310155208","777626"
"總計(1~12)","93381279415","5384948484","877450"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",2671(12),301(9)
"下跌(跌停)",3433(33),430(0)
"持平",595,117
"未成交",3651,2
"無比價",889,1
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2015年01月14日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","台灣50","7205239","1256","473109554","66","66.05","65.4","65.6","-","0.35","65.55","32","65.6","348","0.00"
="0051  ","中100 ","62000","19","1855130","29.9","29.98","29.9","29.93","+","0.02","29.83","1","29.98","2","0.00"
="0052  ","FB科技","2000","2","82160","41.11","41.11","41.05","41.05","-","0.26","40.96","30","41.18","35","0.00"
="0053  ","寶電子","9000","6","256980","28.66","28.66","28.53","28.53","-","0.29","28.56","1","28.61","1","0.00"
="0054  ","台商50","13000","6","290500","22.5","22.5","22.28","22.33","-","0.13","22.29","3","22.5","4","0.00"
="0055  ","寶金融","134000","49","1928560","14.5","14.5","14.36","14.37","-","0.1","14.38","1","14.41","280","0.00"
