

2008年03月13日 查無資料
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2008年03月13日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0015  ","富邦  ","66000","23","571220","8.76","8.76","8.56","8.56","-","0.2","8.55","14","8.56","1","0.00"
="0050  ","台灣50","13487148","2257","806018426","60.55","60.6","59","59.1","-","1.55","59.1","44","59.2","2","0.00"
="0051  ","中100 ","225000","115","7363450","33.3","33.35","32.29","32.29","-","1.01","32.21","1","32.29","89","0.00"
="0052  ","FB科技","117000","23","4457930","38.3","38.49","37.5","37.5","-","0.85","37.4","9","37.7","1","0.00"
="0053  ","寶電子","203000","109","4858600","24.4","24.4","23.68","23.73","-","0.74","23.72","5","23.73","41","0.00"
="0054  ","台商50","493100","159","10486800","21.6","21.6","21","21","-","0.65","21","25","21.08","5","0.00"
="0055  ","寶金融","2517000","294","37374760","14.9","14.99","14.63","14.68","-","0.27","14.66","1","14.68","65","0.00"
="0056  ","高股息","482320","207","11998238","25.11","25.11","24.68","24.88","-","0.23","24.75","1","24.89","5","0.00"
="0057  ","FB摩台","372000","57","11474160","31.38","31.5","30.43","30.43","-","0.87","30.43","6","30.75","20","0.00"
="0058  ","FB發達","360000","60","11282770","31.7","31.7","31.17","31.3","-","0.4","31.15","1","31.3","5","0.00"
="0059  ","FB金融","317000","36","9521110","30.36","30.4","29.59","29.59","-","0.72","29.6","1","29.65","70","0.00"
="01001T","富邦R1","1635000","102","19155860","11.5","11.75","11.5","11.7"," ","0","11.7","37","11.75","99","0.00"
="01002T","國泰R1","2124000","142","22396860","10.54","10.56","10.5","10.51","-","0.04","10.5","63","10.56","71","0.00"
="01003T","新光R1","480000","63","4982100","10.38","10.38","10.35","10.35","-","0.03","10.35","16","10.38","19","0.00"
="01004T","富邦R2","1676000","193","17850790","10.65","10.7","10.62","10.64","-","0.01","10.63","60","10.64","11","0.00"
="01005T","三鼎  ","98000","12","733100","7.5","7.5","7.42","7.44","+","0.02","7.43","20","7.48","5","0.00"
="01007T","國泰R2","2765000","151","29072460","10.44","10.53","10.44","10.5"," ","0","10.49","10","10.5","155","0.00"
="01008T","駿馬R1","21000","3","183750","8.75","8.75","8.75","8.75"," ","0","8.61","7","8.74","20","0.00"
"1101  ","台泥  ","13480589","4196","726046515","54.8","55.4","52.5","52.7","-","2.1","52.6","191","52.7","7","18.69"
"1102  ","亞泥  ","12104824","4218","616964503","52.3","53.2","49.5","49.6","-","3.5","49.55","15","49.6","747","14.5"
"1103  ","嘉泥  ","1846721","618","46928575","25.85","25.95","25","25","-","0.85","25","22","25.1","15","21.55"
"1104  ","環泥  ","7351002","1292","125950009","17.1","17.3","16.8","17.2"," ","0","17.2","471","17.25","166","30.18"
"1108  ","幸福  ","1332422","392","14241072","10.65","10.85","10.55","10.65"," ","0","10.6","20","10.65","25","88.75"
"1109  ","信大  ","321001","118","3749411","11.9","11.95","11.5","11.5","-","0.4","11.5","10","11.65","11","18.85"
"1110  ","東泥  ","5538315","1229","70467655","13","13.2","12.3","12.3","-","0.9","--","0","12.3","40","410"
"1201  ","味全  ","5056177","1606","104633323","21.45","21.45","20.3","20.4","-","0.9","20.4","99","20.45","44","24.88"
"1203  ","味王  ","1200852","472","29759036","25.4","25.6","24.3","24.5","-","0.7","24.35","10","24.5","43","0.00"
"1210  ","大成  ","2498011","1142","96126506","38.2","39.3","38.1","38.1","-","0.9","38.05","21","38.1","49","15.3"
"1213  ","大飲  ","56030","43","628386","11.6","11.6","11","11.3","-","0.3","11.3","9","11.4","6","565"
"1215  ","卜蜂  ","1354725","515","23099128","17.35","17.5","16.9","16.9","-","0.45","16.9","12","16.95","16","17.98"
