

2014年07月01日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
="0055  ","寶金融","1006000","130","14198080","14.08","14.15","14.08","14.12","+","0.01","14.11","70","14.12","100","0.00"
="0056  ","高股息","1713356","429","43423443","25.17","25.42","25.17","25.39","+","0.22","25.38","51","25.4","37","0.00"
="0057  ","FB摩台","102000","4","4077270","39.8","39.98","39.8","39.97","+","0.58","39.97","50","40.02","50","0.00"
="0058  ","FB發達","0","0","0","--","--","--","--"," ","0","37.5","2","38.8","1","0.00"
="0059  ","FB金融","0","0","0","--","--","--","--"," ","0","30.79","2","31.8","1","0.00"
="0060  ","新台灣","3000","3","93680","31.2","31.3","31.18","31.3","+","0.12","30.92","180","31.47","1","0.00"
="0061  ","寶滬深","5950126","1042","68709875","11.51","11.57","11.51","11.55","+","0.04","11.55","166","11.56","157","0.00"
="006203","寶摩臺","20000","6","635440","31.64","31.84","31.64","31.84","+","0.1","31.9","200","32.1","11","0.00"
="006204","豐臺灣","1209491","15","56648731","46.79","46.9","46.78","46.87","+","0.32","46.87","1","46.89","200","0.00"
="006205","FB上証","6025000","467","110050610","18.3","18.34","18.24","18.27","+","0.03","18.27","46","18.28","123","0.00"
="006206","元上證","1367000","169","23589810","17.24","17.31","17.22","17.23","-","0.01","17.22","112","17.23","92","0.00"
="006207","FH滬深","2283000","222","30417470","13.3","13.37","13.3","13.33","+","0.03","13.32","56","13.33","22","0.00"
="006208","FB台50","47000","5","1773470","37.45","37.84","37.45","37.84","+","0.39","37.85","51","38","1","0.00"
="0080  ","恒中國","200","1","69400","347","347","347","347","X","0","342.15","1","346.9","1","0.00"
="0081  ","恒香港","0","0","0","--","--","--","--"," ","0","777.25","1","830","1","0.00"
="008201","上證50","8600","17","422362","49.4","49.4","48.97","49.3","+","0.19","48.98","12","49.3","41","0.00"
="01001T","富邦R1","563000","32","8034940","14.3","14.33","14.25","14.33","+","0.08","14.31","3","14.33","33","0.00"
="01002T","國泰R1","265000","34","4744280","17.9","17.92","17.9","17.91","-","0.01","17.91","45","17.92","4","0.00"
="01003T","新光R1","67000","16","880970","13.16","13.16","13.11","13.11","-","0.07","13.11","13","13.15","15","0.00"
