

2007年04月23日 查無資料
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2007年04月23日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0015  ","富邦  ","104000","12","992070","9.45","9.55","9.45","9.54","+","0.14","9.54","43","9.57","1","0.00"
="0050  ","台灣50","8571000","784","495574150","57.55","58.1","57.5","57.85","+","0.9","57.85","24","57.9","220","0.00"
="0051  ","中100 ","779000","86","25746690","32.9","33.1","32.75","32.83","+","0.32","32.83","3","32.89","2","0.00"
="0052  ","FB科技","104000","39","3993530","38.05","38.5","38.05","38.4","+","0.5","38.35","50","38.4","52","0.00"
="01001T","富邦R1","242000","21","3208740","13.29","13.29","13.25","13.25","-","0.04","13.25","100","13.26","78","0.00"
="01002T","國泰R1","917000","85","9956370","10.85","10.87","10.85","10.85"," ","0","10.85","515","10.86","27","0.00"
="01003T","新光R1","258000","37","3000700","11.7","11.7","11.6","11.61","-","0.08","11.6","54","11.61","98","0.00"
="01004T","富邦R2","150000","19","1866870","12.45","12.45","12.42","12.44","-","0.01","12.42","12","12.45","76","0.00"
="01005T","三鼎  ","53000","8","522350","9.9","9.9","9.83","9.85"," ","0","9.83","5","9.85","97","0.00"
="01007T","國泰R2","212000","41","2442550","11.5","11.55","11.5","11.54","-","0.03","11.54","58","11.55","23","0.00"
"1101  ","台泥  ","10753530","2113","320059754","30","30","29.6","29.6","-","0.5","29.6","126","29.65","17","17.21"
"1102  ","亞泥  ","7169239","831","252427515","35.2","35.6","35.05","35.15","-","0.15","35.15","29","35.25","15","12.29"
"1103  ","嘉泥  ","10160307","2269","208458373","21.4","21.45","19.85","20.4","-","0.9","20.4","71","20.45","2","4.93"
"1104  ","環泥  ","2068568","434","27032359","13.2","13.25","12.9","12.9","-","0.2","12.9","129","12.95","31","12.17"
"1107  ","建台  ","381598","60","672728","1.73","1.8","1.73","1.79","-","0.01","1.73","18","1.79","21","5.42"
"1108  ","幸福  ","18427845","4148","277266008","15.1","15.5","14.8","14.85","-","0.95","14.85","192","14.9","104","17.89"
"1109  ","信大  ","596743","122","7437762","12.7","12.7","12.4","12.4","-","0.05","12.4","149","12.45","1","7.9"
"1110  ","東泥  ","3960035","798","44198885","11.55","11.55","10.9","11.1","-","0.4","11.05","32","11.15","62","24.67"
"1201  ","味全  ","14888398","3691","444188286","29.7","30.5","29.1","29.55","-","0.1","29.55","7","29.6","107","33.2"
"1203  ","味王  ","307243","150","4637684","15.3","15.4","15","15","-","0.3","15","35","15.05","11","0.00"
"1210  ","大成  ","8935105","2158","256240255","28.4","29.15","27.9","28.4","+","0.3","28.4","35","28.5","61","18.68"
"1213  ","大飲  ","202791","80","3080685","15.5","15.5","15","15","-","0.35","15","34","15.15","3","0.00"
"1215  ","卜蜂  ","3384755","824","43743939","13","13.2","12.75","12.75","-","0.25","12.75","51","12.8","1","23.61"
"1216  ","統一  ","16425695","3072","550381264","33.8","33.8","33.35","33.55","+","0.15","33.55","142","33.6","288","47.25"
"1217  ","愛之味","2849243","659","25497071","9","9.05","8.83","8.85","-","0.05","8.83","31","8.85","22","25.29"
"1218  ","泰山  ","3620916","817","30884952","8.75","8.75","8.4","8.4","-","0.29","8.38","5","8.4","100","0.00"
"1219  ","福壽  ","1303800","274","12106867","9.3","9.36","9.2","9.2","-","0.03","9.2","77","9.21","2","27.06"
"1220  ","台榮  ","2515294","668","27687598","11.4","11.4","10.6","10.75","-","0.15","10.75","11","10.8","2","30.71"
"1225  ","福懋油","669326","195","5908435","9.02","9.02","8.71","8.8","-","0.22","8.8","50","8.9","10","0.00"
"1227  ","佳格  ","593593","253","10063300","17","17.1","16.8","16.95"," ","0","16.9","14","16.95","2","30.82"
"1229  ","聯華  ","2163780","592","37277971","17.3","17.4","17","17","-","0.25","17","84","17.05","1","10.56"
"1231  ","聯華食","364150","94","4164144","11.45","11.5","11.3","11.4","-","0.05","11.3","98","11.4","54","114"
"1232  ","大統益","168640","66","4210500","25.2","25.2","24.85","24.85","-","0.1","24.85","4","25","6","11.04"
"1233  ","天仁  ","217362","85","6617281","30.65","30.85","30.2","30.25","-","0.3","30.25","6","30.3","1","18.45"
"1234  ","黑松  ","3806207","584","60085145","15.75","15.95","15.5","15.55","-","0.15","15.55","104","15.6","15","74.05"
"1235  ","興泰  ","48038","8","831139","17.85","17.85","17.3","17.3","+","0.45","16.95","3","17.3","3","865"
"1236  ","宏亞  ","153251","62","2442027","15.9","16.05","15.85","15.9"," ","0","15.9","29","15.95","1","26.95"
"1301  ","台塑  ","5702171","1982","371011456","64.8","65.4","64.5","64.9","+","0.9","64.9","5","65","14","12.02"
"1303  ","南亞  ","6680234","1878","420044641","62.8","63.3","62.3","62.4","+","0.5","62.4","323","62.5","26","11.18"
"1304  ","台聚  ","14413616","2164","173738649","11.9","12.25","11.9","11.95","+","0.2","11.95","357","12","172","15.72"
"1305  ","華夏  ","2520812","525","21585311","8.53","8.68","8.47","8.48","+","0.04","8.48","42","8.5","9","13.46"
"1307  ","三芳  ","203025","102","5713830","28.2","28.5","27.55","27.7","-","0.3","27.7","2","28","2","15.83"
"1308  ","亞聚  ","1710322","393","26248235","15.2","15.45","15.2","15.3","+","0.25","15.3","35","15.35","121","11.33"
"1309  ","台達化","1583930","360","14672612","9.13","9.5","9.13","9.2","+","0.09","9.18","3","9.2","18","27.06"
"1310  ","台苯  ","3113088","634","45330801","14.6","14.65","14.5","14.5","+","0.1","14.5","21","14.55","32","41.43"
"1311  ","福聚  ","648168","279","17989126","27.7","27.95","27.65","27.7","+","0.1","27.7","4","27.75","2","4.6"
"1312  ","國喬  ","4203556","711","49656002","11.85","11.95","11.7","11.7","-","0.05","11.7","202","11.75","10","10.17"
"1312A ","國喬特","9000","6","133350","14.75","14.9","14.75","14.9"," ","0","14.8","2","14.9","2","0.00"
"1313  ","聯成  ","3609003","873","65743928","18.25","18.4","18.1","18.15","+","0.1","18.1","120","18.15","22","9.86"
"1314  ","中石化","34081832","3659","367158037","10.7","10.9","10.6","10.7","+","0.2","10.7","321","10.75","123","16.98"
"1315  ","達新  ","1014194","371","24109668","24","24.15","23.45","23.5","-","0.15","23.5","37","23.65","7","19.75"
"1316  ","上曜  ","379000","107","3539890","9.53","9.53","9.26","9.28","-","0.02","9.28","4","9.3","10","15.21"
"1319  ","東陽  ","1555869","517","51406590","33.5","33.5","32.55","32.55","-","0.45","32.5","53","32.9","7","14.09"
"1321  ","大洋  ","718424","200","14239781","19.6","20","19.55","19.8","+","0.35","19.8","3","19.85","7","24.44"
"1323  ","永裕  ","166717","54","1911849","11.6","11.6","11.35","11.4","-","0.05","11.4","9","11.45","2","17.81"
"1324  ","地球  ","696134","265","23970526","33.1","35.2","33.1","34","-","0.5","33.8","30","34.5","7","0.00"
"1325  ","恆大  ","409353","139","4662688","11.35","11.55","11.25","11.35","+","0.05","11.35","25","11.4","16","21.02"
"1326  ","台化  ","3075491","997","198173224","64","64.8","64","64.3","+","0.5","64.3","13","64.4","268","11.32"
"1402  ","遠東新","25721129","4835","782088027","30","30.85","29.8","30.45","+","0.75","30.4","323","30.45","170","14.36"
"1409  ","新纖  ","39695716","4691","494241375","12.25","12.6","12.2","12.6","+","0.8","12.6","11,919","--","0","24.23"
"1410  ","南染  ","287636","82","2709317","9.48","9.59","9.31","9.36","-","0.04","9.36","2","9.4","2","234"
"1413  ","宏洲  ","1815682","276","7339529","4.01","4.1","4","4.06","+","0.08","4.04","14","4.06","123","0.00"
"1414  ","東和  ","1384957","322","12253690","8.96","9.14","8.75","8.8","-","0.2","8.77","2","8.8","37","0.00"
"1416  ","廣豐  ","2887774","580","29287619","10.15","10.35","10.05","10.1","-","0.15","10.1","5","10.15","34","0.00"
"1417  ","嘉裕  ","2113190","521","18619515","8.98","9","8.75","8.75","-","0.16","8.75","25","8.79","5","0.00"
"1418  ","東華  ","762888","166","4681771","6.1","6.18","6.09","6.09","+","0.01","6.09","30","6.11","10","0.00"
"1419  ","新紡  ","1535616","401","43889105","28.45","29","28.2","28.25","-","0.1","28.2","24","28.3","47","97.41"
