

2005年03月10日 查無資料
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2005年03月10日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0001  ","鴻運  ","185000","8","1306510","7.07","7.1","7","7.07","+","0.02","7.04","50","7.1","1","0.00"
="0015  ","富邦  ","101000","10","584890","5.81","5.81","5.77","5.77","-","0.04","5.77","2","5.8","2","0.00"
="0029  ","富邦店","560000","46","2812750","5.03","5.04","5","5.03"," ","0","5.03","15","5.04","38","0.00"
="0050  ","台灣50","3185000","428","152818810","48.1","48.12","47.8","48.05","-","0.16","47.98","1","48.05","4","0.00"
="01001T","富邦R1","70048000","3787","735341450","10.7","10.7","10.2","10.45","+","0.45","10.4","685","10.45","497","0.00"
"1101  ","台泥  ","27563672","2471","578898656","21","21.1","20.9","21.1"," ","0","21.05","246","21.1","31","16.36"
"1101A ","台泥特","0","0","0","--","--","--","--"," ","0","27.1","2","27.5","10","0.00"
"1102  ","亞泥  ","7305491","848","161047076","22.1","22.15","21.95","22.05","-","0.1","22.05","44","22.1","54","7.35"
"1103  ","嘉泥  ","2496397","316","34934004","14.2","14.2","13.85","14","-","0.2","14","3","14.05","4","12.96"
"1104  ","環泥  ","1165575","234","14894597","12.9","12.9","12.65","12.9"," ","0","12.9","45","12.95","93","10.16"
"1107  ","建台  ","148000","20","102670","0.67","0.71","0.67","0.7","-","0.01","0.7","57","0.71","71","0.00"
"1108  ","幸福  ","678001","111","6059918","9.06","9.06","8.9","8.9","-","0.11","8.9","15","8.95","2","6.5"
"1109  ","信大  ","171000","44","1785650","10.5","10.5","10.4","10.45","-","0.1","10.4","56","10.45","1","10.05"
"1110  ","東泥  ","1102201","197","9125247","8.3","8.32","8.26","8.27","-","0.13","8.27","12","8.28","10","11.03"
"1201  ","味全  ","1589233","340","18243763","11.6","11.65","11.4","11.45","-","0.1","11.45","30","11.5","46","28.63"
"1203  ","味王  ","614037","170","6746941","11","11.1","10.9","11"," ","0","10.95","50","11","13","12.22"
"1204  ","津津  ","21030","10","80126","3.89","3.89","3.7","3.7","-","0.2","3.73","5","3.87","2","0.00"
