

2014年07月29日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10921.59,-,43.66,-0.4
發行量加權股價指數,9391.88,-,28.3,-0.3
臺灣50指數,6643.73,+,7.2,0.11
臺灣中型100指數,7728.61,-,67.32,-0.86
臺灣資訊科技指數,7722.92,-,5.9,-0.08
臺灣發達指數,8142.22,+,32.35,0.4
臺灣高股息指數,6000.49,-,35.6,-0.59
臺灣就業99指數,5578.76,-,46.13,-0.82
臺灣企業經營101指數,5983.21,-,6.39,-0.11
臺灣低波動高股息指數,1488.18,-,5.31,-0.36
未含金融保險股指數,7904.8,-,7.89,-0.1
未含電子股指數,13797.35,-,8.42,-0.06
未含金融電子股指數,11937.72,+,65.24,0.55
水泥窯製類指數,613.57,+,12.89,2.15
塑膠化工類指數,855.9,+,0.34,0.04
機電類指數,2061.1,-,9.9,-0.48
水泥類指數,154.27,+,3.87,2.57
食品類指數,1345.35,+,6.11,0.46
塑膠類指數,233.84,+,0.39,0.17
紡織纖維類指數,555.37,-,2.12,-0.38
電機機械類指數,174.76,+,1.24,0.71
電器電纜類指數,42.53,-,0.23,-0.54
化學生技醫療類指數,117.87,-,0.45,-0.38
化學類指數,113.47,-,0.24,-0.21
生技醫療類指數,87.17,-,0.53,-0.6
玻璃陶瓷類指數,64.7,+,0.15,0.23
造紙類指數,188.5,-,0.1,-0.05
鋼鐵類指數,101.16,+,0.56,0.56
橡膠類指數,387.7,+,0.31,0.08
汽車類指數,346.79,+,10.52,3.13
電子類指數,364.59,-,1.91,-0.52
半導體類指數,114.1,+,0.38,0.33
電腦及週邊設備類指數,109.85,-,2.12,-1.89
光電類指數,41.23,-,0.9,-2.14
通信網路類指數,113.6,-,0.04,-0.04
電子零組件類指數,93.14,-,0.64,-0.68
電子通路類指數,119.58,-,1.77,-1.46
資訊服務類指數,101.57,-,0.85,-0.83
其他電子類指數,83.7,-,0.67,-0.79
建材營造類指數,287.43,+,1.1,0.38
航運類指數,73.15,+,0.27,0.37
觀光類指數,144.48,-,0.26,-0.18
金融保險類指數,1110.3,-,17.21,-1.53
貿易百貨類指數,256.8,+,1.06,0.41
油電燃氣類指數,99.57,+,1.47,1.5
其他類指數,247.56,+,0.28,0.11
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,11130.4,-,39.16,-0.35
發行量加權股價報酬指數,14143.74,-,35.58,-0.25
臺灣50報酬指數,10128.07,+,10.99,0.11
臺灣中型100報酬指數,10941.89,-,73.9,-0.67
臺灣資訊科技報酬指數,11174.59,-,1.31,-0.01
臺灣發達報酬指數,11224.04,+,48.17,0.43
