

2008年12月01日 查無資料
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2008年12月01日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0015  ","富邦  ","165000","41","728090","4.36","4.46","4.36","4.42","+","0.02","4.42","44","4.46","12","0.00"
="0050  ","台灣50","24075245","5991","781538104","32","32.9","31.75","32.5","+","0.37","32.48","2","32.5","131","0.00"
="0051  ","中100 ","827116","279","12511900","15","15.3","14.91","15"," ","0","15","9","15.09","1","0.00"
="0052  ","FB科技","22000","9","430880","19.4","20","19.4","19.42","+","0.02","19.42","198","20","1","0.00"
="0053  ","寶電子","414000","173","5520610","13.15","13.51","13.1","13.3","+","0.11","13.26","2","13.3","5","0.00"
="0054  ","台商50","117000","42","1306620","11.04","11.31","11","11.2","+","0.15","11.2","3","11.24","2","0.00"
="0055  ","寶金融","4774500","757","37766994","7.41","8.06","7.41","7.87","+","0.33","7.87","3","7.89","15","0.00"
="0056  ","高股息","204002","86","2791908","13.45","13.82","13.42","13.7","+","0.25","13.67","2","13.7","20","0.00"
="0057  ","FB摩台","116000","18","1993920","16.82","17.35","16.82","17.3","+","0.38","17.3","2","17.34","10","0.00"
="0058  ","FB發達","12000","8","221510","18.19","18.7","18.19","18.7","+","0.4","18.7","9","18.99","25","0.00"
="0059  ","FB金融","53000","6","877970","15.89","16.65","15.89","16.59","+","0.75","15.71","1","16.8","25","0.00"
="0060  ","新台灣","68000","13","1140940","16.46","16.98","16.46","16.97","+","0.59","17","1","17.18","25","0.00"
="01001T","富邦R1","18000","9","165020","9.15","9.17","9.15","9.17","+","0.05","9.17","24","9.21","14","0.00"
="01002T","國泰R1","407000","59","3712050","9","9.4","9","9.15","+","0.11","9.13","50","9.2","42","0.00"
="01003T","新光R1","93000","13","708180","7.55","7.68","7.55","7.68","+","0.13","7.59","67","7.68","9","0.00"
="01004T","富邦R2","342000","26","2851940","8.17","8.4","8.17","8.4","+","0.13","8.33","50","8.4","3","0.00"
="01005T","三鼎  ","20000","2","105800","5.29","5.29","5.29","5.29","+","0.04","5.1","12","5.35","7","0.00"
="01007T","國泰R2","294000","24","2446550","8.23","8.35","8.23","8.35","+","0.12","8.35","104","8.44","1","0.00"
="01008T","駿馬R1","194000","9","1166840","6","6.02","6","6.02","+","0.02","6.02","50","6.08","90","0.00"
"1101  ","台泥  ","30326012","8039","747422537","24.7","25.2","24.3","24.6","-","0.1","24.55","8","24.6","11","13.74"
"1102  ","亞泥  ","11625294","3656","313732548","27","27.3","26.7","26.95","-","0.05","26.95","18","27","470","8.58"
"1103  ","嘉泥  ","1821918","477","24684139","13.5","13.8","13.2","13.65","+","0.1","13.6","1","13.65","24","14.84"
"1104  ","環泥  ","484918","196","6882813","14.2","14.45","13.7","14.45","+","0.5","14.35","15","14.45","9","19.79"
