

2008年08月20日 查無資料
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2008年08月20日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0015  ","富邦  ","144000","33","998230","6.91","6.98","6.9","6.96","+","0.02","6.96","6","6.99","5","0.00"
="0050  ","台灣50","11694750","2567","617244545","52.5","53.5","52.2","53.4","+","0.5","53.4","37","53.45","210","0.00"
="0051  ","中100 ","158000","58","4187070","26.21","26.8","26.21","26.77","+","0.17","26.77","9","26.85","1","0.00"
="0052  ","FB科技","205000","45","7117770","34.7","35","34.3","35","+","0.3","34.8","1","35","3","0.00"
="0053  ","寶電子","728000","166","16035370","22.01","22.4","21.85","22.4","+","0.27","22.39","2","22.4","6","0.00"
="0054  ","台商50","153000","30","2780180","18","18.42","17.96","18.42","+","0.26","18.34","66","18.42","33","0.00"
="0055  ","寶金融","2707200","489","32659750","12","12.23","11.9","12.21"," ","0","12.21","224","12.23","1","0.00"
="0056  ","高股息","87000","50","1875760","21.53","21.65","21.35","21.6","+","0.07","21.6","6","21.62","2","0.00"
="0057  ","FB摩台","62000","13","1669180","26.8","27.11","26.71","27.11","+","0.11","27.11","1","27.2","25","0.00"
="0058  ","FB發達","18000","10","475000","26.4","26.5","26.35","26.4"," ","0","26.42","1","26.5","24","0.00"
="0059  ","FB金融","651000","49","16198110","24.85","25.32","24.6","25.27","+","0.07","25.39","25","25.5","25","0.00"
="0060  ","新台灣","1515000","158","35427460","23.5","23.77","23","23.77","+","0.27","23.64","50","23.77","21","0.00"
="01001T","富邦R1","51000","4","591630","11.63","11.63","11.6","11.6"," ","0","11.5","30","11.6","7","0.00"
="01002T","國泰R1","147000","11","1489860","10.14","10.14","10.1","10.14","-","0.01","10.14","48","10.15","110","0.00"
="01003T","新光R1","476000","15","4639050","9.76","9.76","9.74","9.74","-","0.01","9.75","10","9.77","3","0.00"
="01004T","富邦R2","266000","11","2660050","10","10.01","10","10.01","+","0.01","10","166","10.05","30","0.00"
="01005T","三鼎  ","0","0","0","--","--","--","--"," ","0","7.13","5","7.28","10","0.00"
="01007T","國泰R2","158000","10","1580250","10","10.05","10","10.05","+","0.04","10.01","35","10.05","15","0.00"
="01008T","駿馬R1","3000","3","26000","8.65","8.7","8.65","8.7"," ","0","8.7","9","8.75","3","0.00"
"1101  ","台泥  ","23008664","5963","714095360","30.1","31.55","29.8","31.5","+","1.15","31.4","5","31.5","1","13.58"
"1102  ","亞泥  ","16409305","4600","565850930","33.5","35.2","33","35","+","0.8","35","431","35.05","6","9.56"
"1103  ","嘉泥  ","1127521","524","21673207","19.25","19.5","18.85","19.5","+","0.1","19.45","2","19.5","1","12.42"
"1104  ","環泥  ","278002","149","5324936","18.5","19.4","18.5","19.2","+","0.05","19.2","8","19.4","2","17.78"
"1108  ","幸福  ","611000","270","4974460","8.15","8.23","8","8.17","+","0.02","8.17","3","8.2","20","17.76"
"1109  ","信大  ","208000","94","2037450","9.7","9.86","9.7","9.85"," ","0","9.85","3","9.86","11","13.31"
"1110  ","東泥  ","1702000","612","18943850","10.9","11.35","10.75","11.1","+","0.2","11.1","27","11.2","30","22.2"
"1201  ","味全  ","2611129","936","49131513","18.3","19.25","18.25","19.1","+","0.5","19.05","5","19.1","2","21.22"
"1203  ","味王  ","162072","94","2950167","18","18.5","18","18.15","+","0.15","18.15","17","18.35","2","0.00"
"1210  ","大成  ","6771015","2428","221861255","31","33.9","31","33.9","+","2.2","33.9","951","--","0","12.28"
"1213  ","大飲  ","26000","13","231840","9","9","8.88","8.9","-","0.1","8.86","2","8.9","31","890"
"1215  ","卜蜂  ","1178074","514","16206679","13.7","14.05","13.5","13.8","+","0.25","13.8","11","13.85","3","8.85"
"1216  ","統一  ","5867270","2132","205887141","35.1","35.5","34.7","35.2","-","0.2","35.2","51","35.3","32","13.8"
"1217  ","愛之味","922634","312","6780890","7.3","7.4","7.25","7.35","+","0.05","7.35","69","7.4","40","0.00"
"1218  ","泰山  ","1367520","274","10448492","7.51","7.79","7.51","7.66","+","0.04","7.66","3","7.69","51","20.7"
"1219  ","福壽  ","957200","347","9711029","10.2","10.4","10","10.4","+","0.1","10.35","10","10.4","8","10.51"
"1220  ","台榮  ","80217","54","564641","7","7.15","7","7.02","-","0.08","7.02","3","7.12","5","78"
"1225  ","福懋油","1869213","628","22866141","12.1","12.4","12","12.4","+","0.35","12.3","81","12.4","2","6.6"
"1227  ","佳格  ","474120","237","12919878","27.5","27.6","26.7","27.05","-","0.45","27.05","494","27.2","4","15.73"
"1229  ","聯華  ","880872","288","12833984","14.6","14.7","14.4","14.6"," ","0","14.55","48","14.6","318","7.45"
"1231  ","聯華食","624665","188","7315561","11.7","11.8","11.5","11.7"," ","0","11.65","4","11.7","9","18"
"1232  ","大統益","378043","218","12065488","31.8","32.8","31","32.5","+","1.5","32.5","2","32.55","3","9.37"
"1233  ","天仁  ","22450","21","629500","28.1","28.1","28","28","-","0.1","28","21","28.1","1","17.83"
"1234  ","黑松  ","1045000","284","13499250","12.95","13.1","12.7","13.1","+","0.2","13.05","3","13.1","4","54.58"
"1235  ","興泰  ","25000","12","845300","33.2","34.2","33.1","34","-","1","34","1","34.35","2","16.75"
"1236  ","宏亞  ","74075","57","1127997","15.05","15.4","15","15.2","-","0.15","15.2","51","15.3","11","8.94"
"1301  ","台塑  ","7194697","1977","451367566","62.9","63.3","62.3","63"," ","0","63","451","63.1","53","7.6"
"1303  ","南亞  ","8867109","3350","438091358","49.6","49.65","49.2","49.35","-","0.25","49.3","474","49.35","349","6.71"
"1304  ","台聚  ","2126123","592","27773209","12.85","13.25","12.8","13.2","+","0.35","13.2","14","13.25","69","5.55"
"1305  ","華夏  ","2069446","436","20126579","9.7","9.83","9.58","9.78","+","0.18","9.75","29","9.78","10","15.52"
"1307  ","三芳  ","24092","15","538220","22.2","22.6","22.2","22.3","+","0.1","22.3","1","22.5","1","10.09"
"1308  ","亞聚  ","911114","438","17075730","18.45","18.95","18.45","18.8","+","0.05","18.8","31","18.85","3","4.97"
"1309  ","台達化","1234000","180","10662000","8.64","8.79","8.51","8.79","+","0.2","8.76","1","8.79","4","11.57"
"1310  ","台苯  ","678126","221","6839660","10.15","10.2","10","10.05","-","0.1","10.05","191","10.1","2","20.51"
"1312  ","國喬  ","973997","387","7779004","7.81","8.15","7.81","8.03","+","0.13","8.03","4","8.07","20","4.87"
"1312A ","國喬特","0","0","0","--","--","--","--"," ","0","15","1","15.9","13","0.00"
"1313  ","聯成  ","1477168","386","21228498","14.4","14.5","14.2","14.35","-","0.05","14.35","23","14.4","8","6.32"
"1314  ","中石化","13154907","2822","156852117","11.75","12.15","11.65","12.05","+","0.35","12.05","76","12.1","158","6.41"
"1315  ","達新  ","86003","25","1571155","17.85","18.6","17.85","18.4"," ","0","18.4","15","18.5","4","13.94"
"1316  ","上曜  ","29500","17","159570","5.31","5.57","5.31","5.39","-","0.08","5.39","1","5.49","3","19.25"
"1319  ","東陽  ","294834","120","6620765","22.5","22.7","22.1","22.4","-","0.1","22.4","9","22.5","1","10.67"
"1321  ","大洋  ","91000","49","1652750","17.8","18.45","17.7","18.45","+","0.15","18.15","1","18.45","1","0.00"
"1323  ","永裕  ","69157","26","752803","10.9","10.9","10.8","10.9"," ","0","10.85","4","10.95","15","11.35"
"1324  ","地球  ","89000","55","1115500","12.55","12.85","12.3","12.7","-","0.2","12.7","10","12.75","2","0.00"
"1325  ","恆大  ","86000","36","904650","10.5","10.6","10.45","10.55"," ","0","10.55","11","10.6","6","8.72"
"1326  ","台化  ","5780510","1634","311746287","53.5","54.5","53.5","54.5","+","0.1","54.4","5","54.5","1","6.72"
"1402  ","遠東新","55887929","10294","1797339273","32.25","33.4","31.2","33.2","+","0.55","33.15","64","33.2","139","13.17"
"1409  ","新纖  ","2557209","449","19164623","7.47","7.6","7.44","7.47","-","0.03","7.47","5","7.5","3","24.9"
"1410  ","南染  ","29558","25","430029","14.4","15","14.4","14.45","+","0.15","14.45","5","14.75","2","160.56"
"1413  ","宏洲  ","257503","136","708245","2.83","2.83","2.7","2.81","-","0.01","2.75","1","2.81","8","281"
"1414  ","東和  ","280000","85","1106230","4","4.01","3.86","3.96","-","0.04","3.96","2","3.99","6","23.29"
"1416  ","廣豐  ","1915189","453","13031095","6.7","6.91","6.65","6.86","+","0.15","6.83","1","6.87","15","0.00"
"1417  ","嘉裕  ","1198958","288","7857407","6.41","6.6","6.41","6.56","+","0.01","6.56","47","6.59","53","10.41"
"1418  ","東華  ","326000","126","708330","2.27","2.27","2.12","2.18","-","0.05","2.18","7","2.2","8","0.00"
"1419  ","新紡  ","367081","204","7321970","19.6","20.45","19.4","20.1","+","0.5","20.1","8","20.2","4","287.14"
"1423  ","利華  ","139000","62","876700","6.24","6.37","6.24","6.36","+","0.03","6.34","5","6.36","33","8.15"
"1432  ","大魯閣","0","0","0","--","--","--","--"," ","0","--","0","5.95","1","1.17"
"1434  ","福懋  ","1221875","546","28311812","23","23.5","22.7","23.35","+","0.3","23.35","531","23.4","3","5.59"
"1435  ","中福  ","207813","56","1087048","5.3","5.38","5.16","5.37","+","0.09","5.3","1","5.37","2","53.7"
"1436  ","華友聯","598000","55","4240120","7.09","7.15","7.09","7.09"," ","0","7.09","229","7.15","4","0.00"
"1437  ","勤益控","344220","155","5909884","16.9","17.4","16.9","17.3","+","0.25","17.2","9","17.3","8","21.1"
"1438  ","裕豐  ","10000","1","16600","1.66","1.66","1.66","1.66","-","0.11","--","0","1.88","8","0.00"
"1439  ","中和  ","52000","39","624350","12.15","12.2","11.85","11.85","-","0.35","11.85","6","12.15","7","49.38"
"1440  ","南紡  ","1834294","585","18584676","10.05","10.25","10","10.2","+","0.05","10.15","32","10.2","79","14.37"
"1441  ","大東  ","27000","12","117880","4.4","4.4","4.33","4.34","-","0.09","4.34","3","4.4","10","144.67"
"1442  ","名軒  ","120354","66","2080997","17.5","17.5","17.15","17.15","-","0.4","17.15","2","17.4","18","15.88"
"1443  ","立益  ","825132","156","1823740","2.32","2.32","2.2","2.25","-","0.11","2.2","15","2.25","3","0.00"
"1444  ","力麗  ","1429346","322","8951145","6.15","6.38","6.15","6.38","+","0.17","6.38","39","6.39","12","10.81"
"1445  ","大宇  ","293884","105","1866043","6.46","6.69","6.3","6.69","+","0.2","6.32","46","6.69","19","0.00"
"1446  ","宏和  ","241113","94","1981810","8.34","8.62","8.02","8.59","+","0.09","8.59","1","8.83","1","10.6"
"1447  ","力鵬  ","847368","298","4874447","5.7","5.82","5.66","5.79","+","0.03","5.79","67","5.8","8","0.00"
"1449  ","佳和  ","519199","180","1017780","1.97","2.01","1.93","1.96","-","0.04","1.96","10","1.97","1","0.00"
"1451  ","年興  ","1707183","460","20609548","12.1","12.2","12","12","-","0.25","12","83","12.1","10","6.25"
"1452  ","宏益  ","235000","52","1558850","6.56","6.75","6.56","6.7","-","0.03","6.7","14","6.74","2","30.45"
"1453  ","大將  ","404818","112","2835631","7.08","7.35","6.9","6.99","-","0.06","6.97","5","6.99","14","1.8"
"1454  ","台富  ","99000","85","597600","6.33","6.33","5.9","6.12","-","0.15","6.12","53","6.3","3","61.2"
"1455  ","集盛  ","431756","136","2372467","5.54","5.57","5.41","5.5","-","0.04","5.5","4","5.51","8","12.79"
"1456  ","怡華  ","201002","115","444454","2.17","2.27","2.17","2.23","-","0.07","2.23","12","2.24","10","5.72"
"1457  ","宜進  ","363200","108","2078533","5.52","5.8","5.52","5.74","+","0.09","5.74","5","5.79","10","21.26"
"1459  ","聯發  ","162398","99","961082","5.78","6.14","5.75","5.84","+","0.09","5.8","2","5.99","8","10.62"
"1460  ","宏遠  ","337610","103","2059160","6.04","6.14","6.03","6.1","-","0.06","6.06","5","6.1","5","27.73"
"1463  ","強盛  ","109000","50","671900","6.15","6.23","6.1","6.11","-","0.15","6.1","3","6.11","1","0.00"
"1464  ","得力  ","61250","45","366825","6.17","6.17","5.9","6.15","-","0.07","5.92","5","6.15","2","123"
"1465  ","偉全  ","58552","49","547237","9.44","9.5","9.04","9.5","-","0.15","9.45","1","9.5","1","12.03"
"1466  ","聚隆  ","46748","19","203266","4.3","4.44","4.3","4.36","-","0.03","4.35","14","4.41","9","5.13"
"1467  ","南緯  ","183000","91","1357320","7.65","7.65","7.36","7.41","+","0.05","7.41","8","7.42","29","0.00"
"1468  ","昶和  ","110000","44","1345550","12.25","12.4","12","12","-","0.25","12","4","12.3","5","0.00"
"1469  ","理隆  ","29000","29","264380","9.11","9.39","9.06","9.09","X","0","9","1","9.09","1","0.00"
"1470  ","大統染","6000","2","43710","7.1","7.47","7.1","7.47","+","0.37","7.47","6","7.49","2","0.00"
"1471  ","首利  ","748000","266","13518400","18.05","18.35","17.6","18.25","+","0.2","18.2","71","18.25","1","0.00"
"1472  ","三洋紡","186000","35","717440","3.82","3.94","3.79","3.85","+","0.03","3.85","17","3.92","10","0.00"
"1473  ","台南  ","355545","199","8290165","23.9","24","23.1","23.45","-","0.45","23.25","5","23.45","4","6.62"
"1474  ","弘裕  ","87000","73","539690","6.26","6.26","6.15","6.24","+","0.03","6.19","5","6.24","1","20.13"
"1475  ","本盟  ","3000","3","36200","12.2","12.2","12","12","-","0.85","12","1","12.4","1","0.00"
"1476  ","儒鴻  ","209931","75","2380365","11.5","11.65","11.2","11.35","-","0.15","11.35","3","11.6","6","7.77"
"1477  ","聚陽  ","320098","199","11683226","36.8","36.9","36.3","36.45","-","0.6","36.45","1","36.5","11","5.79"
"1503  ","士電  ","244954","152","8314736","33.8","34.6","33.35","34","+","0.2","33.95","10","34","4","17.09"
"1504  ","東元  ","9750071","1420","135815107","13.8","14.1","13.7","14","+","0.1","14","144","14.05","18","9.46"
"1506  ","正道  ","109000","53","1615650","14.8","15","14.5","15","-","0.1","14.6","3","15","6","0.00"
"1507  ","永大  ","589532","252","9912435","16.7","17.05","16.55","16.95","+","0.25","16.9","3","16.95","6","10.87"
"1512  ","瑞利  ","187003","57","1547884","8.4","8.4","8.05","8.2","-","0.2","8.14","20","8.2","11","14.91"
"1513  ","中興電","1224399","475","23229249","18.8","19.35","18.6","19.2","+","0.2","19.1","25","19.2","21","12"
"1514  ","亞力  ","268000","104","2158330","8.14","8.14","8","8.09","-","0.09","8.03","5","8.09","4","24.52"
"1515  ","力山  ","285495","115","1607001","5.69","5.7","5.55","5.7","-","0.05","5.7","16","5.71","3","0.00"
"1516  ","川飛  ","432632","117","4368970","10.2","10.2","10","10.05","-","0.05","10.05","7","10.15","14","0.00"
"1517  ","利奇  ","806002","278","8772773","10.8","11.1","10.75","10.9","+","0.1","10.9","16","10.95","26","24.22"
"1519  ","華城  ","158210","107","7055095","44.6","45","44.3","44.55","-","0.05","44.5","24","44.55","2","13.22"
"1521  ","大億  ","48000","30","740150","15.6","15.6","15.3","15.35","-","0.35","15.3","35","15.65","5","8.25"
"1522  ","堤維西","523600","211","8436518","16.25","16.3","16","16.25"," ","0","16.2","17","16.25","1","10.16"
"1523  ","開億  ","263358","113","3608861","13.95","13.95","13.35","13.35","+","0.3","13.35","10","13.5","5","15"
"1524  ","耿鼎  ","437807","156","4096455","9.35","9.52","9.22","9.3","-","0.14","9.3","2","9.4","3","77.5"
"1525  ","江申  ","36000","22","601150","16.7","16.9","16.5","16.65","X","0","16.65","3","16.9","1","9.79"
"1526  ","日馳  ","250851","98","1617141","6.3","6.6","6.3","6.34","+","0.04","6.34","1","6.42","4","0.00"
"1527  ","鑽全  ","304386","161","7225596","23.5","24","23.5","23.7","+","0.05","23.65","6","23.85","1","0.00"
"1528  ","恩德  ","237411","101","3424109","14.2","14.6","14.1","14.6","+","0.2","14.5","18","14.6","3","9.3"
"1529  ","樂士  ","2005169","410","8191849","4.03","4.19","3.95","4.07","+","0.03","4.07","6","4.08","15","0.00"
"1530  ","亞崴  ","65100","52","2860520","44.3","44.3","43.65","44.05","-","0.45","44","5","44.3","6","7.47"
"1531  ","高林股","727320","330","13583966","18.5","19.05","18.3","18.8","-","0.05","18.8","2","18.85","2","9.4"
"1532  ","勤美  ","665359","357","25577629","37.15","39","37.15","39","+","1.2","38.7","2","39","9","19.5"
"1533  ","車王電","87000","55","1601850","18.95","18.95","18.2","18.4","-","0.3","18.4","2","18.6","1","12.52"
"1535  ","中宇  ","68000","50","3039100","44.35","45.3","44.35","44.65"," ","0","44.65","9","45.1","1","19.25"
"1536  ","和大  ","229000","75","6687150","29.2","29.8","28.6","29.2"," ","0","28.7","1","29.2","1","20.14"
"1537  ","廣隆  ","196411","85","6444671","32.2","33.2","32.2","33.1","+","0.5","33","2","33.1","2","8.34"
"1538  ","正峰新","2848064","799","77817110","26.8","27.7","26.8","27.5","+","0.75","27.5","335","27.6","36","0.00"
"1539  ","巨庭  ","50000","23","308690","6.08","6.3","6.02","6.3","+","0.3","6.3","3","6.34","4","15.75"
"1540  ","喬福  ","69058","55","1807348","25.7","26.5","25.7","26.3","-","0.1","26.25","1","26.45","5","7.17"
"1541  ","錩泰  ","45000","38","364520","8.25","8.37","8","8.1","-","0.42","8.1","1","8.25","1","11.57"
"1560  ","中砂  ","143400","111","5309049","36.95","37.65","36.6","37.05","+","0.1","37.05","10","37.45","2","12.03"
"1583  ","程泰  ","25000","20","1014150","40.5","41","40.5","40.55","+","0.3","40.55","3","41","8","7.24"
"1603  ","華電  ","693358","243","4969080","7.11","7.41","7.03","7.2","+","0.09","7.2","14","7.21","5","10.29"
"1604  ","聲寶  ","872197","254","3839700","4.33","4.55","4.31","4.53","+","0.22","4.5","70","4.53","2","113.25"
"1605  ","華新  ","5520899","1006","57674179","10.3","10.55","10.3","10.5","+","0.1","10.5","351","10.55","155","29.17"
"1606  ","歌林  ","2369151","214","4027554","1.7","1.7","1.7","1.7","+","0.11","1.7","5,172","--","0","3.78"
"1608  ","華榮  ","649000","249","5318170","8.06","8.3","8.06","8.17","+","0.03","8.17","25","8.23","6","8.17"
"1609  ","大亞  ","861419","201","6817012","7.97","7.97","7.87","7.9","-","0.07","7.9","27","7.94","2","20.26"
"1611  ","中電  ","505863","201","8065858","15.8","16.15","15.65","16"," ","0","15.9","23","16.05","34","12.8"
"1612  ","宏泰  ","3004156","806","46119448","15.1","15.7","14.85","15.7","+","0.1","15.7","53","15.75","2","10.83"
"1613  ","台一  ","177832","77","894360","5","5.09","5","5.04","+","0.04","5.04","3","5.09","13","3.94"
"1614  ","三洋電","133050","67","3339670","25.15","25.3","24.9","25.15"," ","0","25.15","2","25.3","1","18.63"
"1615  ","大山  ","133000","52","1723800","12.9","13","12.75","12.95","-","0.05","12.85","1","12.95","1","5.04"
"1616  ","億泰  ","210675","105","1710613","8.2","8.2","8.04","8.14","-","0.05","8.13","5","8.14","1","74"
"1617  ","榮星  ","71000","63","469630","6.66","6.7","6.5","6.66","+","0.03","6.66","1","6.67","4","11.89"
"1618  ","合機  ","125923","60","1115840","8.82","8.98","8.81","8.87","-","0.08","8.87","3","8.95","1","55.44"
"1701  ","中化  ","1014454","371","15072994","14.6","15","14.6","14.85"," ","0","14.85","31","14.95","8","19.8"
"1702  ","南僑  ","405270","164","2954150","7.26","7.39","7.2","7.38","+","0.12","7.38","14","7.39","16","26.36"
"1704  ","榮化  ","1628519","650","42252910","25.5","26.2","25.5","26.05","+","0.25","26.05","14","26.1","3","13.86"
"1707  ","葡萄王","293638","184","5345483","18.15","18.45","17.9","18.3","+","0.1","18.3","2","18.4","2","17.1"
"1708  ","東鹼  ","6073305","2765","322536198","52","54","52","52.8","+","1","52.8","17","52.9","2","30"
"1709  ","和益  ","198037","102","2665147","13.4","13.6","13.25","13.35","-","0.05","13.35","3","13.6","7","15.89"
"1710  ","東聯  ","7818840","2910","182843811","22.7","23.7","22.7","23.2","+","0.05","23.2","42","23.25","28","7.23"
"1711  ","永光  ","2135004","794","35096516","16.7","17.15","16","16.6","-","0.35","16.6","34","16.65","3","44.86"
"1712  ","興農  ","11604824","2503","129929643","10.95","11.4","10.8","11.4","+","0.7","11.4","7,848","--","0","13.57"
