

2015年03月20日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,11328.04,+,25.86,0.23
發行量加權股價指數,9749.69,+,12.96,0.13
臺灣50指數,7104,+,10.56,0.15
臺灣中型100指數,7731.2,+,11.85,0.15
臺灣資訊科技指數,8602.37,-,19.01,-0.22
臺灣發達指數,8294.97,+,51.44,0.62
臺灣高股息指數,6029.94,-,35.18,-0.58
臺灣就業99指數,5840.29,+,2.24,0.04
臺灣高薪100指數,5296.63,-,3.78,-0.07
臺灣企業經營101指數,6211.32,-,0.18,---
臺灣低波動高股息指數,1461.61,-,0.25,-0.02
未含金融保險股指數,8235.28,+,15.55,0.19
未含電子股指數,13729.25,-,3.72,-0.03
未含金融電子股指數,11783.85,+,6.58,0.06
水泥窯製類指數,568.96,-,6.48,-1.13
塑膠化工類指數,811.81,-,1.69,-0.21
機電類指數,2210.39,+,6.27,0.28
水泥類指數,144.82,-,1.76,-1.2
食品類指數,1255.97,+,4.23,0.34
塑膠類指數,223.49,-,1.27,-0.57
紡織纖維類指數,568.77,+,2.41,0.43
電機機械類指數,168.38,+,1.28,0.77
電器電纜類指數,37.41,+,0.05,0.13
化學生技醫療類指數,106.97,+,0.97,0.92
化學類指數,105.68,+,0.27,0.26
生技醫療類指數,76.5,+,1.35,1.8
玻璃陶瓷類指數,56.57,-,0.43,-0.75
造紙類指數,165.63,+,1.03,0.63
鋼鐵類指數,99.31,+,0.04,0.04
橡膠類指數,376.83,-,0.51,-0.14
汽車類指數,336.96,-,0.28,-0.08
電子類指數,392.94,+,1.06,0.27
半導體類指數,130,-,0.03,-0.02
電腦及週邊設備類指數,109.72,-,0.47,-0.43
光電類指數,42.17,-,0.33,-0.78
通信網路類指數,122.47,+,0.52,0.43
電子零組件類指數,96.57,+,0.12,0.12
電子通路類指數,119.37,+,0.12,0.1
資訊服務類指數,105.74,+,1.31,1.25
其他電子類指數,87.09,+,2.23,2.63
建材營造類指數,294.95,+,0.22,0.07
航運類指數,96.05,-,0.6,-0.62
觀光類指數,119.62,-,0.78,-0.65
金融保險類指數,1126.49,-,2.56,-0.23
貿易百貨類指數,246.46,-,0.8,-0.32
油電燃氣類指數,89.52,-,0.55,-0.61
其他類指數,282.29,+,4.84,1.74
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
