

2008年09月19日 查無資料
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2008年09月19日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0015  ","富邦  ","782000","139","4462220","5.63","5.77","5.57","5.77","+","0.37","5.77","30","--","0","0.00"
="0050  ","台灣50","30124204","6476","1423213754","46.6","47.61","46.6","47.61","+","3.11","47.61","2,756","--","0","0.00"
="0051  ","中100 ","1374000","205","28105480","20.3","20.56","20","20.56","+","1.34","20.56","1,774","--","0","0.00"
="0052  ","FB科技","214000","60","6453350","29.6","30.62","29.6","30.62","+","2","30.62","73","--","0","0.00"
="0053  ","寶電子","1630000","351","31232090","19.07","19.36","18.81","19.36","+","1.26","19.36","173","--","0","0.00"
="0054  ","台商50","901000","149","14071880","15.4","15.72","15.01","15.72","+","1.02","15.72","163","--","0","0.00"
="0055  ","寶金融","6078000","749","61146640","9.98","10.15","9.88","10.15","+","0.66","10.15","822","--","0","0.00"
="0056  ","高股息","764520","252","13516103","17.2","17.97","17.2","17.97","+","1.17","17.97","165","--","0","0.00"
="0057  ","FB摩台","135000","28","3151820","23.16","23.47","23.15","23.47","+","1.53","23.47","89","--","0","0.00"
="0058  ","FB發達","169000","42","3766280","21.84","23.19","21.8","23","+","1.16","23","49","23.19","2","0.00"
="0059  ","FB金融","176000","22","3704230","20.98","21.07","20.68","21.07","+","1.37","21.07","111","--","0","0.00"
="0060  ","新台灣","402009","59","8107543","20","20.43","19.8","20.35","+","1.25","20.35","45","--","0","0.00"
="01001T","富邦R1","16000","7","168370","10.5","10.67","10.5","10.67","+","0.07","10.55","1","10.67","7","0.00"
="01002T","國泰R1","5925000","52","58821030","9.91","9.99","9.91","9.95","+","0.08","9.94","1","9.95","3","0.00"
="01003T","新光R1","299000","35","2686360","9","9","8.95","8.95","-","0.07","8.94","50","8.95","4","0.00"
="01004T","富邦R2","1641000","67","16213900","9.9","9.9","9.84","9.84","-","0.03","9.84","98","9.9","220","0.00"
="01005T","三鼎  ","2918000","23","19523220","6.7","6.7","6.68","6.7","-","0.05","6.68","28","6.7","53","0.00"
="01007T","國泰R2","1603000","38","15734980","9.83","9.85","9.8","9.81"," ","0","9.81","484","9.82","198","0.00"
="01008T","駿馬R1","22000","3","184460","8.4","8.4","8.23","8.4","+","0.1","8.22","1","8.4","2","0.00"
"1101  ","台泥  ","31327295","5560","649999469","20.75","20.85","20.25","20.85","+","1.35","20.85","1,837","--","0","8.58"
"1102  ","亞泥  ","8314931","1639","224130570","26.8","27.15","26.2","27.15","+","1.75","27.15","4,345","--","0","7.74"
"1103  ","嘉泥  ","1724816","444","24347118","13.5","14.4","13.5","14.3","+","0.8","14.3","29","14.35","48","10.29"
"1104  ","環泥  ","613616","238","10153816","16","16.9","16","16.6","+","0.65","16.55","6","16.6","425","17.66"
"1108  ","幸福  ","601203","242","3657336","5.9","6.19","5.85","6.19","+","0.4","6.18","5","6.19","50","16.29"
