

2014年06月19日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10902.59,+,46.88,0.43
發行量加權股價指數,9316.81,+,36.88,0.4
臺灣50指數,6504.68,+,34.59,0.53
臺灣中型100指數,7762.22,+,5.36,0.07
臺灣資訊科技指數,7819.57,+,44.61,0.57
臺灣發達指數,7975.71,+,30.31,0.38
臺灣高股息指數,6073.42,+,1.86,0.03
臺灣就業99指數,5516.47,+,32.64,0.6
臺灣企業經營101指數,5910.9,+,15.65,0.27
臺灣低波動高股息指數,1496.26,+,2.26,0.15
未含金融保險股指數,7918.56,+,33.24,0.42
未含電子股指數,13388.73,+,8.95,0.07
未含金融電子股指數,11772.57,+,0.14,--
水泥窯製類指數,599.6,-,1.02,-0.17
塑膠化工類指數,860.62,+,3.95,0.46
機電類指數,2084.92,+,14.16,0.68
水泥類指數,150.84,+,0.08,0.05
食品類指數,1256.11,+,5.79,0.46
塑膠類指數,234.73,+,1.83,0.79
紡織纖維類指數,529.54,-,1.6,-0.3
電機機械類指數,175.76,+,1.23,0.7
電器電纜類指數,42.09,-,0.16,-0.38
化學生技醫療類指數,117.16,+,0.03,0.03
化學類指數,112.32,-,0.16,-0.14
生技醫療類指數,87.09,+,0.21,0.24
玻璃陶瓷類指數,63.05,-,0.78,-1.22
造紙類指數,184.9,-,0.78,-0.42
鋼鐵類指數,99.54,+,0.38,0.38
橡膠類指數,398.2,-,0.98,-0.25
汽車類指數,318.1,-,1.1,-0.34
電子類指數,368.94,+,2.53,0.69
半導體類指數,117.45,+,0.9,0.77
電腦及週邊設備類指數,107.85,+,0.13,0.12
光電類指數,41.47,+,0.76,1.87
通信網路類指數,119.57,+,0.58,0.49
電子零組件類指數,95.47,+,1.29,1.37
電子通路類指數,123.91,+,0.04,0.03
資訊服務類指數,104.63,+,0.29,0.28
其他電子類指數,79,+,0.01,0.01
建材營造類指數,291.63,-,0.89,-0.3
航運類指數,72.88,-,0.39,-0.53
觀光類指數,144.13,+,0.27,0.19
金融保險類指數,1034.49,+,2.45,0.24
貿易百貨類指數,250.79,-,0.52,-0.21
油電燃氣類指數,97.59,-,0.9,-0.91
其他類指數,247.74,-,1.28,-0.51
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10906.68,+,47.04,0.43
發行量加權股價報酬指數,13770.13,+,54.58,0.4
臺灣50報酬指數,9751.04,+,51.85,0.53
臺灣中型100報酬指數,10787.12,+,7.44,0.07
臺灣資訊科技報酬指數,11109.38,+,63.37,0.57
臺灣發達報酬指數,10821.36,+,41.12,0.38
臺灣高股息報酬指數,9576.79,+,2.93,0.03
臺灣就業99報酬指數,6087.45,+,36.01,0.6
臺灣企業經營101報酬指數,6092.2,+,16.14,0.27
臺灣低波動高股息報酬指數,2820.46,+,4.26,0.15
未含金融電子股報酬指數,17548.92,+,0.19,--
水泥類報酬指數,190.55,+,0.11,0.06
食品類報酬指數,1413.88,+,6.52,0.46
塑膠類報酬指數,283.98,+,2.21,0.78
紡織纖維類報酬指數,628.5,-,1.9,-0.3
電機機械類報酬指數,206.2,+,1.44,0.7
電器電纜類報酬指數,46.26,-,0.17,-0.37
化學生技醫療類報酬指數,138.28,+,0.04,0.03
化學類報酬指數,134.78,-,0.2,-0.15
生技醫療類報酬指數,98.81,+,0.24,0.24
玻璃陶瓷類報酬指數,66.69,-,0.82,-1.21
造紙類報酬指數,209.32,-,0.88,-0.42
鋼鐵類報酬指數,118.94,+,0.46,0.39
橡膠類報酬指數,455.29,-,1.11,-0.24
汽車類報酬指數,359.12,-,1.23,-0.34
電子類報酬指數,499.23,+,3.43,0.69
半導體類報酬指數,153.32,+,1.18,0.78
電腦及週邊設備類報酬指數,148.06,+,0.19,0.13
光電類報酬指數,48.06,+,0.88,1.87
通信網路類報酬指數,175.33,+,0.85,0.49
電子零組件類報酬指數,126.92,+,1.72,1.37
電子通路類報酬指數,172.32,+,0.06,0.03
資訊服務類報酬指數,151.54,+,0.42,0.28
其他電子類報酬指數,89.94, ,--,--
建材營造類報酬指數,363.87,-,1.1,-0.3
航運類報酬指數,83.99,-,0.44,-0.52
觀光類報酬指數,157.35,+,0.29,0.18
金融保險類報酬指數,1251.57,+,2.96,0.24
貿易百貨類報酬指數,282.02,-,0.58,-0.21
油電燃氣類報酬指數,112,-,1.03,-0.91
其他類報酬指數,305.27,-,1.58,-0.51
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","93291790079","2303979339","750281"
"2.台灣存託憑證","114458859","18703366","3037"
"3.受益憑證","0","0","0"
"4.ETF","1238977639","41758631","3893"
"5.受益證券","66989570","4451000","343"
"6.變更交易股票","373969953","36624777","4899"
"7.認購(售)權證","2762542610","2435535000","59273"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","93665760032","2340604116","755180"
"總計(1~12)","97848728710","4841052113","821726"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",2842(35),416(19)
"下跌(跌停)",2128(38),322(2)
"持平",546,103
"未成交",3504,1
"無比價",755,3
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2014年06月19日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","台灣50","9933277","1251","644039025","64.65","65.05","64.55","64.95","+","0.45","64.95","531","65","505","0.00"
="0051  ","中100 ","39100","36","1210809","30.86","31.1","30.86","30.87","+","0.03","30.86","1","30.99","2","0.00"
="0052  ","FB科技","17000","9","663150","38.92","39.2","38.9","39.2","+","0.1","38.92","2","39.2","5","0.00"
="0053  ","寶電子","98000","37","2843060","28.88","29.18","28.88","29","+","0.28","29","1","29.17","10","0.00"
="0054  ","台商50","135000","62","3135460","23.09","23.33","23.09","23.16","+","0.07","23.13","75","23.29","1","0.00"
="0055  ","寶金融","951000","109","13239010","13.89","13.95","13.87","13.93","+","0.06","13.92","80","13.93","100","0.00"
="0056  ","高股息","9740814","300","245547294","25.17","25.26","25.16","25.2","-","0.03","25.2","56","25.22","2","0.00"
="0057  ","FB摩台","104000","6","4060050","38.84","39.05","38.84","39.04","+","0.39","39.01","50","39.04","50","0.00"
="0058  ","FB發達","3000","2","111780","37.15","37.48","37.15","37.48","+","0.37","37.27","21","37.44","25","0.00"
