

2014年05月06日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10424.8,+,51.32,0.49
發行量加權股價指數,8912.39,+,41.96,0.47
臺灣50指數,6179.38,+,36.14,0.59
臺灣中型100指數,7542.84,+,16.89,0.22
臺灣資訊科技指數,7342.31,+,50.7,0.7
臺灣發達指數,7736.52,-,3.29,-0.04
臺灣高股息指數,5848.02,+,25.32,0.43
臺灣就業99指數,5241.8,+,61.12,1.18
臺灣企業經營101指數,5690.24,+,35.29,0.62
臺灣低波動高股息指數,1470.36,+,11.83,0.81
未含金融保險股指數,7583.64,+,21.31,0.28
未含電子股指數,13076.44,+,56.65,0.44
未含金融電子股指數,11622.59,-,6.1,-0.05
水泥窯製類指數,612.44,-,1.06,-0.17
塑膠化工類指數,845.93,+,0.11,0.01
機電類指數,1960.71,+,9.54,0.49
水泥類指數,152.95,-,0.06,-0.04
食品類指數,1204.22,-,6.45,-0.53
塑膠類指數,225.69,-,1.42,-0.63
紡織纖維類指數,525.99,+,2.1,0.4
電機機械類指數,172,+,0.07,0.04
電器電纜類指數,40.94,+,0.06,0.15
化學生技醫療類指數,116.91,+,1.41,1.22
化學類指數,111.37,+,0.51,0.46
生技醫療類指數,87.59,+,1.86,2.17
玻璃陶瓷類指數,66.58,-,0.52,-0.77
造紙類指數,177.46,+,2.48,1.42
鋼鐵類指數,99.4,+,0.22,0.22
橡膠類指數,417.3,+,3.79,0.92
汽車類指數,310.01,-,0.25,-0.08
電子類指數,346.37,+,1.75,0.51
半導體類指數,108.5,+,0.75,0.7
電腦及週邊設備類指數,99.89,+,0.64,0.64
光電類指數,38.84,+,0.05,0.13
通信網路類指數,118.49,+,0.44,0.37
電子零組件類指數,89.52,+,0.6,0.67
電子通路類指數,117.81,+,0.16,0.14
資訊服務類指數,97.03,+,0.21,0.22
其他電子類指數,75.2,+,0.06,0.08
建材營造類指數,293.33,-,0.17,-0.06
航運類指數,73.24,+,0.09,0.12
觀光類指數,142.61,-,2.28,-1.57
金融保險類指數,981.96,+,17.11,1.77
貿易百貨類指數,241.42,-,0.25,-0.1
油電燃氣類指數,97.23,-,0.24,-0.25
其他類指數,245.27,-,0.45,-0.18
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10425.15,+,51.66,0.5
發行量加權股價報酬指數,13168.26,+,62.47,0.48
臺灣50報酬指數,9263.39,+,54.18,0.59
臺灣中型100報酬指數,10471.6,+,25.6,0.25
臺灣資訊科技報酬指數,10427.2,+,71.99,0.7
臺灣發達報酬指數,10495.6,-,3.47,-0.03
臺灣高股息報酬指數,9203.84,+,39.86,0.43
臺灣就業99報酬指數,5782.79,+,69.65,1.22
臺灣企業經營101報酬指數,5863.5,+,36.37,0.62
臺灣低波動高股息報酬指數,2768.15,+,22.27,0.81
未含金融電子股報酬指數,17320.79,-,7.29,-0.04
水泥類報酬指數,193.21,-,0.08,-0.04
食品類報酬指數,1355.47,-,7.26,-0.53
塑膠類報酬指數,273.04,-,1.72,-0.63
紡織纖維類報酬指數,624.29,+,2.5,0.4
電機機械類報酬指數,201.36,+,0.09,0.04
電器電纜類報酬指數,44.99,+,0.06,0.13
化學生技醫療類報酬指數,137.98,+,1.66,1.22
化學類報酬指數,133.64,+,0.62,0.47
生技醫療類報酬指數,99.38,+,2.11,2.17
玻璃陶瓷類報酬指數,70.42,-,0.55,-0.77
造紙類報酬指數,200.89,+,2.81,1.42
鋼鐵類報酬指數,118.77,+,0.26,0.22
橡膠類報酬指數,477.12,+,4.33,0.92
汽車類報酬指數,349.83,-,0.29,-0.08
電子類報酬指數,468.53,+,2.37,0.51
半導體類報酬指數,141.63,+,0.99,0.7
電腦及週邊設備類報酬指數,136.86,+,0.88,0.65
光電類報酬指數,45.02,+,0.07,0.16
通信網路類報酬指數,173.75,+,0.64,0.37
電子零組件類報酬指數,119,+,0.79,0.67
電子通路類報酬指數,163.45,+,0.23,0.14
資訊服務類報酬指數,140.53,+,0.3,0.21
其他電子類報酬指數,85.6,+,0.06,0.07
建材營造類報酬指數,365.78,-,0.2,-0.05
航運類報酬指數,84.4,+,0.11,0.13
觀光類報酬指數,155.64,-,1.54,-0.98
金融保險類報酬指數,1187.7,+,20.7,1.77
貿易百貨類報酬指數,271.48,-,0.28,-0.1
油電燃氣類報酬指數,111.59,-,0.28,-0.25
其他類報酬指數,301.97,-,0.55,-0.18
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","97140628188","2323706837","795551"
"2.台灣存託憑證","101153744","12527566","2854"
"3.受益憑證","0","0","0"
"4.ETF","821888877","22028487","3355"
"5.受益證券","28183780","1728000","331"
"6.變更交易股票","153645630","29953020","1985"
"7.認購(售)權證","3152597300","2808325000","75452"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","97294273818","2353659857","797536"
"總計(1~12)","101398097519","5198268910","879528"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",2633(31),426(20)
"下跌(跌停)",2357(27),314(2)
"持平",434,99
"未成交",3252,3
"無比價",869,2
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2014年05月06日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","台灣50","10313513","1010","632333847","61.5","61.75","61.1","61.55","+","0.35","61.55","407","61.6","142","0.00"
="0051  ","中100 ","16250","12","486080","29.75","29.99","29.75","29.99","+","0.35","29.82","1","30","5","0.00"
="0052  ","FB科技","12000","8","438770","36.75","36.75","36.38","36.51","X","0","36.52","2","37.15","1","0.00"
="0053  ","寶電子","211800","63","5730012","26.93","27.29","26.91","27.14","+","0.23","27.1","2","27.14","4","0.00"
="0054  ","台商50","66000","23","1460420","21.85","22.2","21.81","22.19","+","0.21","22.01","2","22.19","6","0.00"
="0055  ","寶金融","1046000","231","13703440","13","13.24","12.98","13.24","+","0.24","13.23","5","13.24","257","0.00"
="0056  ","高股息","1099154","434","26609443","24.1","24.25","24.1","24.22","+","0.12","24.22","492","24.24","5","0.00"
="0057  ","FB摩台","208000","12","7692070","36.82","37.16","36.81","37.16","+","0.3","37.12","50","37.15","50","0.00"
="0058  ","FB發達","4000","1","143880","35.97","35.97","35.97","35.97","-","0.11","35.99","29","36.16","3","0.00"
="0059  ","FB金融","6000","3","172760","28.69","29.25","28.69","29.25","+","0.44","29.16","20","29.25","4","0.00"
="0060  ","新台灣","2000","2","58960","29.46","29.5","29.46","29.5","-","1.48","29.71","1","29.96","1","0.00"
="0061  ","寶滬深","4160990","656","47721561","11.4","11.51","11.4","11.51","+","0.12","11.49","12","11.51","215","0.00"
="006203","寶摩臺","39000","5","1154770","29.62","29.75","29.6","29.75","+","0.23","29.71","124","29.82","1","0.00"
="006204","豐臺灣","174000","66","7652530","43.95","44.09","43.76","44.09","+","0.29","44.09","197","44.1","6","0.00"
="006205","FB上証","1904180","378","34092384","17.88","17.96","17.85","17.92","+","0.17","17.92","5","17.93","31","0.00"
="006206","元上證","1226000","283","20900910","17.01","17.12","16.99","17.05","+","0.09","17.05","67","17.07","118","0.00"
